timestamps,X,Y,Z,Marker0
1749791211.951,0.183,-0.005,0.968,0
1749791211.995,0.187,-0.003,0.968,0
1749791211.995,0.188,-0.003,0.965,0
1749791211.995,0.188,-0.005,0.969,0
1749791212.075,0.188,-0.005,0.971,0
1749791212.075,0.187,-0.006,0.971,0
1749791212.075,0.187,-0.002,0.968,0
1749791212.116,0.186,-0.008,0.964,0
1749791212.116,0.184,-0.006,0.967,0
1749791212.116,0.188,-0.006,0.965,0
1749791212.176,0.189,-0.007,0.971,0
1749791212.176,0.190,-0.010,0.970,0
1749791212.176,0.189,-0.011,0.971,0
1749791212.221,0.188,-0.005,0.965,0
1749791212.221,0.190,-0.010,0.968,0
1749791212.221,0.190,-0.006,0.972,0
1749791212.280,0.191,-0.007,0.964,0
1749791212.280,0.188,-0.006,0.971,0
1749791212.280,0.187,-0.006,0.967,0
1749791212.344,0.183,-0.009,0.969,0
1749791212.344,0.185,-0.006,0.970,0
1749791212.344,0.184,-0.008,0.967,0
1749791212.388,0.187,-0.010,0.971,0
1749791212.388,0.189,-0.001,0.972,0
1749791212.388,0.188,-0.001,0.969,0
1749791212.445,0.183,-0.007,0.967,0
1749791212.445,0.191,-0.006,0.965,0
1749791212.445,0.188,-0.008,0.964,0
1749791212.506,0.185,-0.012,0.964,0
1749791212.506,0.185,-0.011,0.970,0
1749791212.506,0.185,-0.013,0.968,0
1749791212.565,0.183,-0.007,0.970,0
1749791212.565,0.186,-0.008,0.968,0
1749791212.565,0.180,-0.006,0.970,0
1749791212.626,0.183,-0.008,0.966,0
1749791212.626,0.181,-0.009,0.965,0
1749791212.626,0.181,-0.007,0.967,0
1749791212.670,0.183,-0.008,0.966,0
1749791212.670,0.188,-0.011,0.969,0
1749791212.670,0.182,-0.007,0.972,0
1749791212.733,0.183,-0.004,0.966,0
1749791212.733,0.187,-0.007,0.967,0
1749791212.733,0.182,-0.005,0.967,0
1749791212.790,0.186,-0.007,0.970,0
1749791212.790,0.182,-0.007,0.967,0
1749791212.790,0.184,-0.008,0.972,0
1749791212.850,0.184,-0.008,0.968,0
1749791212.850,0.183,-0.006,0.969,0
1749791212.850,0.184,-0.005,0.969,0
1749791212.913,0.188,-0.001,0.965,0
1749791212.913,0.185,-0.004,0.965,0
1749791212.913,0.185,-0.002,0.969,0
1749791212.956,0.187,-0.006,0.970,0
1749791212.956,0.189,-0.008,0.971,0
1749791212.956,0.193,-0.008,0.973,0
1749791213.015,0.190,-0.007,0.971,201
1749791213.015,0.186,-0.009,0.974,0
1749791213.015,0.185,-0.007,0.971,0
1749791213.074,0.187,-0.007,0.969,0
1749791213.074,0.188,-0.010,0.965,0
1749791213.074,0.185,-0.011,0.965,0
1749791213.120,0.187,-0.008,0.966,0
1749791213.120,0.185,-0.009,0.968,0
1749791213.120,0.186,-0.010,0.963,0
1749791213.185,0.189,-0.013,0.971,0
1749791213.185,0.186,-0.011,0.971,0
1749791213.185,0.190,-0.007,0.974,0
1749791213.241,0.187,-0.010,0.974,0
1749791213.241,0.190,-0.005,0.970,0
1749791213.241,0.189,-0.005,0.966,0
1749791213.301,0.188,-0.010,0.968,0
1749791213.301,0.192,-0.010,0.969,0
1749791213.301,0.188,-0.012,0.974,0
1749791213.346,0.186,-0.015,0.972,0
1749791213.346,0.191,-0.013,0.977,0
1749791213.346,0.189,-0.008,0.973,0
1749791213.406,0.182,0.002,0.969,0
1749791213.406,0.186,0.002,0.960,0
1749791213.406,0.184,-0.001,0.961,0
1749791213.469,0.182,-0.003,0.959,0
1749791213.469,0.183,-0.009,0.970,0
1749791213.469,0.182,-0.015,0.978,0
1749791213.512,0.177,-0.019,0.983,0
1749791213.512,0.178,-0.019,0.978,0
1749791213.512,0.178,-0.017,0.972,0
1749791213.571,0.175,-0.018,0.971,0
1749791213.571,0.172,-0.014,0.977,0
1749791213.571,0.169,-0.003,0.978,0
1749791213.632,0.167,0.002,0.975,0
1749791213.632,0.169,0.004,0.967,0
1749791213.632,0.166,0.003,0.961,0
1749791213.691,0.164,-0.001,0.961,0
1749791213.691,0.164,-0.002,0.958,0
1749791213.691,0.166,-0.004,0.964,0
1749791213.754,0.167,-0.000,0.961,0
1749791213.754,0.168,0.005,0.962,0
1749791213.754,0.170,0.016,0.964,0
1749791213.795,0.171,0.009,0.970,0
1749791213.795,0.178,0.008,0.974,0
1749791213.795,0.181,0.001,0.978,0
1749791213.858,0.175,-0.008,0.980,0
1749791213.858,0.175,-0.013,0.979,0
1749791213.858,0.171,-0.013,0.977,0
1749791213.916,0.169,-0.016,0.972,0
1749791213.916,0.169,-0.016,0.973,0
1749791213.916,0.169,-0.010,0.973,0
1749791213.975,0.177,-0.008,0.970,0
1749791213.975,0.169,-0.008,0.971,0
1749791213.975,0.171,-0.007,0.966,0
1749791214.029,0.173,-0.007,0.963,0
1749791214.029,0.167,-0.010,0.963,0
1749791214.029,0.169,-0.013,0.970,0
1749791214.085,0.171,-0.015,0.975,0
1749791214.085,0.174,-0.017,0.973,0
1749791214.085,0.171,-0.017,0.972,0
1749791214.141,0.170,-0.010,0.977,0
1749791214.141,0.170,-0.013,0.966,0
1749791214.141,0.170,-0.014,0.972,0
1749791214.203,0.174,-0.008,0.967,0
1749791214.245,0.170,-0.006,0.972,0
1749791214.245,0.171,-0.004,0.971,0
1749791214.245,0.168,-0.003,0.971,0
1749791214.311,0.175,0.002,0.970,0
1749791214.311,0.169,0.001,0.972,0
1749791214.311,0.167,-0.002,0.970,0
1749791214.365,0.170,-0.002,0.975,0
1749791214.365,0.172,-0.005,0.971,0
1749791214.365,0.175,-0.001,0.973,0
1749791214.425,0.171,-0.003,0.970,0
1749791214.425,0.169,-0.001,0.966,0
1749791214.425,0.173,0.003,0.972,0
1749791214.470,0.172,-0.003,0.972,0
1749791214.470,0.177,-0.003,0.973,0
1749791214.470,0.176,-0.008,0.972,0
1749791214.530,0.176,-0.009,0.973,0
1749791214.530,0.175,-0.011,0.973,0
1749791214.530,0.175,-0.007,0.972,0
1749791214.594,0.170,-0.009,0.972,0
1749791214.594,0.174,-0.008,0.970,0
1749791214.594,0.174,-0.005,0.971,0
1749791214.638,0.173,-0.010,0.969,0
1749791214.638,0.169,-0.007,0.971,0
1749791214.638,0.173,-0.007,0.968,0
1749791214.699,0.174,-0.012,0.972,0
1749791214.699,0.172,-0.011,0.970,0
