timestamps,X,Y,Z,Marker0
1749791210.255,-3.843,3.110,-0.725,0
1749791210.255,-3.843,3.110,-0.725,0
1749791210.255,-2.864,6.153,-0.994,0
1749791210.255,-3.155,7.701,-2.841,0
1749791210.314,-3.409,7.290,-5.024,0
1749791210.314,-2.707,5.765,-6.602,0
1749791210.314,-2.236,4.150,-6.916,0
1749791210.364,-2.340,2.662,-7.148,0
1749791210.364,-3.088,1.249,-7.081,0
1749791210.364,-2.826,-0.523,-5.690,0
1749791210.420,-2.131,-1.181,-2.609,0
1749791210.420,-2.378,-0.950,0.150,0
1749791210.420,-3.193,-1.054,1.181,0
1749791210.481,-4.239,-1.548,0.673,0
1749791210.481,-4.082,-2.295,-1.817,0
1749791210.481,-3.185,-2.393,-4.023,0
1749791210.540,-1.488,-1.361,-6.064,0
1749791210.540,-0.927,0.606,-6.998,0
1749791210.540,-1.383,3.058,-6.796,0
1749791210.602,-1.757,4.232,-6.153,0
1749791210.602,-2.916,2.183,-5.122,0
1749791210.602,-3.469,1.174,-3.327,0
1749791210.650,-3.537,0.994,-0.972,0
1749791210.650,-3.170,1.892,1.391,0
1749791210.650,-2.901,5.555,2.408,0
1749791210.705,-3.679,9.787,1.421,0
1749791210.705,-4.082,11.268,-1.675,0
1749791210.705,-3.387,9.324,-5.196,0
1749791210.765,-2.497,5.054,-7.918,0
1749791210.765,-2.026,1.002,-8.733,0
1749791210.765,-2.565,-1.039,-8.367,0
1749791210.826,-2.639,-2.064,-6.557,0
1749791210.826,-1.727,-2.654,-3.761,0
1749791210.826,-1.645,-2.408,-0.733,0
1749791210.870,-2.684,-2.153,0.890,0
1749791210.870,-3.267,-2.116,1.331,0
1749791210.870,-3.080,-2.475,0.307,0
1749791210.935,-2.348,-2.108,-1.720,0
1749791210.935,-2.049,-0.748,-4.643,0
1749791210.935,-1.884,0.606,-6.871,0
1749791210.991,-2.654,2.258,-7.671,0
1749791210.991,-3.305,4.075,-7.357,0
1749791210.991,-4.217,4.374,-6.109,0
1749791211.050,-4.688,3.985,-4.224,0
1749791211.050,-4.479,3.043,-2.834,0
1749791211.050,-4.075,2.280,-1.907,0
1749791211.099,-3.559,1.817,-1.563,0
1749791211.099,-3.888,2.094,-2.213,0
1749791211.099,-4.120,2.183,-3.178,0
1749791211.154,-3.671,2.168,-4.082,0
1749791211.154,-3.260,1.682,-4.860,0
1749791211.154,-2.871,1.211,-5.144,0
1749791211.218,-2.699,0.523,-5.024,0
1749791211.218,-2.594,0.247,-4.224,0
1749791211.218,-2.879,0.105,-3.589,0
1749791211.266,-3.148,0.142,-2.968,0
1749791211.266,-3.200,0.434,-2.714,0
1749791211.266,-3.080,0.755,-2.535,0
1749791211.321,-2.789,0.994,-2.819,0
1749791211.321,-2.572,0.957,-3.043,0
1749791211.321,-2.295,1.219,-3.492,0
1749791211.380,-2.385,1.219,-3.836,0
1749791211.380,-2.497,1.129,-3.731,0
1749791211.380,-2.602,1.002,-3.387,0
1749791211.440,-2.991,1.196,-3.275,0
1749791211.440,-3.006,1.847,-3.282,0
1749791211.440,-2.856,1.443,-3.484,0
1749791211.489,-2.908,1.323,-3.783,0
1749791211.489,-2.856,1.533,-3.985,0
1749791211.489,-3.028,1.518,-3.970,0
1749791211.545,-3.350,1.383,-3.694,0
1749791211.545,-3.200,1.316,-3.925,0
1749791211.545,-2.961,1.682,-3.925,0
1749791211.605,-3.185,1.809,-3.634,0
1749791211.605,-2.908,1.974,-3.544,0
1749791211.605,-2.422,1.690,-3.260,0
1749791211.666,-2.348,1.069,-3.013,0
1749791211.666,-2.355,1.211,-2.841,0
1749791211.666,-2.512,1.047,-2.707,0
1749791211.725,-2.804,0.845,-2.737,0
1749791211.725,-2.796,0.591,-2.841,0
1749791211.725,-2.856,1.054,-3.387,0
1749791211.775,-2.946,1.151,-3.903,0
1749791211.775,-2.864,0.830,-4.254,0
1749791211.775,-2.467,0.636,-4.314,0
1749791211.831,-2.370,0.568,-3.708,0
1749791211.831,-2.415,0.344,-3.895,0
1749791211.831,-3.312,0.845,-3.611,0
1749791211.891,-3.462,1.062,-3.170,0
1749791211.891,-3.058,1.286,-3.036,0
1749791211.891,-2.699,0.920,-3.477,0
1749791211.950,-2.834,0.972,-3.776,0
1749791211.950,-2.684,1.092,-3.963,0
1749791211.950,-3.163,1.181,-3.596,0
1749791211.994,-3.200,1.024,-3.895,0
1749791211.994,-3.051,1.234,-3.514,0
1749791211.994,-2.804,1.525,-3.402,0
1749791212.073,-3.380,1.555,-3.252,0
1749791212.073,-3.275,1.406,-3.394,0
1749791212.073,-2.879,1.323,-3.320,0
1749791212.115,-2.796,1.353,-3.275,0
1749791212.115,-2.677,1.473,-3.574,0
1749791212.115,-2.819,1.622,-3.753,0
1749791212.176,-2.527,1.316,-3.574,0
1749791212.176,-3.051,1.144,-3.185,0
1749791212.176,-2.938,1.383,-3.297,0
1749791212.220,-3.080,1.249,-3.267,0
1749791212.220,-2.834,1.368,-3.477,0
1749791212.220,-2.849,1.376,-3.417,0
1749791212.280,-2.804,0.927,-3.462,0
1749791212.280,-2.654,0.837,-3.200,0
1749791212.280,-2.968,0.830,-2.961,0
1749791212.343,-3.095,0.920,-3.200,0
1749791212.343,-3.013,1.024,-3.095,0
1749791212.343,-3.694,1.204,-2.991,0
1749791212.387,-3.230,1.346,-3.626,0
1749791212.387,-2.938,1.114,-3.910,0
1749791212.387,-2.654,1.107,-3.477,0
1749791212.444,-2.639,0.912,-3.215,0
1749791212.444,-3.043,0.725,-2.908,0
1749791212.444,-3.327,0.785,-3.133,0
1749791212.506,-3.297,0.748,-3.208,0
1749791212.506,-3.028,0.927,-3.036,0
1749791212.506,-3.118,0.800,-3.507,0
1749791212.565,-3.208,0.770,-3.694,0
1749791212.565,-2.871,0.935,-3.686,0
1749791212.565,-2.976,0.636,-3.611,0
1749791212.625,-2.535,0.800,-3.297,0
1749791212.625,-3.028,0.867,-3.611,0
1749791212.625,-3.380,1.578,-3.679,0
1749791212.669,-3.193,1.705,-3.380,0
1749791212.669,-3.155,1.443,-3.753,0
1749791212.669,-2.916,1.578,-4.000,0
1749791212.732,-3.118,1.622,-3.918,0
1749791212.732,-3.065,1.705,-3.963,0
1749791212.732,-3.065,1.720,-3.566,0
1749791212.790,-3.282,1.338,-3.499,0
1749791212.790,-3.335,1.286,-3.596,0
1749791212.790,-3.469,1.383,-3.918,0
1749791212.850,-3.402,1.585,-3.866,0
1749791212.850,-3.365,1.510,-3.813,0
1749791212.850,-3.230,1.622,-3.634,0
1749791212.912,-2.961,1.578,-3.836,0
1749791212.912,-2.998,1.757,-3.327,0
1749791212.912,-2.938,1.959,-3.260,0
1749791212.956,-3.043,1.892,-3.036,0
1749791212.956,-2.938,1.443,-3.208,0
1749791212.956,-2.804,1.697,-3.110,0
1749791213.014,-2.729,1.922,-3.245,201
1749791213.014,-2.946,1.495,-3.417,0
1749791213.014,-2.542,1.047,-3.223,0
1749791213.060,-2.385,1.047,-3.424,0
1749791213.060,-2.437,0.965,-3.611,0
1749791213.060,-2.408,0.875,-3.290,0
1749791213.120,-2.774,0.882,-3.529,0
1749791213.120,-2.639,0.763,-3.619,0
1749791213.120,-2.961,1.009,-3.275,0
1749791213.185,-3.013,1.338,-3.791,0
1749791213.185,-3.432,1.406,-3.963,0
1749791213.185,-3.170,1.189,-3.761,0
1749791213.240,-2.535,1.107,-3.484,0
1749791213.240,-2.871,0.785,-3.350,0
1749791213.240,-3.185,0.606,-3.454,0
1749791213.285,-3.335,0.493,-3.245,0
1749791213.285,-3.357,0.568,-3.350,0
1749791213.285,-2.901,0.740,-3.723,0
1749791213.345,-3.223,0.852,-4.180,0
1749791213.345,-3.402,0.650,-4.628,0
1749791213.345,-2.961,0.164,-4.740,0
1749791213.406,-3.013,-0.247,-5.039,0
1749791213.406,-2.811,-0.718,-4.778,0
1749791213.406,-3.350,-0.837,-4.000,0
1749791213.468,-3.424,0.007,-3.305,0
1749791213.468,-3.342,0.269,-3.193,0
1749791213.468,-3.185,-0.015,-3.200,0
1749791213.511,-2.632,-0.464,-3.836,0
1749791213.511,-1.996,-0.860,-4.501,0
1749791213.511,-1.720,-0.935,-4.837,0
1749791213.570,-2.617,-0.942,-5.017,0
1749791213.570,-4.105,-0.800,-5.166,0
1749791213.570,-4.680,-0.875,-5.054,0
1749791213.631,-5.249,-1.264,-4.426,0
1749791213.631,-4.927,-1.249,-4.194,0
1749791213.631,-4.344,-1.241,-3.888,0
1749791213.690,-3.641,-0.531,-3.791,0
1749791213.690,-3.185,0.082,-4.389,0
1749791213.690,-3.095,0.404,-4.755,0
1749791213.754,-3.110,1.077,-5.107,0
1749791213.754,-3.806,1.578,-5.092,0
1749791213.754,-3.447,1.989,-4.733,0
1749791213.794,-2.609,2.587,-3.656,0
1749791213.794,-2.108,2.415,-2.781,0
1749791213.794,-2.094,2.295,-1.951,0
1749791213.858,-2.161,1.563,-1.705,0
1749791213.858,-2.482,0.965,-1.473,0
1749791213.858,-2.527,0.464,-1.652,0
1749791213.915,-2.714,0.508,-2.355,0
1749791213.915,-2.445,0.920,-3.237,0
1749791213.915,-2.408,1.122,-3.910,0
1749791213.960,-2.101,0.987,-3.880,0
1749791213.960,-2.138,0.972,-3.499,0
1749791213.960,-2.505,0.837,-3.432,0
1749791214.028,-2.774,1.264,-2.632,0
1749791214.028,-3.237,1.241,-2.288,0
1749791214.028,-2.931,1.593,-2.617,0
1749791214.084,-3.312,1.892,-2.751,0
1749791214.084,-2.901,1.854,-3.372,0
1749791214.084,-2.722,1.346,-4.090,0
1749791214.141,-2.923,1.286,-3.895,0
1749791214.141,-2.475,1.002,-4.224,0
1749791214.141,-3.462,1.032,-4.150,0
1749791214.185,-4.135,1.032,-4.090,0
