timestamps,PPG1,PPG2,PPG3,Marker0
1749791207.883,84169.000,0.000,196.000,0
1749791207.899,84129.000,0.000,197.000,0
1749791207.914,84189.000,0.000,190.000,0
1749791207.930,84200.000,0.000,231.000,0
1749791207.946,84155.000,0.000,203.000,0
1749791207.961,84176.000,0.000,128.000,0
1749791207.977,84212.000,139140.000,208.000,0
1749791207.993,84197.000,139164.000,197.000,0
1749791208.008,84197.000,139134.000,137.000,0
1749791208.024,84229.000,139172.000,195.000,0
1749791208.039,84186.000,139172.000,217.000,0
1749791208.055,84234.000,139171.000,215.000,0
1749791208.071,84203.000,139171.000,191.000,0
1749791208.086,84192.000,139174.000,288.000,0
1749791208.102,84162.000,139172.000,193.000,0
1749791208.118,84213.000,139175.000,203.000,0
1749791208.133,84201.000,139174.000,238.000,0
1749791208.149,84190.000,139200.000,185.000,0
1749791208.164,84196.000,139183.000,180.000,0
1749791208.180,84107.000,139215.000,184.000,0
1749791208.196,84202.000,139207.000,195.000,0
1749791208.211,84204.000,139209.000,147.000,0
1749791208.227,84233.000,139203.000,194.000,0
1749791208.243,84196.000,139237.000,149.000,0
1749791208.258,84298.000,139227.000,196.000,0
1749791208.274,84234.000,139237.000,197.000,0
1749791208.289,84224.000,139234.000,215.000,0
1749791208.305,84283.000,139235.000,193.000,0
1749791208.321,84210.000,139244.000,212.000,0
1749791208.336,84214.000,139218.000,230.000,0
1749791208.352,84215.000,139224.000,170.000,0
1749791208.368,84215.000,139210.000,238.000,0
1749791208.383,84137.000,139206.000,194.000,0
1749791208.399,84192.000,139205.000,223.000,0
1749791208.414,84214.000,139183.000,164.000,0
1749791208.430,84127.000,139204.000,197.000,0
1749791208.446,84202.000,139188.000,167.000,0
1749791208.461,84222.000,139203.000,174.000,0
1749791208.477,84240.000,139174.000,195.000,0
1749791208.493,84189.000,139176.000,143.000,0
1749791208.508,84285.000,139173.000,194.000,0
1749791208.524,84201.000,139165.000,200.000,0
1749791208.539,84178.000,139172.000,206.000,0
1749791208.555,84253.000,139190.000,192.000,0
1749791208.571,84219.000,139176.000,258.000,0
1749791208.586,84161.000,139164.000,191.000,0
1749791208.602,84208.000,139176.000,215.000,0
1749791208.618,84176.000,139150.000,223.000,0
1749791208.633,84207.000,139177.000,185.000,0
1749791208.649,84182.000,139152.000,154.000,0
1749791208.664,84203.000,139192.000,196.000,0
1749791208.680,84197.000,139174.000,195.000,0
1749791208.696,84209.000,139162.000,150.000,0
1749791208.711,84249.000,139166.000,195.000,0
1749791208.727,84211.000,0.000,195.000,0
1749791208.743,84209.000,0.000,135.000,0
1749791208.758,84245.000,0.000,193.000,0
1749791208.774,84200.000,0.000,199.000,0
1749791208.789,84259.000,0.000,194.000,0
1749791208.805,84202.000,0.000,194.000,0
1749791208.821,84173.000,139196.000,212.000,0
1749791208.836,84160.000,139199.000,195.000,0
1749791208.852,84190.000,139199.000,208.000,0
1749791208.868,84173.000,139200.000,170.000,0
1749791208.883,84188.000,139201.000,191.000,0
1749791208.899,84197.000,139199.000,167.000,0
1749791208.914,84113.000,139238.000,192.000,0
1749791208.930,84197.000,139213.000,191.000,0
1749791208.946,84204.000,139229.000,143.000,0
1749791208.961,84166.000,139214.000,191.000,0
1749791208.977,84206.000,139221.000,162.000,0
1749791208.993,84264.000,139219.000,193.000,0
1749791209.008,84199.000,139236.000,194.000,101
1749791209.024,84205.000,139244.000,213.000,0
1749791209.039,84274.000,139239.000,168.000,0
1749791209.055,84157.000,139253.000,224.000,0
1749791209.071,84209.000,139236.000,192.000,0
1749791209.086,84208.000,139262.000,194.000,0
1749791209.102,84205.000,139282.000,220.000,0
1749791209.118,84177.000,139246.000,193.000,0
1749791209.133,84207.000,139253.000,205.000,0
1749791209.149,84206.000,139285.000,194.000,0
1749791209.164,84114.000,139264.000,193.000,0
1749791209.180,84218.000,139256.000,154.000,0
1749791209.196,84259.000,139237.000,193.000,0
1749791209.211,84206.000,139239.000,193.000,0
1749791209.227,84210.000,139236.000,146.000,0
1749791209.243,84224.000,139221.000,196.000,0
1749791209.258,84219.000,139212.000,211.000,0
1749791209.274,84269.000,139220.000,185.000,0
1749791209.289,84218.000,0.000,201.000,0
1749791209.305,84206.000,0.000,285.000,0
1749791209.321,84164.000,0.000,180.000,0
1749791209.336,84205.000,0.000,194.000,0
1749791209.352,84205.000,0.000,242.000,0
1749791209.368,84128.000,0.000,193.000,0
1749791209.383,84198.000,139222.000,135.000,0
1749791209.399,84207.000,139224.000,204.000,0
1749791209.414,84203.000,139197.000,204.000,0
1749791209.430,84187.000,139196.000,132.000,0
1749791209.446,84259.000,139205.000,195.000,0
1749791209.461,84205.000,139164.000,192.000,0
1749791209.477,84252.000,139152.000,194.000,0
1749791209.493,84236.000,139156.000,194.000,0
1749791209.508,84190.000,139151.000,192.000,0
1749791209.524,84276.000,139128.000,194.000,0
1749791209.539,84197.000,139180.000,195.000,0
1749791209.555,84197.000,139157.000,262.000,0
1749791209.571,84206.000,139187.000,192.000,0
1749791209.586,84201.000,139189.000,223.000,0
1749791209.602,84147.000,139178.000,206.000,0
1749791209.618,84203.000,139187.000,167.000,0
1749791209.633,84206.000,139173.000,146.000,0
1749791209.649,84108.000,139193.000,191.000,0
1749791209.664,84203.000,139223.000,181.000,0
1749791209.680,84212.000,139219.000,152.000,0
1749791209.696,84221.000,139239.000,205.000,0
1749791209.711,84195.000,139264.000,100.000,0
