timestamps,X,Y,Z,Marker0
1749788595.502,-2.834,1.211,-3.365,0
1749788595.547,-3.245,1.293,-3.320,0
1749788595.547,-2.953,1.458,-3.215,0
1749788595.547,-3.148,1.323,-3.133,0
1749788595.614,-3.021,1.570,-3.753,0
1749788595.614,-3.237,1.436,-3.821,0
1749788595.614,-3.170,1.824,-3.529,0
1749788595.667,-3.193,1.750,-3.566,0
1749788595.667,-3.312,1.682,-3.447,0
1749788595.667,-3.372,1.802,-3.604,0
1749788595.727,-3.387,1.525,-3.783,0
1749788595.727,-3.215,1.473,-3.402,0
1749788595.727,-3.140,1.727,-3.267,0
1749788595.772,-3.297,1.712,-3.193,0
1749788595.772,-3.028,1.301,-3.387,0
1749788595.772,-3.058,1.518,-3.566,0
1749788595.832,-3.237,1.652,-3.439,0
1749788595.832,-3.073,1.750,-3.297,0
1749788595.832,-2.744,1.839,-3.514,0
1749788595.899,-3.028,1.922,-3.596,0
1749788595.899,-2.931,1.832,-3.424,0
1749788595.899,-2.826,1.264,-3.529,0
1749788595.952,-2.946,1.129,-3.761,0
1749788595.952,-2.535,1.234,-3.402,0
1749788595.952,-2.557,1.570,-3.237,0
1749788595.997,-2.946,1.376,-3.155,0
1749788595.997,-3.380,1.809,-3.649,0
1749788595.997,-4.060,1.839,-3.746,0
1749788596.057,-3.230,1.682,-3.783,0
1749788596.057,-2.804,1.593,-3.806,0
1749788596.057,-2.475,1.660,-3.551,0
1749788596.117,-2.692,1.301,-3.365,0
1749788596.117,-3.208,1.092,-3.305,0
1749788596.117,-3.223,1.054,-3.200,0
1749788596.180,-3.073,1.159,-3.051,0
1749788596.180,-3.163,1.518,-2.946,0
1749788596.180,-2.938,1.525,-3.768,0
1749788596.224,-2.572,1.630,-4.322,0
1749788596.224,-2.617,1.480,-4.075,0
1749788596.224,-2.751,1.017,-4.015,0
1749788596.282,-3.013,0.800,-4.030,0
1749788596.282,-2.983,1.002,-3.768,0
1749788596.282,-2.624,1.286,-2.998,0
1749788596.344,-2.871,0.994,-3.133,0
1749788596.344,-3.230,1.271,-3.559,0
1749788596.344,-3.514,1.495,-3.671,0
1749788596.402,-2.841,1.450,-3.783,0
1749788596.402,-3.043,1.398,-3.723,0
1749788596.402,-2.938,1.794,-3.791,0
1749788596.451,-3.297,1.989,-3.933,0
1749788596.451,-3.387,1.652,-4.097,0
1749788596.451,-3.312,1.159,-4.112,0
1749788596.507,-3.110,0.710,-4.344,0
1749788596.507,-3.462,0.718,-4.030,0
1749788596.507,-3.409,1.114,-4.202,0
1749788596.567,-3.581,1.338,-3.933,0
1749788596.567,-3.327,1.578,-3.888,0
1749788596.567,-3.051,1.226,-4.000,0
1749788596.630,-3.275,1.002,-4.082,0
1749788596.630,-3.462,1.166,-3.925,0
1749788596.630,-3.327,1.465,-3.514,0
1749788596.672,-3.163,1.518,-3.574,0
1749788596.672,-3.013,1.540,-3.559,0
1749788596.672,-2.579,1.428,-3.559,0
1749788596.739,-2.310,1.391,-3.051,0
1749788596.739,-2.153,1.600,-2.908,0
1749788596.739,-2.086,1.615,-2.908,0
1749788596.796,-2.639,1.966,-2.505,0
1749788596.796,-3.125,2.123,-2.602,0
1749788596.796,-3.626,2.034,-3.043,0
1749788596.853,-3.320,2.138,-3.806,0
1749788596.853,-2.684,1.869,-3.963,0
1749788596.853,-1.996,1.720,-3.925,0
1749788596.897,-2.056,1.630,-3.821,0
1749788596.897,-2.557,1.166,-3.716,0
1749788596.897,-3.297,0.456,-3.679,0
1749788596.962,-3.462,0.501,-3.447,0
1749788596.962,-3.664,0.322,-3.604,0
1749788596.962,-3.559,0.464,-3.686,0
1749788597.023,-3.529,0.262,-4.217,0
1749788597.023,-3.327,0.037,-4.568,0
1749788597.023,-3.095,-0.464,-5.114,0
1749788597.077,-3.462,-0.912,-5.219,0
1749788597.077,-3.380,-0.479,-4.905,0
1749788597.077,-3.036,0.060,-4.037,0
1749788597.122,-2.856,0.217,-3.110,0
1749788597.122,-2.482,0.628,-3.028,0
1749788597.122,-2.931,0.793,-3.006,0
1749788597.182,-3.828,1.069,-3.200,0
1749788597.182,-3.095,1.234,-3.514,0
1749788597.182,-3.043,1.122,-3.918,0
1749788597.242,-3.507,1.249,-3.656,0
1749788597.242,-3.155,1.563,-3.649,0
1749788597.242,-3.305,1.697,-3.611,0
1749788597.305,-3.080,1.421,-3.170,0
1749788597.305,-2.722,1.608,-2.946,0
1749788597.305,-3.013,1.667,-3.021,0
1749788597.350,-3.148,1.944,-3.095,0
1749788597.350,-2.916,0.000,-3.260,0
1749788597.350,-2.826,0.000,-3.641,0
1749788597.412,-2.542,1.600,-3.634,0
1749788597.412,-2.766,1.899,-3.746,0
1749788597.412,-3.013,1.922,-3.110,0
1749788597.468,-2.871,1.809,-3.028,0
1749788597.468,-2.856,1.779,-3.290,0
1749788597.468,-2.609,1.249,-3.738,0
1749788597.529,-2.826,1.069,-3.574,0
1749788597.529,-2.908,0.935,-3.649,0
1749788597.529,-2.617,0.688,-3.821,0
1749788597.581,-2.781,0.957,-3.910,0
1749788597.581,-2.647,1.249,-4.090,0
1749788597.581,-3.245,1.107,-3.910,0
1749788597.632,-3.514,0.935,-3.656,0
1749788597.632,-3.828,1.622,-3.978,0
1749788597.632,-4.307,1.779,-4.538,0
1749788597.692,-4.000,1.787,-4.419,0
1749788597.692,-2.923,1.652,-4.449,0
1749788597.692,-2.505,1.548,-4.067,0
1749788597.752,-2.385,1.458,-3.761,0
1749788597.752,-2.729,1.323,-2.953,0
1749788597.752,-3.148,1.099,-2.505,0
1749788597.797,-3.073,1.204,-2.714,0
1749788597.797,-3.103,1.570,-2.781,0
1749788597.797,-2.983,1.667,-3.783,0
1749788597.863,-2.983,1.473,-3.933,0
1749788597.863,-2.692,1.241,-4.127,0
1749788597.863,-2.737,1.151,-3.955,0
1749788597.916,-3.297,1.488,-3.776,0
1749788597.916,-3.768,1.383,-3.581,0
1749788597.916,-3.701,1.024,-3.275,0
1749788597.979,-3.537,1.159,-3.350,0
1749788597.979,-3.537,1.159,-3.350,0
1749788597.979,-3.492,1.151,-3.619,0
1749788597.979,-3.492,1.136,-3.566,0
1749788598.022,-3.380,1.443,-3.783,0
1749788598.022,-3.170,1.630,-3.649,0
1749788598.022,-3.193,1.712,-3.492,0
1749788598.082,-2.908,1.645,-3.155,0
1749788598.082,-2.901,1.301,-3.477,0
1749788598.082,-3.103,1.211,-3.193,0
1749788598.147,-2.789,1.159,-3.275,0
1749788598.147,-2.766,1.316,-3.297,0
1749788598.147,-2.789,1.652,-3.267,0
1749788598.190,-2.923,1.593,-3.260,0
1749788598.190,-3.088,1.817,-3.477,0
1749788598.190,-3.200,2.049,-4.008,0
1749788598.247,-3.200,1.854,-3.798,0
1749788598.247,-3.290,1.436,-3.768,0
1749788598.247,-3.223,1.974,-3.589,0
