timestamps,X,Y,Z,Marker0
1749788591.738,0.145,-0.011,0.980,0
1749788591.797,0.138,0.003,0.969,0
1749788591.797,0.138,0.001,0.968,0
1749788591.797,0.140,0.002,0.969,0
1749788591.843,0.139,-0.003,0.968,0
1749788591.843,0.144,-0.003,0.970,0
1749788591.843,0.143,-0.002,0.974,0
1749788591.903,0.147,-0.000,0.976,0
1749788591.903,0.147,0.004,0.977,0
1749788591.903,0.145,0.005,0.979,0
1749788591.963,0.146,0.004,0.978,0
1749788591.963,0.144,0.006,0.978,0
1749788591.963,0.148,0.005,0.976,0
1749788592.022,0.148,-0.002,0.976,0
1749788592.022,0.148,-0.003,0.973,0
1749788592.022,0.145,0.002,0.971,0
1749788592.068,0.147,-0.002,0.970,0
1749788592.068,0.141,-0.001,0.974,0
1749788592.068,0.145,-0.005,0.977,0
1749788592.128,0.146,-0.001,0.975,0
1749788592.128,0.147,-0.004,0.981,0
1749788592.128,0.146,-0.002,0.976,0
1749788592.188,0.145,-0.002,0.974,0
1749788592.188,0.148,-0.006,0.978,0
1749788592.188,0.141,-0.011,0.977,0
1749788592.238,0.142,-0.002,0.977,0
1749788592.238,0.146,0.001,0.974,0
1749788592.238,0.148,0.001,0.972,0
1749788592.300,0.149,0.002,0.975,0
1749788592.300,0.147,0.003,0.974,0
1749788592.300,0.145,0.002,0.970,0
1749788592.353,0.148,0.003,0.974,0
1749788592.353,0.148,-0.002,0.977,0
1749788592.353,0.143,-0.007,0.979,0
1749788592.414,0.146,-0.003,0.977,0
1749788592.414,0.146,-0.001,0.975,0
1749788592.414,0.145,0.000,0.973,0
1749788592.473,0.141,-0.001,0.973,0
1749788592.473,0.142,0.004,0.973,0
1749788592.473,0.143,-0.000,0.974,0
1749788592.522,0.146,0.002,0.968,0
1749788592.522,0.151,-0.006,0.969,0
1749788592.522,0.144,-0.003,0.973,0
1749788592.578,0.150,-0.005,0.972,0
1749788592.578,0.151,-0.002,0.981,0
1749788592.578,0.151,0.002,0.979,0
1749788592.638,0.152,0.002,0.978,0
1749788592.638,0.151,0.003,0.978,0
1749788592.638,0.149,0.001,0.978,0
1749788592.697,0.148,0.006,0.973,0
1749788592.697,0.146,0.004,0.972,0
1749788592.697,0.150,-0.000,0.972,0
1749788592.743,0.146,-0.001,0.969,0
1749788592.743,0.146,-0.003,0.974,0
1749788592.743,0.148,-0.001,0.973,0
1749788592.806,0.147,-0.003,0.974,0
1749788592.806,0.147,-0.003,0.976,0
1749788592.806,0.146,-0.001,0.975,0
1749788592.863,0.147,-0.002,0.981,0
1749788592.863,0.149,-0.003,0.975,0
1749788592.863,0.148,0.002,0.977,0
1749788592.907,0.146,0.000,0.974,0
1749788592.907,0.147,-0.003,0.974,0
1749788592.907,0.147,-0.007,0.975,0
1749788592.968,0.148,0.001,0.974,0
1749788592.968,0.149,0.005,0.971,0
1749788592.968,0.150,0.005,0.974,0
1749788593.028,0.150,0.003,0.979,0
1749788593.028,0.150,0.001,0.981,0
1749788593.028,0.150,0.001,0.971,0
1749788593.087,0.147,0.003,0.967,0
1749788593.087,0.145,0.002,0.970,0
1749788593.087,0.146,-0.003,0.973,0
1749788593.133,0.148,-0.004,0.973,0
1749788593.133,0.148,-0.002,0.981,0
1749788593.133,0.151,0.002,0.975,0
1749788593.193,0.151,-0.001,0.973,0
1749788593.193,0.147,0.003,0.974,0
1749788593.193,0.147,0.010,0.970,0
1749788593.253,0.150,0.002,0.973,0
1749788593.253,0.148,-0.002,0.974,0
1749788593.253,0.150,0.001,0.974,0
1749788593.314,0.150,0.000,0.971,0
1749788593.314,0.149,0.001,0.973,0
1749788593.314,0.149,0.000,0.977,0
1749788593.364,0.151,-0.001,0.980,0
1749788593.364,0.151,-0.003,0.978,0
1749788593.364,0.149,0.002,0.979,0
1749788593.418,0.151,0.002,0.973,0
1749788593.418,0.149,0.003,0.974,0
1749788593.418,0.146,0.008,0.970,0
1749788593.478,0.149,0.004,0.969,0
