timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749790804.799,-26.367,-26.855,-37.598,-26.855,0.000,0
1749790804.803,-24.414,-26.855,-33.691,-25.879,0.000,0
1749790804.807,-22.461,-29.785,-33.203,-21.484,0.000,0
1749790804.811,-18.066,-29.297,-34.668,-21.484,0.000,0
1749790804.814,-18.555,-35.156,-32.715,-21.484,0.000,0
1749790804.818,-27.832,-36.133,-33.691,-22.461,0.000,0
1749790804.822,-26.855,-36.133,-35.645,-21.484,0.000,0
1749790804.826,-24.414,-36.133,-38.086,-22.461,0.000,0
1749790804.830,-25.391,-30.273,-40.039,-26.855,0.000,0
1749790804.834,-18.555,-32.227,-34.668,-29.785,0.000,0
1749790804.838,-17.578,-30.762,-31.738,-28.809,0.000,0
1749790804.841,-26.367,-26.855,-32.715,-29.785,0.000,0
1749790804.846,-22.461,-30.273,-28.320,-23.438,0.000,0
1749790804.850,-20.996,-30.273,-26.367,-20.508,0.000,0
1749790804.854,-20.020,-29.785,-30.762,-17.090,0.000,0
1749790804.858,-22.461,-28.809,-29.297,-19.043,0.000,0
1749790804.861,-29.297,-28.809,-29.785,-31.738,0.000,0
1749790804.865,-28.320,-31.738,-35.156,-32.715,0.000,0
1749790804.869,-31.250,-33.691,-33.203,-39.062,0.000,0
1749790804.873,-26.855,-31.250,-30.762,-30.762,0.000,0
1749790804.877,-25.391,-31.250,-31.738,-26.367,0.000,0
1749790804.881,-32.227,-25.391,-35.645,-43.457,0.000,0
1749790804.885,-27.344,-22.461,-34.668,-35.156,0.000,0
1749790804.888,-20.508,-27.344,-27.344,-19.531,0.000,0
1749790804.893,0.000,-30.273,-31.738,-21.484,0.000,0
1749790804.897,0.000,-32.227,-39.062,-22.949,0.000,0
1749790804.901,0.000,-28.320,-38.574,-12.207,0.000,0
1749790804.904,0.000,-27.832,-35.645,-1.953,0.000,0
1749790804.908,0.000,-27.832,-39.062,0.488,0.000,0
1749790804.912,0.000,-30.273,-40.039,2.930,0.000,0
1749790804.916,0.000,-33.203,-34.180,9.766,0.000,0
1749790804.920,0.000,-32.227,-36.133,14.648,0.000,0
1749790804.924,0.000,-29.785,-40.039,12.695,0.000,0
1749790804.928,0.000,-29.297,-37.598,12.695,0.000,0
1749790804.931,0.000,-33.691,-36.133,12.695,0.000,0
1749790804.935,0.000,-29.297,-38.086,11.230,0.000,0
1749790804.940,8.301,-21.973,-36.621,5.859,0.000,0
1749790804.944,2.930,-23.438,-35.645,-1.953,0.000,0
1749790804.948,6.348,-23.926,-36.133,-5.371,0.000,0
1749790804.951,12.207,-23.438,-36.133,-8.301,0.000,0
1749790804.955,11.230,-22.461,-39.062,-7.812,0.000,0
1749790804.959,5.859,-21.484,-37.598,-3.906,0.000,0
1749790804.963,4.395,-23.926,-34.180,0.000,0.000,0
1749790804.967,14.160,-23.438,-33.691,1.465,0.000,0
1749790804.971,20.020,-21.484,-34.668,-0.488,0.000,0
1749790804.974,0.000,-22.461,-36.621,-3.906,0.000,0
1749790804.978,-4.395,-24.414,-39.551,-2.930,0.000,0
1749790804.982,8.789,-21.973,-38.086,-2.930,0.000,0
1749790804.987,8.301,-20.508,-36.621,-6.348,0.000,0
1749790804.990,14.160,-19.531,-32.227,-4.395,0.000,0
1749790804.994,2.441,-22.949,-35.156,-6.348,0.000,0
1749790804.998,-13.672,-28.809,-43.945,-13.672,0.000,0
1749790805.002,-5.371,-27.344,-41.016,-9.766,0.000,0
1749790805.006,-12.695,-26.855,-37.598,-11.230,0.000,0
1749790805.010,-7.812,-27.344,-32.227,-12.207,0.000,0
1749790805.014,3.906,-32.227,-34.180,-9.277,0.000,0
1749790805.017,-4.395,-34.180,-40.527,-13.184,0.000,0
1749790805.021,-10.742,-30.273,-37.598,-16.602,0.000,0
1749790805.025,-9.766,-26.367,-33.203,-21.484,0.000,0
1749790805.029,-4.883,-27.832,-33.691,-21.973,0.000,0
1749790805.033,-5.371,-30.273,-34.668,-10.742,0.000,0
1749790805.037,-5.859,-25.391,-36.621,-11.230,0.000,0
1749790805.041,-5.371,-28.320,-34.668,-17.090,0.000,0
1749790805.045,-10.254,-27.344,-33.203,-15.625,0.000,0
1749790805.049,-6.348,-21.484,-35.645,-22.461,0.000,0
1749790805.053,-4.883,-22.949,-33.691,-25.879,0.000,0
1749790805.056,-10.742,-23.438,-29.297,-18.066,0.000,0
1749790805.060,-11.719,-24.902,-33.203,-15.625,0.000,0
1749790805.064,-6.348,-26.367,-39.062,-15.137,0.000,0
1749790805.068,-7.324,-27.344,-34.668,-20.508,0.000,0
1749790805.072,-4.395,-26.855,-32.227,-22.949,0.000,0
1749790805.076,-7.324,-29.297,-34.180,-21.973,0.000,0
1749790805.080,-22.949,-31.738,-41.016,-22.461,0.000,0
1749790805.084,-26.855,-33.691,-43.457,-23.438,0.000,0
1749790805.088,-27.344,-36.621,-46.875,-27.832,0.000,0
1749790805.092,-31.250,-34.668,-48.340,-28.320,0.000,0
1749790805.096,-24.902,-32.715,-41.504,-29.785,0.000,0
1749790805.099,-1.953,-22.949,-37.109,-20.020,0.000,0
1749790805.103,-6.348,-18.066,-35.156,-12.695,0.000,0
1749790805.107,-24.414,-23.438,-33.691,-17.090,0.000,0
1749790805.111,-21.484,-27.344,-31.250,-20.996,0.000,0
1749790805.115,-21.484,-27.832,-35.156,-23.438,0.000,0
1749790805.119,-17.090,-30.273,-37.598,-20.508,0.000,0
1749790805.122,-19.043,-34.668,-34.668,-23.926,0.000,0
1749790805.127,-22.461,-33.691,-33.691,-25.879,0.000,0
1749790805.131,-15.137,-31.250,-29.785,-20.508,0.000,0
1749790805.135,-20.508,-29.297,-32.715,-22.949,0.000,0
1749790805.139,-24.414,-29.297,-37.598,-27.344,0.000,0
1749790805.143,-14.160,-30.762,-30.273,-27.832,0.000,0
1749790805.146,-14.160,-30.273,-27.832,-23.926,0.000,0
1749790805.150,-15.137,-27.832,-33.691,-20.508,0.000,0
1749790805.154,-16.602,-28.320,-33.203,-19.531,0.000,0
1749790805.158,-16.113,-28.809,-29.785,-20.020,0.000,0
1749790805.162,-5.371,-32.715,-29.297,-17.578,0.000,0
1749790805.166,-8.789,-31.250,-33.203,-17.578,0.000,0
1749790805.170,-15.625,-24.902,-35.645,-19.043,0.000,0
1749790805.174,-11.230,-21.973,-34.668,-16.113,0.000,0
1749790805.178,-5.371,-20.996,-34.180,-11.230,0.000,0
1749790805.182,-9.766,-20.508,-32.227,-5.371,0.000,0
1749790805.186,-21.973,-28.809,-31.250,-8.789,0.000,0
1749790805.190,-10.254,-29.785,-26.367,5.371,0.000,0
1749790805.193,-4.883,-13.672,-29.785,-3.418,0.000,0
1749790805.197,-25.879,-10.742,-41.016,-35.645,0.000,0
1749790805.201,-32.715,-17.578,-45.410,-36.133,0.000,0
1749790805.205,-26.367,-12.695,-46.875,-35.156,0.000,0
1749790805.209,-23.926,-7.812,-46.875,-33.203,0.000,0
1749790805.213,-28.320,-10.742,-41.992,-32.715,0.000,0
1749790805.217,-35.645,-10.742,-43.945,-41.992,0.000,0
1749790805.221,-30.762,-6.836,-46.875,-43.945,0.000,0
1749790805.225,-30.273,-8.301,-43.457,-42.480,0.000,0
1749790805.229,-32.227,-10.742,-39.551,-46.875,0.000,0
1749790805.233,-30.273,-9.277,-40.527,-44.434,0.000,0
1749790805.237,-31.250,-7.324,-42.969,-38.086,0.000,0
1749790805.240,-26.367,-9.277,-41.992,-39.551,0.000,0
1749790805.244,-23.926,-15.625,-40.039,-37.598,0.000,0
1749790805.248,-28.320,-19.043,-44.434,-36.133,0.000,0
1749790805.252,-29.785,-19.531,-41.992,-39.551,0.000,0
1749790805.256,-23.926,-21.484,-38.574,-38.574,0.000,0
1749790805.260,-25.391,-24.414,-42.969,-41.016,0.000,0
1749790805.264,-39.062,-25.879,-45.898,-41.504,0.000,0
1749790805.268,0.000,-26.855,-46.875,-39.062,0.000,0
1749790805.272,0.000,-29.297,-41.016,-41.992,0.000,0
1749790805.276,0.000,-25.879,-35.645,-42.480,0.000,0
1749790805.280,0.000,-25.391,-38.086,-40.039,0.000,0
1749790805.283,0.000,-26.855,-37.109,-38.574,0.000,0
1749790805.287,0.000,-23.926,-31.250,-37.109,0.000,0
1749790805.291,0.000,-21.973,-34.668,-36.621,0.000,0
1749790805.295,0.000,-28.809,-40.527,-40.527,0.000,0
1749790805.299,0.000,-32.227,-36.133,-40.039,0.000,0
1749790805.303,0.000,-29.785,-30.273,-35.645,0.000,0
1749790805.307,0.000,-35.645,-33.203,-41.016,0.000,0
1749790805.310,0.000,-35.645,-34.668,-43.457,0.000,0
1749790805.315,-34.180,-33.691,-33.691,-44.922,0.000,0
1749790805.319,-23.926,-31.738,-30.762,-42.969,0.000,0
1749790805.323,-28.809,-29.785,-34.180,-45.410,0.000,0
1749790805.326,-37.598,-30.762,-38.574,-46.875,0.000,0
1749790805.330,-34.180,-28.320,-36.133,-44.922,0.000,0
1749790805.334,-27.832,-24.902,-35.645,-43.945,0.000,0
1749790805.338,-28.320,-21.484,-33.691,-40.039,0.000,0
1749790805.342,-23.926,-27.344,-34.668,-38.086,0.000,0
1749790805.346,-23.438,-30.762,-35.156,-35.645,0.000,0
1749790805.350,-24.902,-32.227,-36.133,-40.039,0.000,0
1749790805.353,-25.879,-33.203,-34.668,-45.410,0.000,0
1749790805.357,-24.902,-29.785,-31.738,-43.945,0.000,0
1749790805.362,-16.113,-31.738,-31.250,-42.480,0.000,0
1749790805.366,-15.137,-28.809,-28.809,-41.992,0.000,0
1749790805.369,-33.203,-25.879,-32.715,-43.457,0.000,0
1749790805.373,-35.156,-22.461,-35.156,-44.434,0.000,0
1749790805.377,-26.855,-24.414,-33.691,-40.527,0.000,0
1749790805.381,-29.297,-26.367,-35.645,-39.551,0.000,0
1749790805.385,-38.086,-25.879,-36.621,-43.457,0.000,0
1749790805.389,-39.551,-24.414,-36.621,-43.457,0.000,0
1749790805.393,-41.016,-26.367,-35.645,-44.922,0.000,0
1749790805.396,-47.852,-27.832,-36.133,-49.316,0.000,0
1749790805.400,-49.316,-24.902,-34.180,-45.898,0.000,0
1749790805.404,-47.852,-24.902,-34.180,-46.875,0.000,0
1749790805.409,-44.922,-26.855,-32.227,-45.898,0.000,0
1749790805.412,-41.992,-29.297,-34.180,-43.945,0.000,0
1749790805.416,-43.457,-28.809,-36.133,-51.758,0.000,0
1749790805.420,-42.480,-24.902,-33.203,-42.969,0.000,0
1749790805.424,-33.203,-19.043,-26.855,-27.344,0.000,0
1749790805.428,-35.156,-18.066,-21.973,-28.320,0.000,0
1749790805.432,-40.527,-21.973,-29.785,-39.062,0.000,0
1749790805.436,-38.086,-27.832,-33.203,-38.086,0.000,0
1749790805.439,-41.504,-28.809,-33.203,-38.574,0.000,0
1749790805.443,-43.945,-25.391,-36.621,-45.410,0.000,0
1749790805.447,-36.133,-27.344,-39.062,-46.387,0.000,0
1749790805.451,-42.969,-29.785,-39.062,-48.340,0.000,0
1749790805.455,-51.270,-32.227,-38.574,-45.410,0.000,0
1749790805.459,-47.363,-32.715,-37.598,-43.945,0.000,0
1749790805.463,-48.828,-28.809,-35.645,-44.922,0.000,0
1749790805.467,-55.176,-30.273,-38.086,-46.387,0.000,0
1749790805.471,-57.129,-27.344,-38.574,-45.898,0.000,0
1749790805.475,-60.547,-26.855,-35.645,-50.293,0.000,0
1749790805.478,-58.105,-29.785,-34.668,-51.758,0.000,0
1749790805.482,-48.828,-27.832,-37.109,-43.457,0.000,0
1749790805.486,-48.828,-32.227,-37.598,-44.922,0.000,0
1749790805.490,-47.363,-30.273,-35.156,-40.527,0.000,0
1749790805.494,-53.223,-25.391,-36.621,-38.574,0.000,0
1749790805.498,-53.223,-24.414,-38.086,-41.016,0.000,0
1749790805.498,-53.223,-24.414,-38.086,-41.016,0.000,0
1749790805.502,-52.734,-24.414,-38.574,-39.062,0.000,0
1749790805.506,-57.129,-25.391,-34.668,-33.203,0.000,0
1749790805.510,-45.898,-24.414,-33.203,-36.133,0.000,0
1749790805.514,-42.480,-24.902,-35.156,-40.527,0.000,0
1749790805.518,-43.945,-25.391,-29.785,-33.691,0.000,0
1749790805.522,-45.410,-28.320,-27.344,-36.133,0.000,0
1749790805.526,-53.223,-31.250,-30.762,-40.039,0.000,0
1749790805.529,-46.875,-31.250,-35.156,-44.434,0.000,0
1749790805.533,-44.434,-32.715,-34.668,-45.410,0.000,0
1749790805.537,-51.758,-31.738,-37.109,-45.410,0.000,0
1749790805.541,-42.969,-25.391,-41.504,-43.457,0.000,0
1749790805.545,-32.715,-28.809,-39.551,-36.621,0.000,0
1749790805.550,-46.387,-40.039,-33.203,-41.504,0.000,0
1749790805.554,-65.430,-41.504,-24.902,-46.875,0.000,0
1749790805.557,-68.359,-43.945,-20.508,-39.551,0.000,0
1749790805.561,-57.617,-48.828,-24.414,-35.156,0.000,0
1749790805.565,-57.617,-49.316,-27.344,-39.551,0.000,0
1749790805.569,-68.848,-54.688,-22.461,-40.039,0.000,0
1749790805.573,-64.941,-57.617,-20.020,-32.227,0.000,0
1749790805.577,-57.617,-57.129,-21.484,-30.273,0.000,0
1749790805.581,-49.805,-56.152,-20.996,-34.180,0.000,0
1749790805.584,-53.711,-50.293,-18.066,-36.621,0.000,0
1749790805.588,-62.012,-45.410,-21.973,-41.016,0.000,0
1749790805.592,-61.523,-45.898,-24.902,-41.016,0.000,0
1749790805.597,-53.223,-41.992,-20.996,-31.738,0.000,0
1749790805.601,-41.992,-34.668,-22.949,-32.227,0.000,0
1749790805.604,-43.457,-37.109,-23.438,-41.016,0.000,0
1749790805.608,-52.246,-37.109,-22.949,-43.457,0.000,0
1749790805.612,-43.457,-36.133,-29.785,-45.898,0.000,0
1749790805.616,-52.734,-45.898,-36.133,-49.805,0.000,0
1749790805.620,-67.383,-42.969,-34.180,-50.781,0.000,0
1749790805.624,-57.617,-33.203,-36.621,-45.898,0.000,0
1749790805.628,-55.176,-41.504,-42.969,-46.387,0.000,0
1749790805.631,-60.547,-45.410,-41.016,-51.270,0.000,0
1749790805.635,-60.059,-43.457,-37.598,-50.781,0.000,0
1749790805.639,-57.617,-43.945,-32.715,-44.922,0.000,0
1749790805.644,-54.199,-43.945,-30.762,-42.480,0.000,0
1749790805.647,-49.805,-42.480,-35.645,-48.340,0.000,0
1749790805.651,-54.199,-41.992,-28.809,-50.293,0.000,0
1749790805.655,-61.523,-40.039,-24.414,-46.875,0.000,0
1749790805.659,-63.965,-40.039,-33.203,-51.758,0.000,0
1749790805.663,-62.500,-35.645,-36.133,-53.711,0.000,0
1749790805.667,-56.152,-25.391,-38.086,-51.270,0.000,0
1749790805.671,-52.246,-28.809,-38.574,-50.781,0.000,0
1749790805.674,-68.359,-31.738,-33.691,-53.223,0.000,0
1749790805.678,-81.055,-26.855,-28.320,-56.641,0.000,0
1749790805.682,-79.590,-24.414,-28.320,-57.617,0.000,0
1749790805.686,-71.777,-21.484,-25.879,-53.223,0.000,0
1749790805.690,-68.848,-25.391,-23.926,-50.781,0.000,0
1749790805.694,-72.266,-28.320,-25.879,-51.270,0.000,0
1749790805.698,-67.871,-26.367,-29.297,-42.969,0.000,0
1749790805.702,-70.801,-26.855,-32.715,-46.387,0.000,0
1749790805.706,-65.430,-21.973,-30.762,-51.758,0.000,0
1749790805.710,-58.105,-21.484,-32.227,-45.410,0.000,0
1749790805.714,-57.129,-19.043,-34.180,-45.410,0.000,0
1749790805.717,-53.223,-19.043,-33.203,-47.852,0.000,0
1749790805.721,-48.828,-18.066,-37.109,-43.945,0.000,0
1749790805.725,-42.480,-19.043,-43.945,-38.574,0.000,0
1749790805.729,-52.246,-20.020,-33.691,-48.340,0.000,0
1749790805.733,-72.754,-21.484,-27.832,-63.477,0.000,0
1749790805.737,-75.684,-24.414,-29.297,-62.500,0.000,0
1749790805.741,-64.453,-20.508,-25.879,-58.594,0.000,0
1749790805.745,-70.801,-18.555,-29.297,-64.941,0.000,0
