timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749426394.063,22.461,28.320,-1.465,37.598,0.000,0
1749426394.067,15.625,24.414,3.906,28.809,0.000,0
1749426394.070,21.973,26.855,2.930,16.113,0.000,0
1749426394.074,28.809,30.273,3.418,23.438,0.000,0
1749426394.078,26.855,28.320,-0.488,33.203,0.000,0
1749426394.082,21.484,27.344,-0.488,32.227,0.000,0
1749426394.086,27.832,34.180,4.883,33.691,0.000,0
1749426394.090,45.898,39.551,10.254,42.480,0.000,0
1749426394.093,52.734,40.039,18.066,47.363,0.000,0
1749426394.097,43.945,37.598,20.508,44.434,0.000,0
1749426394.101,43.457,33.691,16.602,39.551,0.000,0
1749426394.106,44.922,24.902,11.719,31.738,0.000,0
1749426394.110,48.340,21.973,13.184,39.551,0.000,0
1749426394.114,56.152,19.531,18.555,48.340,0.000,0
1749426394.117,47.363,9.766,16.602,43.945,0.000,0
1749426394.121,35.156,2.930,13.184,35.156,0.000,0
1749426394.125,35.645,5.371,10.254,28.320,0.000,0
1749426394.129,41.016,8.301,15.625,35.156,0.000,0
1749426394.133,34.668,5.371,19.531,39.551,0.000,0
1749426394.137,33.691,-4.883,12.207,34.668,0.000,0
1749426394.140,28.320,-11.719,10.742,32.227,0.000,0
1749426394.144,32.715,-6.836,13.184,36.133,0.000,0
1749426394.148,39.062,-4.395,9.766,37.109,0.000,0
1749426394.153,30.762,-2.930,7.324,33.691,0.000,0
1749426394.157,29.297,-2.441,5.859,32.227,0.000,0
1749426394.160,28.320,-7.324,4.883,31.250,0.000,0
1749426394.164,32.715,-2.441,13.672,40.039,0.000,0
1749426394.168,32.715,0.000,14.160,39.551,0.000,0
1749426394.172,21.484,-10.742,0.488,29.785,0.000,0
1749426394.176,18.555,-13.672,-2.441,36.133,0.000,0
1749426394.180,24.902,-9.766,-0.488,36.621,0.000,0
1749426394.184,19.043,-7.324,-0.977,29.785,0.000,0
1749426394.187,22.461,-8.301,-5.371,26.367,0.000,0
1749426394.191,35.156,-10.742,-10.254,23.438,0.000,0
1749426394.195,42.969,-11.230,-3.418,35.156,0.000,0
1749426394.200,38.574,-5.859,-0.977,34.180,0.000,0
1749426394.204,38.574,-2.930,0.000,27.344,0.000,0
1749426394.207,37.598,-2.930,-0.488,27.344,0.000,0
1749426394.211,33.203,-2.930,0.000,29.785,0.000,0
1749426394.215,27.832,-6.836,0.488,32.715,0.000,0
1749426394.219,24.902,-9.277,-2.441,21.484,0.000,0
1749426394.223,28.320,-8.789,-2.441,12.207,0.000,0
1749426394.227,23.926,-13.184,1.465,20.996,0.000,0
1749426394.230,23.438,-15.625,-1.953,27.344,0.000,0
1749426394.234,28.320,-14.648,-7.812,20.020,0.000,0
1749426394.238,30.762,-10.254,-3.906,16.602,0.000,0
1749426394.242,34.668,-4.883,0.000,21.484,0.000,0
1749426394.247,40.527,-1.953,1.953,32.715,0.000,0
1749426394.250,29.785,-2.930,3.418,32.715,0.000,0
1749426394.254,22.949,-4.395,0.488,21.484,0.000,0
1749426394.258,28.809,-4.883,-0.488,19.043,0.000,0
1749426394.262,24.414,-7.812,2.441,27.344,0.000,0
1749426394.266,24.414,-7.812,5.371,30.273,0.000,0
1749426394.270,28.809,-0.977,5.859,23.926,0.000,0
1749426394.273,37.109,1.953,12.695,29.297,0.000,0
1749426394.277,48.340,3.418,17.578,43.945,0.000,0
1749426394.281,36.133,-0.488,12.695,36.133,0.000,0
1749426394.285,25.391,-7.324,3.906,25.391,0.000,0
1749426394.289,33.691,-8.301,-3.418,26.367,0.000,0
1749426394.293,44.434,-3.418,0.977,37.598,0.000,0
1749426394.297,52.246,0.000,7.324,49.805,0.000,0
1749426394.301,54.688,-3.906,5.859,51.270,0.000,0
1749426394.305,51.270,-9.277,7.324,37.598,0.000,0
1749426394.309,36.133,-14.648,8.301,27.832,0.000,0
1749426394.313,23.926,-13.184,7.324,29.785,0.000,0
1749426394.316,31.738,-10.254,4.883,24.902,0.000,0
1749426394.320,35.156,-15.137,2.930,18.555,0.000,0
1749426394.324,29.785,-15.137,1.953,20.508,0.000,0
1749426394.328,29.785,-15.625,-0.488,28.320,0.000,0
1749426394.332,31.250,-13.184,-0.488,35.645,0.000,0
1749426394.336,31.738,-13.184,-1.953,27.344,0.000,0
1749426394.340,29.785,-12.695,-6.836,26.855,0.000,0
1749426394.344,29.297,-9.766,-1.465,32.715,0.000,0
1749426394.348,35.156,-10.742,1.465,33.691,0.000,0
1749426394.352,30.273,-12.207,-6.836,26.855,0.000,0
1749426394.356,24.414,-20.508,-11.230,19.531,0.000,0
