timestamps,X,Y,Z,Marker0
1749427894.199,0.142,-0.017,0.965,0
1749427894.259,0.145,-0.018,0.969,0
1749427894.259,0.144,-0.017,0.974,0
1749427894.259,0.141,-0.013,0.981,0
1749427894.305,0.140,-0.010,0.982,0
1749427894.305,0.142,-0.013,0.974,0
1749427894.305,0.142,-0.019,0.974,0
1749427894.367,0.140,-0.022,0.969,0
1749427894.367,0.141,-0.022,0.966,0
1749427894.367,0.140,-0.021,0.969,0
1749427894.424,0.136,-0.018,0.969,0
1749427894.424,0.139,-0.015,0.968,0
1749427894.424,0.146,-0.010,0.978,0
1749427894.484,0.153,-0.011,0.982,0
1749427894.484,0.155,-0.015,0.985,0
1749427894.484,0.154,-0.021,0.979,0
1749427894.529,0.156,-0.025,0.971,0
1749427894.529,0.156,-0.028,0.975,0
1749427894.529,0.157,-0.031,0.979,0
1749427894.589,0.156,-0.033,0.979,0
1749427894.589,0.154,-0.037,0.978,0
1749427894.589,0.157,-0.035,0.978,0
1749427894.652,0.154,-0.030,0.981,0
1749427894.652,0.153,-0.028,0.975,0
1749427894.652,0.146,-0.032,0.981,0
1749427894.699,0.148,-0.033,0.970,0
1749427894.699,0.144,-0.035,0.971,0
1749427894.699,0.143,-0.033,0.970,0
1749427894.754,0.140,-0.030,0.966,0
1749427894.754,0.147,-0.032,0.963,0
1749427894.754,0.147,-0.031,0.971,0
1749427894.814,0.146,-0.031,0.973,0
1749427894.814,0.146,-0.028,0.970,0
1749427894.814,0.139,-0.024,0.974,0
1749427894.873,0.144,-0.022,0.975,0
1749427894.873,0.146,-0.026,0.978,0
1749427894.873,0.148,-0.033,0.984,0
1749427894.937,0.144,-0.031,0.977,0
1749427894.937,0.144,-0.029,0.976,0
1749427894.937,0.143,-0.027,0.976,0
1749427894.984,0.138,-0.024,0.978,0
1749427894.984,0.139,-0.028,0.969,0
1749427894.984,0.137,-0.031,0.965,0
1749427895.039,0.134,-0.038,0.966,0
1749427895.039,0.136,-0.038,0.965,0
1749427895.039,0.140,-0.034,0.966,0
1749427895.098,0.141,-0.038,0.967,0
1749427895.098,0.140,-0.033,0.970,0
1749427895.098,0.142,-0.032,0.970,0
1749427895.159,0.136,-0.036,0.974,0
1749427895.159,0.142,-0.028,0.976,0
1749427895.159,0.150,-0.027,0.979,0
1749427895.219,0.147,-0.025,0.984,0
1749427895.219,0.152,-0.027,0.980,0
1749427895.219,0.148,-0.032,0.976,0
1749427895.268,0.153,-0.031,0.972,0
1749427895.268,0.147,-0.033,0.973,0
1749427895.268,0.145,-0.033,0.973,0
1749427895.325,0.144,-0.029,0.975,0
1749427895.325,0.146,-0.026,0.970,0
1749427895.325,0.150,-0.026,0.968,0
1749427895.384,0.147,-0.026,0.979,0
1749427895.384,0.147,-0.031,0.973,0
1749427895.384,0.145,-0.033,0.972,0
1749427895.429,0.144,-0.026,0.971,0
1749427895.429,0.151,-0.031,0.975,0
1749427895.429,0.145,-0.031,0.973,0
1749427895.492,0.149,-0.024,0.972,0
1749427895.492,0.145,-0.021,0.971,0
1749427895.492,0.148,-0.017,0.976,0
1749427895.550,0.151,-0.023,0.977,0
1749427895.550,0.151,-0.023,0.975,0
1749427895.550,0.152,-0.028,0.969,0
1749427895.609,0.156,-0.027,0.969,0
1749427895.609,0.159,-0.029,0.975,0
1749427895.609,0.156,-0.027,0.977,0
1749427895.654,0.158,-0.025,0.978,0
1749427895.654,0.154,-0.019,0.981,0
1749427895.654,0.151,-0.015,0.970,0
1749427895.714,0.145,-0.011,0.966,0
1749427895.714,0.145,-0.014,0.964,0
1749427895.714,0.148,-0.014,0.961,0
1749427895.790,0.144,-0.020,0.964,0
1749427895.790,0.143,-0.028,0.967,0
1749427895.790,0.162,-0.036,0.983,0
1749427895.823,0.155,-0.041,0.984,0
1749427895.823,0.156,-0.039,0.968,0
1749427895.823,0.159,-0.033,0.944,0
1749427895.879,0.156,-0.032,0.968,0
1749427895.879,0.161,-0.037,0.974,0
1749427895.879,0.157,-0.033,0.975,0
1749427895.940,0.158,-0.038,0.967,0
1749427895.940,0.158,-0.037,0.962,0
1749427895.940,0.161,-0.029,0.966,0
