timestamps,X,Y,Z,Marker0
1749426394.319,-0.055,-0.010,0.988,0
1749426394.377,-0.057,-0.010,0.985,0
1749426394.377,-0.058,-0.011,0.995,0
1749426394.377,-0.057,-0.014,0.990,0
1749426394.437,-0.061,-0.005,0.984,0
1749426394.437,-0.063,-0.005,0.984,0
1749426394.437,-0.068,-0.005,0.990,0
1749426394.482,-0.065,0.004,0.989,0
1749426394.482,-0.060,0.019,0.982,0
1749426394.482,-0.059,0.016,0.978,0
1749426394.543,-0.059,0.004,0.973,0
1749426394.543,-0.060,-0.004,0.975,0
1749426394.543,-0.065,-0.019,0.979,0
1749426394.604,-0.062,-0.026,0.985,0
1749426394.604,-0.061,-0.021,0.986,0
1749426394.604,-0.065,-0.021,0.987,0
1749426394.651,-0.067,-0.015,0.979,0
1749426394.651,-0.067,-0.010,0.979,0
1749426394.651,-0.064,-0.000,0.975,0
1749426394.707,-0.066,0.000,0.981,0
1749426394.707,-0.064,0.001,0.984,0
1749426394.707,-0.065,0.000,0.984,0
1749426394.767,-0.065,-0.005,0.982,0
1749426394.767,-0.065,-0.007,0.981,0
1749426394.767,-0.065,-0.015,0.979,0
1749426394.826,-0.066,-0.013,0.978,0
1749426394.826,-0.067,-0.012,0.981,0
1749426394.826,-0.066,-0.009,0.984,0
1749426394.901,-0.063,-0.004,0.982,0
1749426394.901,-0.064,-0.010,0.975,0
1749426394.901,-0.068,-0.009,0.979,0
1749426394.936,-0.065,-0.012,0.978,0
1749426394.936,-0.070,-0.012,0.986,0
1749426394.936,-0.071,-0.010,0.983,0
1749426394.991,-0.070,-0.014,0.980,0
1749426394.991,-0.064,-0.013,0.979,0
1749426394.991,-0.068,-0.014,0.980,0
1749426395.051,-0.066,-0.014,0.978,0
1749426395.051,-0.067,-0.009,0.982,0
1749426395.051,-0.064,-0.014,0.979,0
1749426395.111,-0.066,-0.011,0.986,0
1749426395.111,-0.068,-0.009,0.985,0
1749426395.111,-0.066,-0.010,0.979,0
1749426395.156,-0.064,-0.007,0.979,0
1749426395.156,-0.065,-0.016,0.971,0
1749426395.156,-0.066,-0.019,0.977,0
1749426395.220,-0.065,-0.015,0.979,0
1749426395.220,-0.057,-0.007,0.985,0
1749426395.220,-0.055,-0.008,0.993,0
1749426395.276,-0.057,-0.012,0.991,0
1749426395.276,-0.060,-0.012,0.987,0
1749426395.276,-0.059,-0.009,0.980,0
1749426395.337,-0.062,-0.006,0.981,0
1749426395.337,-0.064,-0.010,0.986,0
1749426395.337,-0.067,-0.011,0.989,0
1749426395.382,-0.064,-0.014,0.986,0
1749426395.382,-0.067,-0.010,0.983,0
1749426395.382,-0.065,-0.007,0.980,0
1749426395.441,-0.071,-0.008,0.984,0
1749426395.441,-0.071,-0.004,0.982,0
1749426395.441,-0.070,0.003,0.982,0
1749426395.502,-0.069,-0.001,0.981,0
1749426395.502,-0.069,-0.000,0.980,0
1749426395.502,-0.068,-0.003,0.978,0
