timestamps,X,Y,Z,Marker0
1749426394.826,-2.699,1.219,-3.477,0
1749426394.901,-2.639,1.204,-3.723,0
1749426394.901,-2.677,1.301,-3.402,0
1749426394.901,-3.260,1.331,-2.894,0
1749426394.936,-3.686,1.824,-2.766,0
1749426394.936,-3.492,1.555,-2.841,0
1749426394.936,-3.439,1.077,-2.923,0
1749426394.991,-3.140,1.084,-2.901,0
1749426394.991,-2.938,1.017,-2.938,0
1749426394.991,-2.886,1.421,-3.245,0
1749426395.051,-3.155,1.473,-3.611,0
1749426395.051,-3.200,2.019,-3.791,0
1749426395.051,-2.916,1.914,-3.806,0
1749426395.111,-2.961,1.899,-3.611,0
1749426395.111,-2.677,1.645,-3.694,0
1749426395.111,-3.058,1.114,-3.574,0
1749426395.155,-3.043,0.935,-3.140,0
1749426395.155,-3.021,1.600,-3.118,0
1749426395.155,-4.060,2.236,-3.088,0
1749426395.220,-4.023,2.669,-3.387,0
1749426395.220,-3.791,3.282,-3.768,0
1749426395.220,-2.789,2.430,-3.589,0
1749426395.276,-2.834,1.802,-3.708,0
1749426395.276,-3.148,1.398,-3.589,0
1749426395.276,-3.267,0.965,-3.372,0
1749426395.336,-3.753,0.905,-2.946,0
1749426395.336,-4.008,1.024,-2.908,0
1749426395.336,-3.282,0.763,-3.065,0
1749426395.382,-3.439,0.703,-3.417,0
1749426395.382,-3.193,0.613,-3.918,0
1749426395.382,-2.751,1.047,-3.963,0
1749426395.441,-2.879,1.084,-4.194,0
1749426395.441,-2.953,1.136,-4.546,0
1749426395.441,-2.871,1.241,-4.389,0
1749426395.501,-2.579,1.159,-3.723,0
1749426395.501,-2.579,1.047,-3.140,0
1749426395.501,-2.565,0.935,-2.505,0
1749426395.546,-2.677,0.950,-2.056,0
1749426395.546,-2.826,1.518,-1.944,0
1749426395.546,-2.871,1.652,-2.482,0
1749426395.607,-2.991,0.000,-3.110,0
1749426395.607,-2.901,1.996,-3.694,0
1749426395.607,-3.065,1.682,-4.434,0
1749426395.666,-2.991,1.593,-4.920,0
1749426395.666,-2.976,1.166,-4.710,0
1749426395.666,-3.596,0.860,-4.411,0
1749426395.727,-3.424,0.965,-3.851,0
1749426395.727,-3.088,1.211,-3.178,0
1749426395.727,-2.834,1.316,-2.684,0
1749426395.790,-2.759,1.443,-2.968,0
1749426395.790,-2.781,1.151,-3.439,0
1749426395.790,-2.707,1.413,-3.738,0
1749426395.832,-2.437,1.697,-3.925,0
1749426395.832,-2.310,0.830,-4.045,0
1749426395.832,-2.348,0.636,-4.112,0
1749426395.892,-2.258,0.127,-3.596,0
1749426395.892,-2.550,0.277,-2.931,0
1749426395.892,-2.722,0.591,-2.766,0
1749426395.951,-3.671,1.047,-2.976,0
1749426395.951,-3.828,1.174,-3.671,0
1749426395.951,-3.469,1.264,-3.791,0
1749426395.996,-2.766,0.935,-3.925,0
1749426395.996,-2.430,1.107,-3.895,0
1749426395.996,-2.894,1.077,-4.142,0
1749426396.061,-3.073,1.376,-3.828,0
1749426396.061,-3.641,1.271,-3.604,0
1749426396.061,-3.679,0.965,-3.163,0
1749426396.116,-3.350,0.979,-3.462,0
1749426396.116,-3.282,0.793,-3.477,0
1749426396.116,-3.051,0.837,-3.738,0
1749426396.176,-2.774,1.353,-4.247,0
1749426396.176,-3.133,1.518,-4.097,0
1749426396.176,-3.641,1.398,-4.359,0
1749426396.237,-3.888,1.637,-4.165,0
1749426396.237,-3.409,1.398,-4.045,0
1749426396.237,-3.492,1.136,-3.828,0
1749426396.281,-2.968,1.271,-3.537,0
1749426396.281,-3.043,1.510,-3.380,0
1749426396.281,-3.073,1.809,-3.058,0
1749426396.345,-2.841,1.914,-3.193,0
1749426396.345,-2.923,1.570,-3.208,0
1749426396.345,-3.267,1.174,-3.619,0
1749426396.401,-3.065,0.703,-3.738,0
1749426396.401,-3.237,0.905,-4.157,0
1749426396.401,-3.522,0.979,-4.067,0
1749426396.446,-3.155,1.144,-4.030,0
1749426396.446,-3.275,1.376,-3.940,0
1749426396.446,-3.350,1.615,-3.851,0
1749426396.506,-3.215,1.495,-3.559,0
