timestamps,PPG1,PPG2,PPG3,Marker0
1749428692.004,461509.000,288752.000,2579.000,0
1749428692.020,461549.000,288742.000,2501.000,0
1749428692.036,461502.000,288732.000,2577.000,0
1749428692.051,461472.000,288728.000,2531.000,0
1749428692.067,461521.000,288732.000,2578.000,0
1749428692.082,461430.000,288791.000,2577.000,0
1749428692.098,461509.000,288787.000,2579.000,0
1749428692.114,461525.000,288772.000,2555.000,0
1749428692.129,461506.000,288797.000,2632.000,0
1749428692.145,461445.000,288832.000,2554.000,0
1749428692.161,461593.000,288879.000,2579.000,0
1749428692.176,461570.000,288905.000,2637.000,0
1749428692.192,461542.000,288911.000,2551.000,0
1749428692.207,461538.000,288942.000,2576.000,0
1749428692.223,461642.000,288925.000,2540.000,0
1749428692.239,461628.000,288981.000,2547.000,0
1749428692.254,461668.000,288997.000,2482.000,0
1749428692.270,461747.000,289042.000,2606.000,0
1749428692.286,461704.000,289034.000,2526.000,0
1749428692.301,461789.000,289056.000,2536.000,0
1749428692.317,461796.000,289121.000,2575.000,0
1749428692.332,461767.000,289065.000,2660.000,0
1749428692.348,461867.000,289170.000,2595.000,0
1749428692.364,461820.000,289071.000,2579.000,0
1749428692.379,461815.000,288932.000,2579.000,0
1749428692.395,461704.000,288856.000,2579.000,0
1749428692.411,461660.000,288753.000,2577.000,0
1749428692.426,461582.000,288618.000,2590.000,0
1749428692.442,461459.000,288526.000,2558.000,0
1749428692.457,461400.000,288520.000,2511.000,0
1749428692.473,461331.000,288475.000,2583.000,0
1749428692.489,461277.000,288438.000,2579.000,0
1749428692.504,461251.000,288438.000,2486.000,0
1749428692.520,461276.000,288469.000,2562.000,0
1749428692.536,461189.000,288532.000,2572.000,0
1749428692.551,461277.000,288528.000,2573.000,0
1749428692.567,461215.000,288525.000,2579.000,0
1749428692.582,461310.000,288568.000,2659.000,0
1749428692.598,461294.000,288564.000,2577.000,0
1749428692.614,461288.000,288581.000,2583.000,0
1749428692.629,461318.000,288641.000,2624.000,0
1749428692.645,461286.000,288606.000,2575.000,0
1749428692.661,461284.000,288549.000,2556.000,0
1749428692.676,461260.000,288574.000,2577.000,0
1749428692.692,461312.000,288571.000,2578.000,0
1749428692.707,461341.000,288550.000,2538.000,0
1749428692.723,461350.000,288601.000,2608.000,0
1749428692.739,461364.000,288577.000,2552.000,0
1749428692.754,461418.000,288543.000,2576.000,0
1749428692.770,461384.000,288600.000,2615.000,0
1749428692.786,461403.000,288608.000,2535.000,0
1749428692.801,461442.000,288623.000,2576.000,0
1749428692.817,461397.000,288645.000,2589.000,0
1749428692.832,461434.000,288747.000,2618.000,0
1749428692.848,461403.000,288653.000,2574.000,0
1749428692.864,461446.000,288745.000,2647.000,0
1749428692.879,461419.000,288711.000,2576.000,0
1749428692.895,461513.000,288763.000,2600.000,0
1749428692.911,461586.000,288856.000,2637.000,0
1749428692.926,461565.000,288860.000,2575.000,0
1749428692.942,461659.000,288857.000,2541.000,0
1749428692.957,461614.000,288887.000,2569.000,0
1749428692.973,461764.000,288972.000,2578.000,0
1749428692.989,461702.000,288885.000,2485.000,0
1749428693.004,461821.000,288963.000,2576.000,0
1749428693.020,461791.000,289013.000,2553.000,0
1749428693.036,461813.000,289023.000,2591.000,0
1749428693.051,461852.000,289059.000,2576.000,0
1749428693.067,461829.000,289079.000,2641.000,0
1749428693.082,461947.000,288974.000,2577.000,0
1749428693.098,461828.000,288928.000,2577.000,0
1749428693.114,461801.000,288808.000,2608.000,0
1749428693.129,461667.000,288722.000,2601.000,0
1749428693.145,461676.000,288636.000,2609.000,0
1749428693.161,461546.000,288589.000,2588.000,0
1749428693.176,461489.000,288508.000,2577.000,0
1749428693.192,461465.000,288478.000,2521.000,0
1749428693.207,461331.000,288509.000,2544.000,0
1749428693.223,461387.000,288463.000,2576.000,0
1749428693.239,461402.000,288501.000,2482.000,0
1749428693.254,461428.000,288568.000,2575.000,0
1749428693.270,461500.000,288609.000,2534.000,0
1749428693.286,461514.000,288576.000,2576.000,0
1749428693.301,461489.000,288630.000,2553.000,0
1749428693.317,461465.000,288633.000,2574.000,0
1749428693.332,461615.000,288677.000,2599.000,0
1749428693.348,461535.000,288708.000,2613.000,0
1749428693.364,461547.000,288704.000,2574.000,0
1749428693.379,461565.000,288709.000,2574.000,0
1749428693.395,461589.000,288712.000,2591.000,0
1749428693.411,461494.000,288662.000,2575.000,0
1749428693.426,461580.000,288691.000,2578.000,0
1749428693.442,461558.000,288669.000,2520.000,0
1749428693.457,461527.000,288704.000,2572.000,0
1749428693.473,461633.000,288699.000,2499.000,0
1749428693.489,461661.000,288749.000,2553.000,0
1749428693.504,461645.000,288756.000,2592.000,0
1749428693.520,461725.000,288810.000,2532.000,0
1749428693.536,461773.000,288849.000,2572.000,0
1749428693.551,461763.000,288850.000,2599.000,0
1749428693.567,461799.000,288906.000,2588.000,0
1749428693.582,461823.000,288878.000,2544.000,0
1749428693.598,461837.000,288943.000,2605.000,0
1749428693.614,461798.000,288970.000,2573.000,0
1749428693.629,461858.000,289003.000,2573.000,0
1749428693.645,461884.000,289041.000,2596.000,0
1749428693.661,461869.000,289101.000,2573.000,0
1749428693.676,461963.000,289110.000,2492.000,0
1749428693.692,462008.000,289058.000,2575.000,0
1749428693.707,462081.000,289196.000,2574.000,0
1749428693.723,462118.000,289194.000,2485.000,0
1749428693.739,462121.000,289193.000,2575.000,0
1749428693.754,462112.000,289236.000,2577.000,0
1749428693.770,462155.000,289260.000,2514.000,0
1749428693.786,462233.000,289281.000,2579.000,0
1749428693.801,462243.000,289231.000,2646.000,0
1749428693.817,462224.000,289191.000,2574.000,0
1749428693.832,462170.000,289055.000,2574.000,0
1749428693.848,462112.000,288948.000,2606.000,0
1749428693.864,461975.000,288861.000,2584.000,0
1749428693.879,461951.000,288801.000,2619.000,0
1749428693.895,461962.000,288825.000,2583.000,0
1749428693.911,461928.000,288803.000,2577.000,0
1749428693.926,461909.000,288819.000,2533.000,0
1749428693.942,461855.000,288843.000,2574.000,0
1749428693.957,461891.000,288851.000,2558.000,0
1749428693.973,461911.000,288875.000,2574.000,0
1749428693.989,461940.000,288913.000,2574.000,0
1749428694.004,461972.000,288932.000,2530.000,0
1749428694.020,462086.000,288935.000,2575.000,0
1749428694.036,462112.000,289007.000,2574.000,0
1749428694.051,462047.000,289053.000,2659.000,0
1749428694.067,462087.000,288978.000,2551.000,0
1749428694.082,462074.000,289022.000,2595.000,0
1749428694.098,461919.000,289029.000,2585.000,0
1749428694.114,462050.000,288973.000,2573.000,0
1749428694.129,461987.000,288976.000,2654.000,0
1749428694.145,461951.000,288993.000,2573.000,0
1749428694.161,461976.000,288969.000,2555.000,0
1749428694.176,462056.000,288984.000,2538.000,0
1749428694.192,462076.000,289026.000,2576.000,0
1749428694.207,462057.000,289057.000,2455.000,0
1749428694.223,462071.000,289021.000,2557.000,0
1749428694.239,462099.000,289102.000,2564.000,0
1749428694.254,462160.000,289104.000,2619.000,0
1749428694.270,462267.000,289181.000,2572.000,0
1749428694.286,462214.000,289202.000,2627.000,0
1749428694.301,462298.000,289182.000,2571.000,0
1749428694.317,462201.000,289252.000,2605.000,0
1749428694.332,462211.000,289284.000,2661.000,0
1749428694.348,462222.000,289279.000,2574.000,0
1749428694.364,462259.000,289308.000,2571.000,0
1749428694.379,462325.000,289328.000,2625.000,0
1749428694.395,462364.000,289366.000,2574.000,0
1749428694.411,462382.000,289366.000,2524.000,0
1749428694.426,462419.000,289409.000,2572.000,0
1749428694.442,462452.000,289450.000,2574.000,0
