timestamps,X,Y,Z,Marker0
1749428436.291,-0.987,-0.897,-1.518,0
1749428436.347,-1.189,-0.942,-2.138,0
1749428436.347,-1.308,-1.839,-1.772,0
1749428436.347,-1.465,-2.049,-1.413,0
1749428436.407,-1.847,-2.280,-0.815,0
1749428436.407,-1.750,-1.944,-0.994,0
1749428436.407,-1.525,-1.637,-1.166,0
1749428436.467,-1.667,-1.794,-1.279,0
1749428436.467,-0.882,-1.809,-1.473,0
1749428436.467,-0.568,-1.989,-1.802,0
1749428436.511,-0.359,-1.787,-2.123,0
1749428436.511,0.112,-1.480,-2.467,0
1749428436.511,0.097,-1.510,-2.520,0
1749428436.574,-0.232,-1.869,-2.811,0
1749428436.574,-0.523,-1.981,-2.991,0
1749428436.574,-0.538,-1.757,-3.290,0
1749428436.632,-1.323,-1.705,-3.215,0
1749428436.632,-2.535,-2.123,-3.163,0
1749428436.632,-3.409,-2.422,-3.417,0
1749428436.677,-3.604,-1.316,-2.916,0
1749428436.677,-3.851,0.179,-2.288,0
1749428436.677,-4.374,0.643,-2.908,0
1749428436.737,-5.510,0.680,-3.918,0
1749428436.737,-5.847,0.778,-4.464,0
1749428436.737,-5.540,1.406,-4.262,0
1749428436.796,-4.770,2.019,-3.843,0
1749428436.796,-3.746,2.505,-3.963,0
1749428436.796,-3.477,2.684,-4.292,0
1749428436.860,-3.477,2.430,-4.695,0
1749428436.860,-3.290,2.004,-4.381,0
1749428436.860,-2.677,1.518,-4.030,0
1749428436.901,-2.131,1.346,-2.400,0
1749428436.901,-1.690,0.748,-1.495,0
1749428436.901,-2.108,0.464,-1.331,0
1749428436.962,-2.228,0.553,-0.673,0
1749428436.962,-2.176,0.725,-0.307,0
1749428436.962,-1.959,1.092,0.389,0
1749428437.022,-1.428,1.832,0.606,0
1749428437.022,-1.548,1.974,0.508,0
1749428437.022,-1.735,2.632,-0.374,0
1749428437.081,-1.563,3.028,-0.800,0
1749428437.081,-1.473,3.761,-0.628,0
1749428437.081,-0.568,4.531,0.710,0
1749428437.130,-0.329,4.890,1.877,0
1749428437.130,-0.568,5.114,2.086,0
1749428437.130,-1.443,4.778,1.682,0
1749428437.186,-2.198,4.531,1.652,0
1749428437.186,-2.325,3.634,2.310,0
1749428437.186,-2.542,4.030,2.535,0
1749428437.247,-3.118,4.606,2.303,0
1749428437.247,-3.058,5.473,1.570,0
1749428437.247,-2.355,6.318,1.996,0
1749428437.307,-1.735,6.998,2.632,0
1749428437.307,-1.376,8.426,1.570,0
1749428437.307,-2.138,9.854,-1.824,0
1749428437.366,-2.849,10.333,-5.510,0
1749428437.366,-2.894,10.041,-8.389,0
1749428437.366,-2.751,9.421,-10.983,0
1749428437.415,-2.579,8.725,-12.449,0
1749428437.415,-3.073,7.626,-12.696,0
1749428437.415,-2.422,6.774,-11.873,0
1749428437.474,-2.557,6.886,-10.774,0
1749428437.474,-3.484,6.886,-11.215,0
1749428437.474,-5.189,6.684,-12.419,0
1749428437.532,-6.722,6.400,-13.511,0
1749428437.532,-7.372,6.295,-13.892,0
1749428437.532,-7.634,5.869,-14.647,0
1749428437.577,-7.746,5.623,-14.595,0
1749428437.577,-7.238,5.720,-14.752,0
1749428437.577,-7.125,5.705,-14.430,0
1749428437.637,-6.916,5.331,-14.026,0
1749428437.637,-7.013,5.817,-13.653,0
1749428437.637,-6.609,6.774,-13.369,0
1749428437.700,-6.378,7.454,-12.583,0
1749428437.700,-6.811,7.761,-11.851,0
1749428437.700,-7.170,8.000,-11.163,0
1749428437.756,-7.380,7.738,-9.884,0
1749428437.756,-7.230,7.350,-8.494,0
1749428437.756,-7.402,7.290,-7.178,0
1749428437.801,-7.350,6.056,-6.423,0
1749428437.801,-7.036,5.922,-5.981,0
1749428437.801,-6.744,5.361,-5.899,0
1749428437.861,-5.765,5.092,-5.675,0
1749428437.861,-5.346,4.710,-5.563,0
1749428437.861,-5.226,4.292,-6.520,0
1749428437.921,-5.047,4.209,-7.350,0
1749428437.921,-5.024,4.366,-8.172,0
1749428437.921,-4.142,4.135,-8.688,0
1749428437.971,-4.471,4.568,-9.481,0
1749428437.971,-4.890,4.703,-10.782,0
1749428437.971,-4.770,4.867,-10.737,0
1749428438.026,-3.918,4.770,-9.488,0
1749428438.026,-3.215,4.591,-7.036,0
1749428438.026,-3.058,4.576,-5.039,0
1749428438.087,-3.350,4.224,-4.037,0
1749428438.087,-4.023,3.619,-3.701,0
1749428438.087,-4.561,3.409,-3.065,0
1749428438.146,-4.419,3.028,-2.138,0
1749428438.146,-4.135,2.662,-1.204,0
1749428438.146,-3.738,2.280,-0.778,0
1749428438.210,-3.664,2.123,-0.793,0
1749428438.210,-3.581,1.219,-1.802,0
1749428438.210,-3.537,1.077,-2.467,0
1749428438.256,-2.430,1.413,-3.148,0
1749428438.256,-2.101,1.196,-4.247,0
1749428438.256,-2.131,0.965,-4.897,0
1749428438.312,-1.824,0.994,-5.077,0
1749428438.312,-1.645,0.979,-4.396,0
1749428438.312,-1.518,0.591,-3.237,0
1749428438.372,-1.525,0.598,-2.340,0
1749428438.372,-2.101,0.217,-2.265,0
1749428438.372,-2.916,-0.479,-2.310,0
1749428438.431,-2.819,-0.680,-2.041,0
1749428438.431,-2.856,-0.733,-1.929,0
1749428438.431,-2.393,-1.069,-1.936,0
1749428438.476,-1.772,-1.181,-2.041,0
1749428438.476,-1.293,-1.907,-1.832,0
1749428438.476,-0.501,-2.811,-2.041,0
1749428438.541,-0.830,-3.701,-2.497,0
1749428438.541,-0.942,-5.039,-2.766,0
1749428438.541,-1.353,-5.705,-2.535,0
1749428438.597,-1.892,-6.281,-2.146,0
1749428438.597,-2.295,-6.550,-1.622,0
1749428438.597,-1.398,-6.273,-1.099,0
1749428438.657,-0.680,-5.473,-0.419,0
1749428438.657,-0.322,-4.950,-0.292,0
1749428438.657,-0.127,-5.047,-0.665,0
1749428438.702,0.007,-4.972,-1.473,0
1749428438.702,-0.404,-5.032,-1.914,0
1749428438.702,-0.404,-5.473,-1.914,0
1749428438.761,-0.060,-5.458,-2.086,0
1749428438.761,-0.239,-5.428,-2.123,0
1749428438.761,-1.032,-5.682,-2.707,0
1749428438.824,-1.682,-5.593,-3.230,0
1749428438.824,-2.781,-5.981,-4.052,0
1749428438.824,-2.841,-5.832,-4.808,0
1749428438.882,-2.378,-6.460,-5.144,0
1749428438.882,-2.168,-6.557,-4.553,0
1749428438.882,-1.914,-7.365,-4.337,0
1749428438.927,-1.907,-8.135,-4.658,0
1749428438.927,-2.355,-8.778,-5.122,0
1749428438.927,-2.789,-9.309,-5.331,0
1749428438.987,-2.452,-9.675,-5.458,0
1749428438.987,-1.869,-9.750,-5.899,0
1749428438.987,-1.047,-9.518,-5.196,0
1749428439.046,-0.680,-10.153,-3.746,0
1749428439.046,-0.972,-11.290,-2.617,0
1749428439.046,-1.637,-12.105,-1.630,0
1749428439.107,-1.316,-12.225,-0.583,0
1749428439.107,-1.383,-12.845,0.269,0
1749428439.107,-0.411,-13.817,0.591,0
1749428439.152,0.553,-13.660,-0.052,0
1749428439.152,1.563,-13.585,-0.322,0
1749428439.152,2.841,-13.084,-0.359,0
1749428439.212,3.200,-12.920,-0.194,0
1749428439.212,3.851,-12.957,-0.359,0
1749428439.212,4.112,-13.054,0.194,0
1749428439.272,4.037,-12.972,0.650,0
1749428439.272,3.888,-13.167,1.174,0
1749428439.272,3.282,-13.241,1.383,0
1749428439.331,2.535,-13.787,0.965,0
1749428439.331,1.578,-14.370,0.979,0
1749428439.331,1.391,-14.939,1.989,0
1749428439.380,1.802,-14.834,2.908,0
1749428439.380,1.443,-14.931,3.036,0
1749428439.380,0.994,-15.312,2.654,0
1749428439.436,0.523,-15.028,1.996,0
1749428439.436,0.434,-14.632,1.129,0
1749428439.436,0.718,-14.243,0.269,0
1749428439.497,0.890,-13.914,-0.374,0
1749428439.497,0.965,-13.974,-0.643,0
1749428439.497,0.479,-13.750,-1.122,0
1749428439.557,-0.135,-13.040,-0.942,0
1749428439.557,-0.007,-13.967,-1.361,0
1749428439.557,0.015,-14.871,-2.071,0
1749428439.602,-0.396,-14.333,-1.720,0
1749428439.602,-0.150,-14.019,-1.922,0
1749428439.602,-0.090,-14.782,-2.594,0
1749428439.665,0.396,-15.133,-3.223,0
1749428439.665,-0.583,-15.170,-3.327,0
1749428439.665,-0.112,-15.051,-3.716,0
1749428439.723,-0.740,-15.126,-3.297,0
1749428439.723,-1.009,-15.597,-2.340,0
1749428439.723,-0.800,-14.879,-1.338,0
1749428439.782,-1.234,-13.204,-0.381,0
1749428439.782,-1.465,-11.911,-0.493,0
1749428439.782,-1.480,-10.991,-1.099,0
1749428439.827,-0.703,-10.639,-1.824,0
1749428439.827,0.000,-9.473,-1.817,0
1749428439.827,0.673,-8.142,-0.950,0
1749428439.887,0.882,-6.961,-0.135,0
1749428439.887,0.112,-6.482,-0.135,0
1749428439.887,-0.837,-5.443,-0.740,0
1749428439.949,-1.413,-4.576,-1.548,0
1749428439.949,-0.770,-4.912,-1.413,0
1749428439.949,-1.009,-5.436,-1.682,0
1749428439.993,-2.497,-4.479,-3.282,0
1749428439.993,-2.572,-3.537,-4.591,0
1749428439.993,-1.637,-2.393,-4.434,0
1749428440.051,-1.346,-1.652,-4.651,0
1749428440.051,-2.437,-1.720,-4.740,0
1749428440.051,-3.544,-0.987,-4.995,0
1749428440.111,-3.537,0.493,-3.753,0
1749428440.111,-2.953,1.884,-2.662,0
1749428440.111,-3.888,2.303,-2.221,0
1749428440.173,-5.211,4.808,-2.602,0
1749428440.173,-6.109,9.271,-3.043,0
1749428440.173,-5.039,12.942,-2.176,0
1749428440.231,-5.054,14.924,-1.196,0
1749428440.231,-5.024,15.627,-1.473,0
1749428440.231,-6.138,18.931,-2.946,0
1749428440.276,-6.273,21.473,-3.581,0
1749428440.276,-5.787,21.077,-2.632,0
1749428440.276,-5.899,19.971,-2.572,0
1749428440.336,-6.355,20.636,-3.118,0
1749428440.336,-7.619,22.034,-2.707,0
1749428440.336,-7.357,20.853,-1.570,0
1749428440.397,-6.363,17.974,-0.441,0
1749428440.397,-6.101,16.793,-0.628,0
1749428440.397,-6.348,16.232,-2.789,0
1749428440.456,-7.223,17.929,-5.361,0
1749428440.456,-5.660,8.815,-6.378,0
1749428440.456,-3.028,7.208,-5.869,0
1749428440.506,-0.142,5.735,-3.230,0
1749428440.506,1.944,5.922,-0.060,0
1749428440.506,2.662,8.733,1.129,0
1749428440.562,1.436,10.796,1.667,0
1749428440.562,-0.441,10.692,1.690,0
1749428440.562,-1.548,10.782,1.824,0
1749428440.622,-2.482,10.318,2.303,0
1749428440.622,-3.185,8.381,2.781,0
1749428440.622,-3.866,6.976,2.497,0
1749428440.681,-4.314,6.400,1.450,0
1749428440.681,-5.368,6.161,0.037,0
1749428440.681,-6.138,5.869,-1.264,0
1749428440.727,-5.780,5.660,-2.437,0
1749428440.727,-4.568,6.505,-2.482,0
1749428440.727,-3.462,7.439,-1.794,0
1749428440.791,-1.772,6.497,-1.922,0
1749428440.791,-0.957,5.002,-1.824,0
1749428440.791,-1.136,3.327,-2.236,0
1749428440.846,-0.950,2.901,-3.133,0
1749428440.846,-1.092,2.796,-4.097,0
1749428440.846,-1.241,2.961,-4.434,0
1749428440.906,-1.518,1.869,-4.920,0
1749428440.906,-2.153,1.039,-5.279,0
