timestamps,PPG1,PPG2,PPG3,Marker0
1749427042.762,454168.000,286748.000,2511.000,0
1749427042.778,454234.000,286771.000,2477.000,0
1749427042.794,454172.000,286738.000,2561.000,0
1749427042.809,454238.000,286624.000,2490.000,0
1749427042.825,454188.000,286546.000,2489.000,0
1749427042.841,454029.000,286502.000,2523.000,0
1749427042.856,454029.000,286405.000,2505.000,0
1749427042.872,453939.000,286368.000,2519.000,0
1749427042.887,453821.000,286382.000,2504.000,0
1749427042.903,453841.000,286344.000,2508.000,0
1749427042.919,453815.000,286364.000,2433.000,0
1749427042.934,453707.000,286346.000,2465.000,0
1749427042.950,453728.000,286294.000,2493.000,0
1749427042.966,453712.000,286335.000,2397.000,0
1749427042.981,453721.000,286299.000,2490.000,0
1749427042.997,453754.000,286254.000,2448.000,0
1749427043.012,453759.000,286340.000,2491.000,0
1749427043.028,453733.000,286299.000,2466.000,0
1749427043.044,453687.000,286326.000,2492.000,0
1749427043.059,453730.000,286303.000,2493.000,0
1749427043.075,453634.000,286319.000,2525.000,0
1749427043.091,453627.000,286255.000,2490.000,0
1749427043.106,453601.000,286286.000,2489.000,0
1749427043.122,453636.000,286231.000,2492.000,0
1749427043.137,453577.000,286276.000,2518.000,0
1749427043.153,453595.000,286327.000,2493.000,0
1749427043.169,453605.000,286334.000,2432.000,0
1749427043.184,453579.000,286334.000,2458.000,0
1749427043.200,453618.000,286346.000,2431.000,0
1749427043.216,453640.000,286323.000,2493.000,0
1749427043.231,453602.000,286341.000,2490.000,0
1749427043.247,453567.000,286332.000,2446.000,0
1749427043.262,453687.000,286405.000,2490.000,0
1749427043.278,453641.000,286343.000,2513.000,0
1749427043.294,453688.000,286409.000,2491.000,0
1749427043.309,453653.000,286386.000,2461.000,0
1749427043.325,453644.000,286437.000,2522.000,0
1749427043.341,453621.000,286465.000,2518.000,0
1749427043.356,453747.000,286476.000,2493.000,0
1749427043.372,453686.000,286476.000,2513.000,0
1749427043.387,453594.000,286504.000,2491.000,0
1749427043.403,453750.000,286524.000,2406.000,0
1749427043.419,453731.000,286537.000,2490.000,0
1749427043.434,453761.000,286533.000,2491.000,0
1749427043.450,453742.000,286585.000,2401.000,0
1749427043.466,453759.000,286576.000,2490.000,0
1749427043.481,453719.000,286606.000,2499.000,0
1749427043.497,453866.000,286619.000,2453.000,0
1749427043.512,453833.000,286597.000,2494.000,0
1749427043.528,453849.000,286624.000,2564.000,0
1749427043.544,453817.000,286624.000,2490.000,0
1749427043.559,453845.000,286572.000,2492.000,0
1749427043.575,453802.000,286500.000,2492.000,0
1749427043.591,453737.000,286432.000,2499.000,0
1749427043.606,453702.000,286358.000,2507.000,0
1749427043.622,453614.000,286290.000,2507.000,0
1749427043.637,453611.000,286247.000,2493.000,0
1749427043.653,453507.000,286230.000,2408.000,0
1749427043.669,453445.000,286264.000,2471.000,0
1749427043.684,453441.000,286190.000,2471.000,0
1749427043.700,453433.000,286154.000,2479.000,0
1749427043.716,453405.000,286181.000,2490.000,0
1749427043.731,453318.000,286170.000,2448.000,0
1749427043.747,453397.000,286121.000,2491.000,0
1749427043.762,453323.000,286136.000,2471.000,0
1749427043.778,453288.000,286173.000,2575.000,0
1749427043.794,453252.000,286153.000,2470.000,0
1749427043.809,453253.000,286155.000,2512.000,0
1749427043.825,453220.000,286161.000,2513.000,0
1749427043.841,453265.000,286183.000,2493.000,0
1749427043.856,453305.000,286168.000,2554.000,0
1749427043.872,453172.000,286145.000,2491.000,0
1749427043.887,453256.000,286134.000,2485.000,0
1749427043.903,453186.000,286156.000,2453.000,0
1749427043.919,453243.000,286167.000,2491.000,0
1749427043.934,453235.000,286186.000,2395.000,0
1749427043.950,453295.000,286175.000,2472.000,0
1749427043.966,453218.000,286192.000,2478.000,0
1749427043.981,0.000,0.000,2506.000,0
1749427043.997,0.000,0.000,2490.000,0
1749427044.012,0.000,0.000,2545.000,0
1749427044.028,0.000,0.000,2507.000,0
1749427044.044,0.000,0.000,2521.000,0
1749427044.059,0.000,0.000,2573.000,0
1749427044.075,453348.000,286284.000,2488.000,0
1749427044.091,453372.000,286356.000,2491.000,0
1749427044.106,453395.000,286350.000,2528.000,0
1749427044.122,453397.000,286354.000,2493.000,0
1749427044.137,453388.000,286385.000,2442.000,0
1749427044.153,453416.000,286404.000,2491.000,0
1749427044.169,453435.000,286374.000,2514.000,0
1749427044.184,453426.000,286439.000,2417.000,0
1749427044.200,453502.000,286421.000,2494.000,0
1749427044.216,453470.000,286449.000,2485.000,0
1749427044.231,453503.000,286459.000,2482.000,0
1749427044.247,453566.000,286488.000,2493.000,0
1749427044.262,453536.000,286501.000,2525.000,0
1749427044.278,453621.000,286498.000,2502.000,0
1749427044.294,453516.000,286529.000,2493.000,0
1749427044.309,453600.000,286528.000,2493.000,0
1749427044.325,453592.000,286560.000,2521.000,0
1749427044.341,453700.000,286606.000,2543.000,0
1749427044.356,453630.000,286598.000,2489.000,0
1749427044.372,453728.000,286663.000,2493.000,0
1749427044.387,453787.000,286625.000,2435.000,0
1749427044.403,453779.000,286671.000,2502.000,0
1749427044.419,453800.000,286677.000,2485.000,0
1749427044.434,453821.000,286742.000,2472.000,0
1749427044.450,453854.000,286717.000,2513.000,0
1749427044.466,453825.000,286696.000,2456.000,0
1749427044.481,453908.000,286586.000,2494.000,0
1749427044.497,453763.000,286521.000,2511.000,0
1749427044.512,453664.000,286437.000,2514.000,0
1749427044.528,453563.000,286318.000,2468.000,0
1749427044.544,453530.000,286266.000,2537.000,0
1749427044.559,453425.000,286220.000,2478.000,0
1749427044.575,453418.000,286231.000,2492.000,0
1749427044.591,453434.000,286209.000,2486.000,0
1749427044.606,453334.000,286241.000,2494.000,0
1749427044.622,453361.000,286201.000,2459.000,0
1749427044.637,453303.000,286143.000,2492.000,0
1749427044.653,453315.000,286155.000,2492.000,0
1749427044.669,453199.000,286143.000,2397.000,0
1749427044.684,453280.000,286134.000,2494.000,0
1749427044.700,453333.000,286122.000,2508.000,0
1749427044.716,453205.000,286142.000,2450.000,0
1749427044.731,453252.000,286134.000,2486.000,0
1749427044.747,453250.000,286122.000,2522.000,0
1749427044.762,453256.000,286147.000,2469.000,0
1749427044.778,453222.000,286118.000,2494.000,0
1749427044.794,453206.000,286139.000,2579.000,0
1749427044.809,453190.000,286097.000,2493.000,0
1749427044.825,453115.000,286038.000,2535.000,0
1749427044.841,453195.000,286112.000,2514.000,0
1749427044.856,453126.000,286141.000,2483.000,0
1749427044.872,453154.000,286108.000,2470.000,0
1749427044.887,453143.000,286130.000,2493.000,0
1749427044.903,453141.000,286121.000,2492.000,0
1749427044.919,453228.000,286144.000,2493.000,0
1749427044.934,453215.000,286138.000,2495.000,0
1749427044.950,453252.000,286151.000,2460.000,0
1749427044.966,453341.000,286144.000,2498.000,0
1749427044.981,453232.000,286198.000,2491.000,0
