timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749428435.462,-36.621,-40.039,68.359,-30.762,0.000,0
1749428435.465,-46.875,-35.645,60.547,-36.621,0.000,0
1749428435.469,-41.016,-27.344,67.383,-40.039,0.000,0
1749428435.473,-33.691,-20.020,62.012,-43.457,0.000,0
1749428435.477,-38.574,-20.020,53.223,-41.016,0.000,0
1749428435.481,-38.086,-37.109,48.340,-39.551,0.000,0
1749428435.485,-39.062,-45.898,46.387,-44.922,0.000,0
1749428435.488,-45.898,-48.340,44.434,-49.805,0.000,0
1749428435.492,-38.086,-46.875,43.457,-45.410,0.000,0
1749428435.496,-29.297,-39.062,45.898,-42.969,0.000,0
1749428435.500,-20.996,-28.320,57.129,-29.297,0.000,0
1749428435.504,-24.414,-20.508,55.176,-29.785,0.000,0
1749428435.509,-37.598,-27.344,40.527,-46.875,0.000,0
1749428435.512,-35.156,-35.156,29.297,-49.316,0.000,0
1749428435.516,-23.438,-36.621,18.066,-53.223,0.000,0
1749428435.520,-19.043,-37.109,32.715,-53.711,0.000,0
1749428435.524,-31.738,-42.480,49.805,-40.527,0.000,0
1749428435.528,-26.367,-32.715,65.918,-28.809,0.000,0
1749428435.532,-39.062,-29.785,99.121,-31.738,0.000,0
1749428435.535,-58.594,-27.832,123.535,-44.434,0.000,0
1749428435.539,-55.176,-26.367,125.977,-50.293,0.000,0
1749428435.543,-65.430,-40.039,117.676,-48.340,0.000,0
1749428435.547,-65.918,-44.922,113.281,-49.316,0.000,0
1749428435.551,-51.758,-41.992,111.328,-53.223,0.000,0
1749428435.555,-46.387,-29.785,108.887,-53.711,0.000,0
1749428435.559,-47.363,-24.902,101.562,-51.758,0.000,0
1749428435.563,-47.363,-25.879,88.867,-57.129,0.000,0
1749428435.567,-41.016,-32.227,84.473,-53.711,0.000,0
1749428435.571,-40.527,-34.668,83.496,-42.969,0.000,0
1749428435.575,-41.016,-19.043,83.496,-36.621,0.000,0
1749428435.579,-41.016,-22.461,77.637,-40.039,0.000,0
1749428435.582,-54.199,-36.133,65.430,-49.805,0.000,0
1749428435.586,-47.852,-39.551,55.176,-51.758,0.000,0
1749428435.590,-37.109,-42.480,45.410,-52.734,0.000,0
1749428435.594,-31.738,-36.133,52.246,-40.527,0.000,0
1749428435.598,-26.367,-25.391,58.594,-26.855,0.000,0
1749428435.602,-25.391,-28.809,50.781,-33.691,0.000,0
1749428435.606,-17.578,-26.855,52.734,-34.180,0.000,0
1749428435.610,-12.695,-18.555,56.152,-27.344,0.000,0
1749428435.614,-30.762,-30.273,35.156,-32.715,0.000,0
1749428435.618,-36.133,-30.273,23.438,-39.062,0.000,0
1749428435.622,-41.504,-26.855,24.902,-40.527,0.000,0
1749428435.625,-52.734,-34.180,24.414,-40.039,0.000,0
1749428435.629,-39.551,-38.086,30.273,-42.480,0.000,0
1749428435.633,-24.902,-26.367,38.086,-34.668,0.000,0
1749428435.637,-23.926,-11.230,43.945,-18.555,0.000,0
1749428435.641,-35.156,-23.438,24.414,-36.621,0.000,0
1749428435.645,-39.062,-37.598,4.883,-50.781,0.000,0
1749428435.649,-41.016,-35.645,13.672,-41.016,0.000,0
1749428435.653,-47.852,-27.832,19.043,-45.410,0.000,0
1749428435.657,-39.062,-37.109,13.184,-48.340,0.000,0
1749428435.661,-25.391,-47.363,7.324,-43.945,0.000,0
1749428435.665,-19.531,-36.133,9.277,-28.320,0.000,0
1749428435.668,-27.832,-16.602,14.648,-20.020,0.000,0
1749428435.672,-40.039,-15.625,7.324,-30.273,0.000,0
1749428435.676,-36.133,-22.461,1.953,-37.598,0.000,0
1749428435.680,-26.367,-24.414,2.441,-32.715,0.000,0
1749428435.684,-45.410,-27.832,4.883,-34.668,0.000,0
1749428435.688,-51.758,-39.551,10.742,-37.109,0.000,0
1749428435.691,-37.598,-37.109,11.719,-33.203,0.000,0
1749428435.696,-37.109,-26.367,9.277,-30.273,0.000,0
1749428435.700,-34.668,-24.902,9.277,-26.367,0.000,0
1749428435.704,-34.180,-18.555,9.277,-29.785,0.000,0
1749428435.707,-38.086,-27.832,2.441,-33.691,0.000,0
1749428435.711,-55.664,-44.434,-9.277,-42.969,0.000,0
1749428435.715,-58.594,-37.598,-9.277,-41.992,0.000,0
1749428435.719,-42.969,-31.250,-4.883,-34.180,0.000,0
