timestamps,X,Y,Z,Marker0
1749428435.896,0.113,0.070,0.975,0
1749428435.959,0.110,0.064,0.968,0
1749428435.959,0.112,0.073,0.971,0
1749428435.959,0.116,0.071,0.973,0
1749428436.007,0.119,0.070,0.986,0
1749428436.007,0.122,0.061,0.996,0
1749428436.007,0.114,0.056,0.987,0
1749428436.062,0.114,0.054,0.989,0
1749428436.062,0.121,0.057,0.990,0
1749428436.062,0.117,0.054,0.998,0
1749428436.122,0.118,0.054,0.998,0
1749428436.122,0.114,0.056,0.975,0
1749428436.122,0.112,0.055,0.972,0
1749428436.181,0.112,0.050,0.978,0
1749428436.181,0.109,0.055,0.983,0
1749428436.181,0.110,0.051,0.979,0
1749428436.244,0.110,0.049,0.978,0
1749428436.244,0.109,0.038,0.980,0
1749428436.244,0.108,0.033,0.981,0
1749428436.291,0.105,0.033,0.984,0
1749428436.291,0.104,0.033,0.984,0
1749428436.291,0.105,0.035,0.991,0
1749428436.347,0.108,0.036,0.994,0
1749428436.347,0.102,0.036,0.993,0
1749428436.347,0.102,0.040,0.982,0
1749428436.407,0.096,0.031,0.976,0
1749428436.407,0.093,0.032,0.975,0
1749428436.407,0.092,0.033,0.983,0
1749428436.467,0.093,0.029,0.986,0
1749428436.467,0.097,0.026,0.980,0
1749428436.467,0.095,0.026,0.975,0
1749428436.512,0.091,0.023,0.974,0
1749428436.512,0.094,0.021,0.987,0
1749428436.512,0.093,0.017,0.986,0
1749428436.575,0.091,0.014,0.981,0
1749428436.575,0.090,0.018,0.976,0
1749428436.575,0.081,0.016,0.977,0
1749428436.632,0.077,0.009,0.982,0
1749428436.632,0.074,0.014,0.976,0
1749428436.632,0.076,0.023,0.961,0
1749428436.692,0.074,0.021,0.959,0
1749428436.692,0.076,0.012,0.969,0
1749428436.692,0.072,0.010,0.970,0
1749428436.737,0.070,0.021,0.975,0
1749428436.737,0.069,0.036,0.966,0
1749428436.737,0.071,0.040,0.970,0
1749428436.796,0.074,0.038,0.977,0
1749428436.796,0.080,0.030,0.988,0
1749428436.796,0.077,0.039,0.987,0
1749428436.861,0.075,0.051,0.989,0
1749428436.861,0.067,0.053,0.999,0
1749428436.861,0.076,0.062,0.992,0
1749428436.917,0.075,0.060,0.989,0
1749428436.917,0.071,0.048,0.984,0
1749428436.917,0.069,0.049,0.985,0
1749428436.962,0.069,0.053,0.977,0
1749428436.962,0.069,0.050,0.972,0
1749428436.962,0.071,0.045,0.969,0
1749428437.022,0.068,0.036,0.973,0
1749428437.022,0.070,0.026,0.965,0
1749428437.022,0.063,0.029,0.962,0
1749428437.081,0.066,0.042,0.964,0
1749428437.081,0.069,0.046,0.961,0
1749428437.081,0.071,0.043,0.972,0
1749428437.131,0.080,0.031,0.973,0
1749428437.131,0.076,0.013,0.978,0
1749428437.131,0.071,0.012,0.990,0
1749428437.187,0.070,0.022,0.990,0
1749428437.187,0.068,0.018,0.982,0
1749428437.187,0.064,0.012,0.971,0
1749428437.247,0.064,0.010,0.967,0
1749428437.247,0.070,0.017,0.959,0
1749428437.247,0.076,0.008,0.948,0
1749428437.307,0.085,-0.015,0.962,0
1749428437.307,0.093,-0.054,0.954,0
1749428437.307,0.105,-0.060,0.971,0
1749428437.366,0.120,-0.047,0.980,0
1749428437.366,0.133,-0.039,0.995,0
1749428437.366,0.136,-0.033,0.997,0
1749428437.416,0.131,-0.008,1.001,0
1749428437.416,0.136,0.004,0.999,0
1749428437.416,0.135,0.002,0.988,0
1749428437.473,0.140,-0.014,0.981,0
1749428437.473,0.136,-0.033,0.986,0
1749428437.473,0.134,-0.022,0.983,0
1749428437.532,0.135,-0.009,0.985,0
1749428437.532,0.134,-0.006,0.989,0
1749428437.532,0.129,0.006,0.978,0
1749428437.592,0.127,0.018,0.970,0
1749428437.592,0.124,0.023,0.971,0
1749428437.592,0.125,0.032,0.966,0
1749428437.637,0.130,0.038,0.966,0
1749428437.637,0.130,0.045,0.961,0
1749428437.637,0.137,0.055,0.965,0
1749428437.700,0.137,0.057,0.971,0
1749428437.700,0.138,0.063,0.971,0
1749428437.700,0.140,0.073,0.975,0
1749428437.756,0.151,0.077,0.981,0
1749428437.756,0.155,0.072,0.984,0
1749428437.756,0.166,0.076,0.986,0
1749428437.816,0.170,0.065,0.988,0
1749428437.816,0.165,0.062,0.991,0
1749428437.816,0.166,0.058,0.982,0
1749428437.862,0.167,0.053,0.981,0
1749428437.862,0.169,0.042,0.984,0
1749428437.862,0.174,0.034,0.977,0
1749428437.922,0.169,0.042,0.969,0
1749428437.922,0.173,0.042,0.969,0
1749428437.922,0.172,0.040,0.974,0
1749428437.981,0.166,0.038,0.967,0
1749428437.981,0.168,0.057,0.973,0
1749428437.981,0.172,0.079,0.972,0
1749428438.042,0.174,0.093,0.977,0
1749428438.042,0.180,0.088,0.979,0
1749428438.042,0.181,0.070,0.977,0
1749428438.088,0.187,0.058,0.977,0
1749428438.088,0.186,0.060,0.983,0
1749428438.088,0.184,0.069,0.977,0
1749428438.147,0.185,0.067,0.981,0
1749428438.147,0.186,0.061,0.979,0
1749428438.147,0.181,0.050,0.983,0
1749428438.209,0.182,0.040,0.986,0
1749428438.209,0.179,0.040,0.978,0
1749428438.209,0.181,0.046,0.975,0
1749428438.257,0.180,0.044,0.970,0
1749428438.257,0.182,0.043,0.970,0
1749428438.257,0.177,0.051,0.977,0
1749428438.313,0.180,0.064,0.978,0
1749428438.313,0.179,0.065,0.972,0
1749428438.313,0.179,0.061,0.975,0
1749428438.372,0.176,0.053,0.978,0
1749428438.372,0.177,0.048,0.981,0
1749428438.372,0.183,0.045,0.980,0
1749428438.431,0.179,0.048,0.977,0
1749428438.431,0.183,0.050,0.983,0
1749428438.431,0.181,0.048,0.984,0
1749428438.477,0.182,0.048,0.993,0
1749428438.477,0.180,0.037,0.992,0
1749428438.477,0.184,0.031,0.999,0
1749428438.541,0.176,0.027,0.998,0
1749428438.541,0.173,0.040,0.988,0
1749428438.541,0.164,0.047,0.987,0
1749428438.597,0.150,0.045,0.979,0
1749428438.597,0.140,0.048,0.976,0
1749428438.597,0.141,0.054,0.966,0
1749428438.657,0.147,0.044,0.962,0
1749428438.657,0.147,0.027,0.966,0
1749428438.657,0.153,0.024,0.969,0
1749428438.716,0.150,0.021,0.976,0
1749428438.716,0.146,0.022,0.974,0
1749428438.716,0.141,0.023,0.976,0
1749428438.776,0.133,0.022,0.969,0
1749428438.776,0.135,0.011,0.971,0
1749428438.776,0.133,0.013,0.972,0
1749428438.825,0.131,0.006,0.983,0
