timestamps,X,Y,Z,Marker0
1749427096.837,0.111,-0.052,0.992,0
1749427096.837,0.111,-0.052,0.992,0
1749427096.837,0.106,-0.051,0.988,0
1749427096.837,0.113,-0.050,0.974,0
1749427096.894,0.116,-0.058,0.980,0
1749427096.894,0.118,-0.057,0.983,0
1749427096.894,0.117,-0.055,1.016,0
1749427096.955,0.122,-0.057,1.004,0
1749427096.955,0.124,-0.061,0.993,0
1749427096.955,0.127,-0.066,0.976,0
1749427096.999,0.125,-0.066,0.991,0
1749427096.999,0.127,-0.067,0.993,0
1749427096.999,0.130,-0.070,0.991,0
1749427097.059,0.149,-0.073,0.949,0
1749427097.059,0.118,-0.069,0.956,0
1749427097.059,0.112,-0.072,0.965,0
1749427097.122,0.102,-0.077,0.963,0
1749427097.122,0.100,-0.077,0.960,0
1749427097.122,0.120,-0.076,0.963,0
1749427097.184,0.111,-0.073,0.970,0
1749427097.184,0.108,-0.061,0.977,0
1749427097.184,0.087,-0.054,0.971,0
1749427097.224,0.075,-0.039,0.989,0
1749427097.224,0.041,-0.045,0.942,0
1749427097.224,0.139,-0.022,0.969,0
1749427097.284,0.071,-0.023,0.929,0
1749427097.284,0.075,-0.030,0.931,0
1749427097.284,0.082,-0.033,0.946,0
1749427097.345,0.078,-0.040,0.948,0
1749427097.345,0.091,-0.052,0.969,0
1749427097.345,0.097,-0.051,0.980,0
1749427097.407,0.097,-0.047,0.972,0
1749427097.407,0.104,-0.042,0.978,0
1749427097.407,0.106,-0.043,0.977,0
1749427097.454,0.112,-0.043,0.993,0
1749427097.454,0.114,-0.046,0.997,0
1749427097.454,0.115,-0.040,0.990,0
1749427097.511,0.114,-0.033,0.986,0
1749427097.511,0.114,-0.026,0.978,0
1749427097.511,0.113,-0.026,0.982,0
1749427097.569,0.114,-0.030,0.994,0
1749427097.569,0.118,-0.042,0.996,0
1749427097.569,0.116,-0.048,0.994,0
1749427097.629,0.113,-0.051,0.992,0
1749427097.629,0.113,-0.051,0.981,0
1749427097.629,0.106,-0.050,0.999,0
1749427097.689,0.104,-0.043,0.989,0
1749427097.689,0.103,-0.034,0.989,0
1749427097.689,0.105,-0.032,0.982,0
1749427097.738,0.100,-0.032,0.981,0
1749427097.738,0.097,-0.038,0.967,0
1749427097.738,0.092,-0.043,0.972,0
1749427097.794,0.093,-0.052,0.962,0
1749427097.794,0.092,-0.052,0.965,0
1749427097.794,0.091,-0.055,0.965,0
1749427097.854,0.086,-0.055,0.965,0
1749427097.854,0.086,-0.057,0.972,0
1749427097.854,0.090,-0.052,0.978,0
1749427097.899,0.096,-0.052,0.983,0
1749427097.899,0.097,-0.054,0.982,0
1749427097.899,0.112,-0.053,0.989,0
1749427097.960,0.119,-0.056,0.988,0
1749427097.960,0.123,-0.058,0.983,0
1749427097.960,0.113,-0.046,0.978,0
1749427098.018,0.116,-0.044,0.966,0
1749427098.018,0.115,-0.039,0.982,0
1749427098.018,0.112,-0.038,0.989,0
1749427098.079,0.110,-0.041,0.984,0
1749427098.079,0.114,-0.040,0.987,0
1749427098.079,0.119,-0.040,1.000,0
1749427098.124,0.116,-0.045,0.998,0
1749427098.124,0.103,-0.047,0.974,0
1749427098.124,0.097,-0.043,0.948,0
1749427098.185,0.087,-0.047,0.955,0
1749427098.185,0.091,-0.045,0.944,0
1749427098.185,0.102,-0.045,0.942,0
1749427098.245,0.099,-0.050,0.959,0
1749427098.245,0.102,-0.050,0.980,0
1749427098.245,0.108,-0.055,0.995,0
1749427098.293,0.113,-0.057,0.985,0
1749427098.293,0.110,-0.056,0.984,0
1749427098.293,0.111,-0.057,0.979,0
1749427098.349,0.117,-0.052,0.994,0
1749427098.349,0.117,-0.049,0.990,0
1749427098.349,0.119,-0.036,0.989,0
1749427098.409,0.115,-0.031,0.984,0
1749427098.409,0.110,-0.047,0.977,0
1749427098.409,0.095,-0.053,0.969,0
1749427098.470,0.117,-0.047,0.984,0
1749427098.470,0.111,-0.049,0.987,0
1749427098.470,0.105,-0.049,0.971,0
1749427098.528,0.100,-0.056,0.962,0
1749427098.528,0.105,-0.055,0.976,0
1749427098.528,0.103,-0.056,0.981,0
1749427098.579,0.106,-0.052,0.980,0
1749427098.579,0.103,-0.051,0.954,0
1749427098.579,0.111,-0.043,0.961,0
1749427098.634,0.114,-0.050,0.977,0
1749427098.634,0.111,-0.051,0.989,0
1749427098.634,0.116,-0.047,0.984,0
1749427098.695,0.117,-0.045,0.981,0
1749427098.695,0.122,-0.044,0.987,0
1749427098.695,0.117,-0.047,0.974,0
1749427098.754,0.114,-0.050,0.968,0
1749427098.754,0.116,-0.052,0.982,0
1749427098.754,0.122,-0.049,0.984,0
1749427098.799,0.117,-0.053,0.979,0
1749427098.799,0.125,-0.049,0.960,0
1749427098.799,0.115,-0.048,0.955,0
1749427098.862,0.111,-0.051,0.955,0
1749427098.862,0.118,-0.050,0.993,0
1749427098.862,0.128,-0.049,0.999,0
1749427098.948,0.113,-0.044,0.970,0
1749427098.948,0.120,-0.044,0.968,0
1749427098.948,0.126,-0.047,0.987,0
1749427098.979,0.125,-0.049,0.994,0
1749427098.979,0.126,-0.048,0.991,0
1749427098.979,0.124,-0.048,0.966,0
1749427099.039,0.123,-0.044,0.969,0
1749427099.039,0.121,-0.045,0.980,0
1749427099.039,0.123,-0.053,1.004,0
1749427099.084,0.123,-0.053,0.966,0
1749427099.084,0.115,-0.048,0.956,0
1749427099.084,0.113,-0.049,0.951,0
1749427099.149,0.119,-0.049,0.957,0
1749427099.149,0.131,-0.056,0.999,0
1749427099.149,0.129,-0.058,1.005,0
1749427099.189,0.114,-0.056,0.972,0
1749427099.189,0.116,-0.053,0.963,0
1749427099.189,0.138,-0.048,0.966,0
1749427099.250,0.109,-0.053,0.973,0
1749427099.250,0.139,-0.051,0.982,0
1749427099.250,0.123,-0.052,0.980,0
1749427099.309,0.113,-0.057,0.973,0
1749427099.309,0.119,-0.055,0.971,0
1749427099.309,0.127,-0.060,0.964,0
1749427099.369,0.131,-0.063,0.974,0
1749427099.369,0.130,-0.062,0.985,0
1749427099.369,0.133,-0.064,0.965,0
1749427099.419,0.133,-0.064,0.978,0
1749427099.419,0.130,-0.061,0.974,0
1749427099.419,0.126,-0.061,0.971,0
1749427099.474,0.128,-0.063,0.981,0
1749427099.474,0.124,-0.066,0.975,0
1749427099.474,0.122,-0.059,0.960,0
1749427099.534,0.124,-0.056,0.964,0
1749427099.534,0.134,-0.059,0.970,0
1749427099.534,0.111,-0.060,0.970,0
1749427099.594,0.139,-0.059,0.989,0
1749427099.594,0.135,-0.059,0.976,0
1749427099.594,0.135,-0.059,0.963,0
1749427099.656,0.126,-0.054,0.977,0
1749427099.656,0.126,-0.058,0.980,0
1749427099.656,0.125,-0.053,0.987,0
1749427099.704,0.126,-0.054,0.974,0
1749427099.704,0.130,-0.051,0.980,0
1749427099.704,0.132,-0.053,0.981,0
1749427099.759,0.134,-0.055,0.985,0
1749427099.759,0.138,-0.059,0.974,0
1749427099.759,0.136,-0.054,0.968,0
1749427099.819,0.133,-0.057,0.967,0
1749427099.819,0.126,-0.057,0.984,0
1749427099.819,0.125,-0.065,0.986,0
1749427099.879,0.130,-0.063,0.971,0
1749427099.879,0.125,-0.051,0.973,0
1749427099.879,0.128,-0.055,0.971,0
1749427099.924,0.127,-0.061,0.974,0
1749427099.924,0.119,-0.059,0.976,0
1749427099.924,0.119,-0.054,0.977,0
1749427099.988,0.121,-0.054,0.965,0
1749427099.988,0.121,-0.055,0.963,0
1749427099.988,0.125,-0.054,0.961,0
1749427100.044,0.125,-0.055,0.974,0
1749427100.044,0.127,-0.057,0.983,0
1749427100.044,0.129,-0.054,0.981,0
1749427100.090,0.127,-0.056,0.981,0
1749427100.090,0.122,-0.057,0.978,0
1749427100.090,0.128,-0.058,0.977,0
1749427100.149,0.126,-0.056,0.978,0
1749427100.149,0.122,-0.053,0.980,0
1749427100.149,0.122,-0.051,0.976,0
1749427100.209,0.125,-0.052,0.972,0
1749427100.209,0.123,-0.052,0.969,0
1749427100.209,0.122,-0.052,0.974,0
1749427100.269,0.124,-0.053,0.971,0
1749427100.269,0.124,-0.052,0.975,0
1749427100.269,0.122,-0.049,0.976,0
1749427100.314,0.125,-0.054,0.976,0
1749427100.314,0.127,-0.054,0.978,0
1749427100.314,0.125,-0.058,0.975,0
1749427100.374,0.127,-0.055,0.978,0
1749427100.374,0.123,-0.054,0.971,0
1749427100.374,0.124,-0.050,0.974,0
1749427100.434,0.119,-0.056,0.971,0
1749427100.434,0.119,-0.058,0.970,0
1749427100.434,0.122,-0.056,0.971,0
1749427100.494,0.119,-0.047,0.976,0
1749427100.494,0.128,-0.044,0.975,0
1749427100.494,0.128,-0.043,0.977,0
1749427100.544,0.127,-0.049,0.976,0
1749427100.544,0.127,-0.050,0.973,0
1749427100.544,0.127,-0.049,0.975,0
1749427100.614,0.125,-0.052,0.978,0
1749427100.614,0.123,-0.052,0.975,0
1749427100.614,0.124,-0.052,0.974,0
1749427100.659,0.122,-0.052,0.976,0
1749427100.659,0.125,-0.048,0.972,0
1749427100.659,0.122,-0.051,0.978,0
1749427100.720,0.125,-0.051,0.975,0
1749427100.720,0.119,-0.046,0.969,0
1749427100.720,0.122,-0.043,0.967,0
1749427100.764,0.122,-0.049,0.966,0
1749427100.764,0.124,-0.052,0.962,0
1749427100.764,0.125,-0.056,0.968,0
1749427100.829,0.129,-0.061,0.977,0
1749427100.829,0.132,-0.060,0.984,0
1749427100.829,0.135,-0.060,0.981,0
1749427100.885,0.134,-0.059,0.985,0
1749427100.885,0.135,-0.060,0.984,0
1749427100.885,0.132,-0.060,0.980,0
1749427100.933,0.131,-0.062,0.979,0
1749427100.933,0.129,-0.060,0.971,0
1749427100.933,0.128,-0.057,0.975,0
1749427100.989,0.128,-0.061,0.975,0
1749427100.989,0.128,-0.058,0.974,0
1749427100.989,0.130,-0.059,0.971,0
1749427101.049,0.129,-0.058,0.970,0
1749427101.049,0.131,-0.059,0.972,0
1749427101.049,0.129,-0.059,0.972,0
1749427101.124,0.132,-0.055,0.977,0
1749427101.124,0.128,-0.058,0.977,0
1749427101.124,0.127,-0.059,0.978,0
1749427101.156,0.129,-0.055,0.976,0
1749427101.156,0.129,-0.052,0.971,0
1749427101.156,0.128,-0.048,0.964,0
1749427101.214,0.127,-0.050,0.971,0
1749427101.214,0.126,-0.055,0.972,0
1749427101.214,0.129,-0.053,0.980,0
1749427101.274,0.134,-0.047,0.978,0
1749427101.274,0.134,-0.043,0.979,0
1749427101.274,0.137,-0.051,0.980,0
1749427101.334,0.136,-0.050,0.979,0
1749427101.334,0.137,-0.050,0.974,0
1749427101.334,0.135,-0.048,0.972,0
1749427101.394,0.131,-0.046,0.975,0
1749427101.394,0.134,-0.047,0.970,0
1749427101.394,0.135,-0.050,0.971,0
1749427101.439,0.132,-0.047,0.980,0
1749427101.439,0.136,-0.048,0.977,0
1749427101.439,0.133,-0.055,0.981,0
1749427101.502,0.130,-0.048,0.981,0
1749427101.502,0.132,-0.043,0.975,0
1749427101.502,0.129,-0.042,0.971,0
1749427101.559,0.128,-0.047,0.969,0
1749427101.559,0.129,-0.047,0.968,0
1749427101.559,0.128,-0.045,0.978,0
1749427101.619,0.131,-0.046,0.977,0
1749427101.619,0.128,-0.044,0.978,0
1749427101.619,0.128,-0.047,0.976,0
1749427101.669,0.127,-0.047,0.968,0
1749427101.669,0.131,-0.046,0.967,0
1749427101.669,0.130,-0.046,0.981,0
1749427101.724,0.122,-0.052,0.982,0
1749427101.724,0.122,-0.049,0.974,0
1749427101.724,0.123,-0.046,0.949,0
1749427101.784,0.121,-0.042,0.953,0
1749427101.784,0.130,-0.048,0.963,0
1749427101.784,0.136,-0.053,0.970,0
1749427101.844,0.133,-0.062,0.968,0
