timestamps,PPG1,PPG2,PPG3,Marker0
1749428435.114,465157.000,290306.000,2613.000,0
1749428435.129,465366.000,290387.000,2548.000,0
1749428435.145,465283.000,290406.000,2594.000,0
1749428435.161,465429.000,290358.000,2578.000,0
1749428435.176,465434.000,290353.000,2549.000,0
1749428435.192,465427.000,290224.000,2635.000,0
1749428435.207,465333.000,290138.000,2591.000,0
1749428435.223,465246.000,290006.000,2580.000,0
1749428435.239,465186.000,289933.000,2540.000,0
1749428435.254,465091.000,289859.000,2580.000,0
1749428435.270,465028.000,289821.000,2548.000,0
1749428435.286,465035.000,289872.000,2556.000,0
1749428435.301,465023.000,289850.000,2577.000,0
1749428435.317,465007.000,289887.000,2508.000,0
1749428435.332,465073.000,289892.000,2577.000,0
1749428435.348,464989.000,289876.000,2579.000,0
1749428435.364,465051.000,289925.000,2601.000,0
1749428435.379,465064.000,289919.000,2578.000,0
1749428435.395,465025.000,289934.000,2592.000,0
1749428435.411,465022.000,289917.000,2575.000,0
1749428435.426,464987.000,289935.000,2576.000,0
1749428435.442,464951.000,289880.000,2641.000,0
1749428435.457,464849.000,289845.000,2576.000,0
1749428435.473,464898.000,289826.000,2542.000,0
1749428435.489,464920.000,289797.000,2578.000,0
1749428435.504,464944.000,289772.000,2577.000,0
1749428435.520,464960.000,289840.000,2482.000,0
1749428435.536,464828.000,289828.000,2575.000,0
1749428435.551,464822.000,289834.000,2574.000,0
1749428435.567,464861.000,289828.000,2512.000,0
1749428435.582,464814.000,289894.000,2568.000,0
1749428435.598,464844.000,289870.000,2581.000,0
1749428435.614,464993.000,289914.000,2579.000,0
1749428435.629,464859.000,289921.000,2573.000,0
1749428435.645,464885.000,289932.000,2651.000,0
1749428435.661,464900.000,289914.000,2576.000,0
1749428435.676,464893.000,289972.000,2626.000,0
1749428435.692,464865.000,289987.000,2605.000,0
1749428435.707,464854.000,289976.000,2576.000,0
1749428435.723,464914.000,290061.000,2585.000,0
1749428435.739,464846.000,290047.000,2574.000,0
1749428435.754,464918.000,290057.000,2573.000,0
1749428435.770,464940.000,290085.000,2582.000,0
1749428435.786,464941.000,290163.000,2576.000,0
1749428435.801,464969.000,290147.000,2530.000,0
1749428435.817,465075.000,290142.000,2574.000,0
1749428435.832,464979.000,290175.000,2575.000,0
1749428435.848,465070.000,290176.000,2575.000,0
1749428435.864,465090.000,290185.000,2576.000,0
1749428435.879,465101.000,290208.000,2577.000,0
1749428435.895,465130.000,290200.000,2602.000,0
1749428435.911,465097.000,290251.000,2573.000,0
1749428435.926,465198.000,290301.000,2645.000,0
1749428435.942,465070.000,290317.000,2575.000,0
1749428435.957,465201.000,290292.000,2570.000,0
1749428435.973,465139.000,290279.000,2534.000,0
1749428435.989,465051.000,290257.000,2574.000,0
1749428436.004,465120.000,290152.000,2510.000,0
1749428436.020,465100.000,290042.000,2582.000,0
1749428436.036,465001.000,289940.000,2574.000,0
1749428436.051,464902.000,289859.000,2576.000,0
1749428436.067,464963.000,289829.000,2576.000,0
1749428436.082,464864.000,289826.000,2556.000,0
1749428436.098,464876.000,289808.000,2576.000,0
1749428436.114,464847.000,289841.000,2599.000,0
1749428436.129,464829.000,289909.000,2661.000,0
1749428436.145,464790.000,289885.000,2575.000,0
1749428436.161,464861.000,289923.000,2575.000,0
1749428436.176,464865.000,289963.000,2645.000,0
1749428436.192,464779.000,290024.000,2574.000,0
1749428436.207,464884.000,290029.000,2514.000,0
1749428436.223,464804.000,290010.000,2596.000,0
