timestamps,PPG1,PPG2,PPG3,Marker0
1749426393.760,450257.000,287229.000,2492.000,0
1749426393.776,450180.000,287273.000,2391.000,0
1749426393.792,450198.000,287276.000,2474.000,0
1749426393.807,450241.000,287285.000,2508.000,0
1749426393.823,450333.000,287295.000,2388.000,0
1749426393.838,450459.000,287380.000,2468.000,0
1749426393.854,450493.000,287368.000,2466.000,0
1749426393.870,450529.000,287343.000,2409.000,0
1749426393.885,450564.000,287339.000,2465.000,0
1749426393.901,450537.000,287352.000,2511.000,0
1749426393.917,450562.000,287309.000,2469.000,0
1749426393.932,450508.000,287339.000,2469.000,0
1749426393.948,450374.000,287280.000,2481.000,0
1749426393.963,450420.000,287271.000,2468.000,0
1749426393.979,450481.000,287229.000,2480.000,0
1749426393.995,450338.000,287250.000,2467.000,0
1749426394.010,450393.000,287190.000,2471.000,0
1749426394.026,450365.000,287262.000,2457.000,0
1749426394.042,450398.000,287272.000,2499.000,0
1749426394.057,450474.000,287318.000,2463.000,0
1749426394.073,450537.000,287303.000,2407.000,0
1749426394.088,450497.000,287366.000,2473.000,0
1749426394.104,450483.000,287364.000,2398.000,0
1749426394.120,450653.000,287384.000,2465.000,0
1749426394.135,450552.000,287446.000,2469.000,0
1749426394.151,450555.000,287398.000,2522.000,0
1749426394.167,450510.000,287442.000,2469.000,0
1749426394.182,450483.000,287424.000,2526.000,0
1749426394.198,450494.000,287461.000,2483.000,0
1749426394.213,450560.000,287478.000,2470.000,0
1749426394.229,450535.000,287463.000,2481.000,0
1749426394.245,450435.000,287491.000,2468.000,0
1749426394.260,450579.000,287506.000,2468.000,0
1749426394.276,450602.000,287528.000,2510.000,0
1749426394.292,450550.000,287518.000,2490.000,0
1749426394.307,450677.000,287533.000,2376.000,0
1749426394.323,450763.000,287561.000,2467.000,0
1749426394.338,450738.000,287565.000,2470.000,0
1749426394.354,450672.000,287593.000,2399.000,0
1749426394.370,450739.000,287622.000,2452.000,0
1749426394.385,450801.000,287648.000,2490.000,0
1749426394.401,450783.000,287659.000,2491.000,0
1749426394.417,450653.000,287586.000,2468.000,0
1749426394.432,450534.000,287537.000,2553.000,0
1749426394.448,450386.000,287368.000,2470.000,0
1749426394.463,450242.000,287233.000,2475.000,0
1749426394.479,449775.000,287082.000,2450.000,0
1749426394.495,449290.000,286922.000,2462.000,0
1749426394.510,449326.000,286876.000,2411.000,0
1749426394.526,449472.000,286825.000,2461.000,0
1749426394.542,449629.000,286827.000,2464.000,0
1749426394.557,449730.000,286819.000,2404.000,0
1749426394.573,449804.000,286783.000,2492.000,0
1749426394.588,449781.000,286789.000,2414.000,0
1749426394.604,449794.000,286706.000,2466.000,0
1749426394.620,449792.000,286766.000,2465.000,0
1749426394.635,449806.000,286743.000,2521.000,0
1749426394.651,449759.000,286778.000,2451.000,0
1749426394.667,449786.000,286788.000,2469.000,0
1749426394.682,449800.000,286816.000,2511.000,0
1749426394.698,449826.000,286785.000,2493.000,0
1749426394.713,449789.000,286770.000,2507.000,0
1749426394.729,449675.000,286669.000,2468.000,0
1749426394.745,449772.000,286668.000,2464.000,0
1749426394.760,449738.000,286677.000,2462.000,0
1749426394.776,449616.000,286643.000,2479.000,0
1749426394.792,449660.000,286617.000,2442.000,0
1749426394.807,449711.000,286583.000,2452.000,0
1749426394.823,449644.000,286625.000,2467.000,0
1749426394.838,449642.000,286599.000,2410.000,0
1749426394.854,449798.000,286647.000,2464.000,0
1749426394.870,449724.000,286635.000,2483.000,0
1749426394.885,449756.000,286636.000,2466.000,0
1749426394.901,449799.000,286688.000,2467.000,0
1749426394.917,449779.000,286635.000,2534.000,0
1749426394.932,449622.000,286650.000,2465.000,0
1749426394.948,449769.000,286675.000,2466.000,0
1749426394.963,449769.000,286711.000,2528.000,0
1749426394.979,449751.000,286698.000,2505.000,0
1749426394.995,449866.000,286727.000,2423.000,0
1749426395.010,449808.000,286776.000,2457.000,0
1749426395.026,449815.000,286786.000,2467.000,0
1749426395.042,449840.000,286807.000,2389.000,0
1749426395.057,449902.000,286805.000,2478.000,0
1749426395.073,449967.000,286840.000,2446.000,0
1749426395.088,449873.000,286810.000,2398.000,0
1749426395.104,449952.000,286845.000,2468.000,0
1749426395.120,449997.000,286827.000,2533.000,0
1749426395.135,450041.000,286861.000,2465.000,0
