timestamps,PPG1,PPG2,PPG3,Marker0
1749427098.338,452299.000,287401.000,2476.000,0
1749427098.353,452331.000,287441.000,2473.000,0
1749427098.369,452270.000,287481.000,2419.000,0
1749427098.385,452380.000,287509.000,2473.000,0
1749427098.400,452587.000,287584.000,2475.000,0
1749427098.416,452673.000,287651.000,2394.000,0
1749427098.431,452652.000,287651.000,2426.000,0
1749427098.447,452671.000,287726.000,2469.000,0
1749427098.463,452698.000,287825.000,2450.000,0
1749427098.478,452695.000,287809.000,2476.000,0
1749427098.494,452623.000,287770.000,2492.000,0
1749427098.510,452612.000,287773.000,2478.000,0
1749427098.525,452538.000,287781.000,2438.000,0
1749427098.541,452489.000,287760.000,2527.000,0
1749427098.556,452444.000,287753.000,2475.000,0
1749427098.572,452410.000,287767.000,2541.000,0
1749427098.588,452365.000,287750.000,2455.000,0
1749427098.603,452428.000,287734.000,2454.000,0
1749427098.619,452559.000,287783.000,2478.000,0
1749427098.635,452507.000,287804.000,2477.000,0
1749427098.650,452554.000,287798.000,2441.000,0
1749427098.666,452678.000,287836.000,2479.000,0
1749427098.681,452649.000,287876.000,2443.000,0
1749427098.697,452691.000,287889.000,2401.000,0
1749427098.713,452750.000,287892.000,2497.000,0
1749427098.728,452757.000,287951.000,2478.000,0
1749427098.744,452738.000,287962.000,2497.000,0
1749427098.760,452758.000,287963.000,2475.000,0
1749427098.775,452778.000,287985.000,2550.000,0
1749427098.791,452762.000,287999.000,2477.000,0
1749427098.806,452799.000,288011.000,2476.000,0
1749427098.822,452826.000,288083.000,2552.000,0
1749427098.838,452722.000,288098.000,2478.000,0
1749427098.853,452816.000,288105.000,2440.000,0
1749427098.869,452880.000,288119.000,2471.000,0
1749427098.885,452982.000,288154.000,2489.000,0
1749427098.900,452926.000,288131.000,2477.000,0
1749427098.916,452963.000,288220.000,2496.000,0
1749427098.931,452835.000,288165.000,2477.000,0
1749427098.947,452834.000,288055.000,2485.000,0
1749427098.963,452789.000,287949.000,2477.000,0
1749427098.978,452642.000,287851.000,2489.000,0
1749427098.994,452583.000,287741.000,2474.000,0
1749427099.010,452461.000,287732.000,2477.000,0
1749427099.025,452381.000,287733.000,2570.000,0
1749427099.041,452405.000,287671.000,2453.000,0
1749427099.056,452391.000,287710.000,2509.000,0
1749427099.072,452243.000,287692.000,2499.000,0
1749427099.088,452241.000,287680.000,2468.000,0
1749427099.103,452267.000,287755.000,2430.000,0
1749427099.119,452135.000,287747.000,2479.000,0
1749427099.135,452222.000,287729.000,2473.000,0
1749427099.150,452295.000,287762.000,2401.000,0
1749427099.166,452348.000,287775.000,2476.000,0
1749427099.181,452255.000,287753.000,2441.000,0
1749427099.197,452349.000,287782.000,2506.000,0
1749427099.213,452212.000,287815.000,2477.000,0
1749427099.228,452205.000,287803.000,2467.000,0
1749427099.244,452272.000,287763.000,2476.000,0
1749427099.260,452228.000,287821.000,2516.000,0
1749427099.275,452254.000,287772.000,2477.000,0
1749427099.291,452296.000,287838.000,2479.000,0
1749427099.306,452277.000,287878.000,2537.000,0
1749427099.322,452178.000,287830.000,2478.000,0
1749427099.338,452255.000,287923.000,2479.000,0
1749427099.353,452167.000,287938.000,2431.000,0
1749427099.369,452234.000,287947.000,2468.000,0
1749427099.385,452211.000,288049.000,2415.000,0
1749427099.400,452285.000,288062.000,2484.000,0
1749427099.416,452334.000,288078.000,2454.000,0
1749427099.431,452386.000,288091.000,2386.000,0
1749427099.447,452383.000,288151.000,2478.000,0
1749427099.463,452505.000,288172.000,2499.000,0
1749427099.478,452538.000,288195.000,2486.000,0
1749427099.494,452516.000,288210.000,2464.000,0
1749427099.510,452543.000,288235.000,2570.000,0
1749427099.525,452541.000,288279.000,2478.000,0
1749427099.541,452620.000,288320.000,2476.000,0
1749427099.556,452606.000,288324.000,2480.000,0
1749427099.572,452527.000,288388.000,2477.000,0
1749427099.588,452675.000,288436.000,2447.000,0
1749427099.603,452552.000,288431.000,2480.000,0
1749427099.619,452700.000,288463.000,2493.000,0
1749427099.635,452659.000,288510.000,2461.000,0
1749427099.650,452808.000,288529.000,2500.000,0
1749427099.666,452814.000,288567.000,2476.000,0
1749427099.681,452806.000,288530.000,2388.000,0
1749427099.697,452747.000,288434.000,2514.000,0
1749427099.713,452665.000,288438.000,2510.000,0
1749427099.728,452615.000,288303.000,2478.000,0
1749427099.744,452556.000,288195.000,2490.000,0
1749427099.760,452392.000,288099.000,2571.000,0
1749427099.775,452286.000,288058.000,2457.000,0
1749427099.791,452341.000,288045.000,2525.000,0
1749427099.806,452213.000,288091.000,2477.000,0
1749427099.822,452239.000,288053.000,2481.000,0
1749427099.838,452261.000,288005.000,2481.000,0
1749427099.853,452127.000,288070.000,2476.000,0
1749427099.869,452241.000,288081.000,2452.000,0
1749427099.885,452293.000,288062.000,2486.000,0
1749427099.900,452219.000,288068.000,2438.000,0
1749427099.916,452209.000,288097.000,2403.000,0
1749427099.931,452273.000,288108.000,2478.000,0
1749427099.947,452248.000,288126.000,2482.000,0
1749427099.963,452280.000,288149.000,2479.000,0
1749427099.978,452254.000,288101.000,2452.000,0
1749427099.994,452280.000,288083.000,2545.000,0
1749427100.010,452226.000,288086.000,2496.000,0
1749427100.025,452213.000,288043.000,2446.000,0
1749427100.041,452268.000,288086.000,2556.000,0
1749427100.056,452177.000,288057.000,2494.000,0
1749427100.072,452289.000,288027.000,2474.000,0
1749427100.088,452206.000,288057.000,2488.000,0
1749427100.103,452240.000,288074.000,2479.000,0
1749427100.119,452329.000,288133.000,2412.000,0
1749427100.135,452401.000,288147.000,2483.000,0
1749427100.150,452363.000,288212.000,2457.000,0
1749427100.166,452392.000,288192.000,2413.000,0
1749427100.181,452497.000,288139.000,2480.000,0
1749427100.197,452494.000,288216.000,2498.000,0
1749427100.213,452499.000,288267.000,2480.000,0
1749427100.228,452559.000,288271.000,2481.000,0
1749427100.244,452545.000,288320.000,2545.000,0
1749427100.260,452539.000,288339.000,2481.000,0
1749427100.275,452593.000,288309.000,2488.000,0
1749427100.291,452653.000,288342.000,2516.000,0
1749427100.306,452713.000,288348.000,2481.000,0
1749427100.322,452702.000,288402.000,2429.000,0
1749427100.338,452610.000,288387.000,2516.000,0
1749427100.353,452788.000,288387.000,2483.000,0
1749427100.369,452676.000,288484.000,2420.000,0
1749427100.385,452852.000,288465.000,2468.000,0
1749427100.400,452800.000,288467.000,2455.000,0
1749427100.416,452908.000,288477.000,2461.000,0
1749427100.431,452893.000,288504.000,2462.000,0
1749427100.447,452913.000,288518.000,2513.000,0
1749427100.463,453040.000,288508.000,2487.000,0
1749427100.478,452868.000,288454.000,2485.000,0
1749427100.494,452853.000,288388.000,2505.000,0
1749427100.510,452703.000,288305.000,2483.000,0
1749427100.525,452643.000,288196.000,2513.000,0
1749427100.541,452508.000,288112.000,2482.000,0
1749427100.556,452518.000,288036.000,2484.000,0
1749427100.572,452409.000,288041.000,2464.000,0
1749427100.588,452428.000,287979.000,2477.000,0
1749427100.603,452417.000,288014.000,2449.000,0
1749427100.619,452382.000,288029.000,2467.000,0
1749427100.635,452359.000,288044.000,2481.000,0
1749427100.650,452422.000,288038.000,2404.000,0
1749427100.666,452448.000,288040.000,2484.000,0
1749427100.681,452398.000,288057.000,2504.000,0
1749427100.697,452420.000,288059.000,2504.000,0
1749427100.713,452473.000,288057.000,2461.000,0
1749427100.728,452416.000,288091.000,2546.000,0
1749427100.744,452485.000,288108.000,2482.000,0
1749427100.760,452502.000,288123.000,2483.000,0
1749427100.775,452442.000,288070.000,2498.000,0
1749427100.791,452354.000,288067.000,2482.000,0
1749427100.806,452474.000,288049.000,2485.000,0
1749427100.822,452369.000,288000.000,2483.000,0
1749427100.838,452500.000,288057.000,2486.000,0
1749427100.853,452381.000,288035.000,2402.000,0
1749427100.869,452370.000,287996.000,2511.000,0
1749427100.885,452446.000,288016.000,2464.000,0
1749427100.900,452517.000,288041.000,2407.000,0
1749427100.916,452531.000,288080.000,2503.000,0
1749427100.931,452471.000,288071.000,2499.000,0
1749427100.947,452646.000,288086.000,2485.000,0
1749427100.963,452594.000,288117.000,2491.000,0
1749427100.978,452666.000,288194.000,2538.000,0
1749427100.994,452697.000,288176.000,2460.000,0
1749427101.010,452758.000,288234.000,2516.000,0
1749427101.025,452715.000,288230.000,2511.000,0
1749427101.041,452788.000,288280.000,2488.000,0
1749427101.056,452848.000,288285.000,2487.000,0
1749427101.072,452734.000,288334.000,2458.000,0
1749427101.088,452876.000,288337.000,2487.000,0
1749427101.103,452938.000,288370.000,2465.000,0
1749427101.119,452929.000,288336.000,2489.000,0
1749427101.135,452917.000,288398.000,2420.000,0
1749427101.150,452981.000,288350.000,2485.000,0
1749427101.166,452991.000,288424.000,2462.000,0
1749427101.181,453045.000,288430.000,2518.000,0
1749427101.197,453121.000,288430.000,2491.000,0
1749427101.213,453064.000,288473.000,2527.000,0
1749427101.228,453087.000,288510.000,2519.000,0
1749427101.244,453053.000,288437.000,2517.000,0
1749427101.260,453107.000,288505.000,2508.000,0
1749427101.275,452976.000,288429.000,2479.000,0
1749427101.291,452977.000,288332.000,2487.000,0
1749427101.306,452873.000,288236.000,2441.000,0
1749427101.322,452713.000,288149.000,2478.000,0
1749427101.338,452651.000,288029.000,2425.000,0
1749427101.353,452617.000,287994.000,2471.000,0
1749427101.369,452607.000,287984.000,2485.000,0
1749427101.385,452508.000,287957.000,2405.000,0
1749427101.400,452567.000,287913.000,2485.000,0
1749427101.416,452484.000,287968.000,2507.000,0
1749427101.431,452485.000,287994.000,2487.000,0
1749427101.447,452434.000,287953.000,2464.000,0
1749427101.463,452489.000,287970.000,2577.000,0
1749427101.478,452482.000,287974.000,2486.000,0
1749427101.494,452452.000,288006.000,2486.000,0
1749427101.510,452503.000,288010.000,2563.000,0
1749427101.525,452558.000,288044.000,2457.000,0
1749427101.541,452516.000,288024.000,2426.000,0
1749427101.556,452428.000,288007.000,2497.000,0
1749427101.572,452509.000,287973.000,2482.000,0
1749427101.588,452481.000,288015.000,2405.000,0
1749427101.603,452459.000,287908.000,2487.000,0
1749427101.619,452437.000,287900.000,2486.000,0
1749427101.635,452427.000,287940.000,2419.000,0
1749427101.650,452437.000,287917.000,2483.000,0
1749427101.666,452381.000,287961.000,2516.000,0
1749427101.681,452500.000,287948.000,2485.000,0
1749427101.697,452511.000,288007.000,2488.000,0
1749427101.713,452494.000,287991.000,2486.000,0
1749427101.728,452524.000,288063.000,2461.000,0
1749427101.744,452552.000,288097.000,2536.000,0
1749427101.760,452409.000,288109.000,2481.000,0
1749427101.775,452597.000,288135.000,2488.000,0
1749427101.791,452602.000,288191.000,2442.000,0
1749427101.806,452691.000,288214.000,2500.000,0
1749427101.822,452599.000,288180.000,2463.000,0
1749427101.838,452640.000,288220.000,2425.000,0
1749427101.853,452671.000,288191.000,2470.000,0
1749427101.869,452698.000,288179.000,2407.000,0
1749427101.885,452749.000,288201.000,2481.000,0
1749427101.900,452658.000,288214.000,2496.000,0
1749427101.916,452642.000,288249.000,2513.000,0
1749427101.931,452708.000,288244.000,2486.000,0
1749427101.947,452563.000,288229.000,2545.000,0
1749427101.963,452511.000,288191.000,2507.000,0
1749427101.978,452441.000,288131.000,2485.000,0
1749427101.994,452459.000,288039.000,2485.000,0
1749427102.010,452253.000,287944.000,2503.000,0
1749427102.025,452209.000,287927.000,2477.000,0
1749427102.041,452115.000,287836.000,2513.000,0
1749427102.056,452115.000,287822.000,2486.000,0
1749427102.072,452128.000,287806.000,2398.000,0
1749427102.088,452106.000,287724.000,2485.000,0
1749427102.103,452069.000,287743.000,2474.000,0
1749427102.119,452058.000,287729.000,2407.000,0
1749427102.135,451966.000,287759.000,2485.000,0
1749427102.150,451987.000,287798.000,2500.000,0
1749427102.166,452170.000,287776.000,2509.000,0
1749427102.181,452074.000,287753.000,2485.000,0
1749427102.197,452070.000,287865.000,2575.000,0
1749427102.213,452077.000,287867.000,2485.000,0
1749427102.228,452082.000,287858.000,2502.000,0
1749427102.244,452097.000,287847.000,2533.000,0
1749427102.260,452086.000,287819.000,2484.000,0
1749427102.275,452116.000,287810.000,2494.000,0
1749427102.291,451903.000,287749.000,2486.000,0
1749427102.306,452013.000,287773.000,2487.000,0
1749427102.322,451994.000,287740.000,2421.000,0
1749427102.338,452040.000,287773.000,2469.000,0
1749427102.353,452025.000,287792.000,2469.000,0
1749427102.369,451999.000,287767.000,2487.000,0
1749427102.385,452020.000,287818.000,2461.000,0
1749427102.400,452001.000,287845.000,2490.000,0
1749427102.416,452154.000,287866.000,2488.000,0
1749427102.431,452110.000,287883.000,2488.000,0
1749427102.447,452142.000,287854.000,2509.000,0
1749427102.463,452195.000,287860.000,2474.000,0
1749427102.478,452152.000,287939.000,2552.000,0
1749427102.494,452199.000,287963.000,2509.000,0
1749427102.510,452334.000,287938.000,2515.000,0
1749427102.525,452321.000,287994.000,2443.000,0
1749427102.541,452262.000,288038.000,2485.000,0
1749427102.556,452361.000,288036.000,2474.000,0
1749427102.572,452453.000,288054.000,2471.000,0
1749427102.588,452529.000,288100.000,2489.000,0
1749427102.603,452580.000,288089.000,2397.000,0
1749427102.619,452684.000,288122.000,2489.000,0
1749427102.635,452621.000,288107.000,2492.000,0
1749427102.650,452515.000,288057.000,2488.000,0
1749427102.666,452528.000,287963.000,2501.000,0
1749427102.681,452366.000,287875.000,2544.000,0
1749427102.697,452268.000,287725.000,2490.000,0
1749427102.713,452282.000,287612.000,2487.000,0
1749427102.728,452115.000,287520.000,2532.000,0
1749427102.744,452025.000,287437.000,2489.000,0
1749427102.760,451955.000,287394.000,2459.000,0
1749427102.775,451904.000,287397.000,2491.000,0
1749427102.791,451928.000,287334.000,2495.000,0
1749427102.806,451827.000,287331.000,2407.000,0
1749427102.822,451900.000,287315.000,2473.000,0
1749427102.838,451873.000,287308.000,2493.000,0
1749427102.853,451886.000,287361.000,2411.000,0
1749427102.869,452009.000,287303.000,2496.000,0
