timestamps,X,Y,Z,Marker0
1749428692.623,0.118,-0.026,0.979,0
1749428692.683,0.111,-0.024,0.986,0
1749428692.683,0.107,-0.016,0.984,0
1749428692.683,0.103,-0.009,0.973,0
1749428692.729,0.104,-0.008,0.971,0
1749428692.729,0.105,-0.012,0.971,0
1749428692.729,0.108,-0.017,0.977,0
1749428692.789,0.108,-0.018,0.978,0
1749428692.789,0.105,-0.014,0.979,0
1749428692.789,0.105,-0.009,0.979,0
1749428692.848,0.106,-0.008,0.975,0
1749428692.848,0.105,-0.013,0.973,0
1749428692.848,0.114,-0.021,0.974,0
1749428692.898,0.116,-0.024,0.974,0
1749428692.898,0.116,-0.026,0.978,0
1749428692.898,0.116,-0.022,0.980,0
1749428692.954,0.121,-0.018,0.981,0
1749428692.954,0.119,-0.013,0.981,0
1749428692.954,0.123,-0.008,0.982,0
1749428693.014,0.122,-0.009,0.982,0
1749428693.014,0.120,-0.015,0.983,0
1749428693.014,0.120,-0.018,0.988,0
1749428693.073,0.116,-0.014,0.990,0
1749428693.073,0.117,-0.004,0.983,0
1749428693.073,0.122,-0.006,0.977,0
1749428693.134,0.123,-0.008,0.977,0
1749428693.134,0.118,-0.013,0.977,0
1749428693.134,0.119,-0.018,0.975,0
1749428693.183,0.117,-0.017,0.973,0
1749428693.183,0.117,-0.019,0.976,0
1749428693.183,0.117,-0.018,0.982,0
1749428693.239,0.117,-0.024,0.985,0
1749428693.239,0.117,-0.028,0.986,0
1749428693.239,0.117,-0.027,0.981,0
1749428693.299,0.114,-0.023,0.984,0
1749428693.299,0.115,-0.016,0.977,0
1749428693.299,0.113,-0.016,0.978,0
1749428693.358,0.110,-0.016,0.976,0
1749428693.358,0.111,-0.017,0.975,0
1749428693.358,0.110,-0.018,0.981,0
1749428693.403,0.112,-0.016,0.980,0
1749428693.403,0.109,-0.014,0.974,0
1749428693.403,0.109,-0.011,0.972,0
1749428693.467,0.110,-0.014,0.976,0
1749428693.467,0.112,-0.016,0.978,0
1749428693.467,0.112,-0.021,0.983,0
1749428693.524,0.113,-0.019,0.983,0
1749428693.524,0.111,-0.015,0.979,0
1749428693.524,0.108,-0.017,0.976,0
1749428693.584,0.110,-0.016,0.975,0
1749428693.584,0.113,-0.016,0.974,0
1749428693.584,0.114,-0.020,0.976,0
1749428693.628,0.113,-0.023,0.979,0
1749428693.628,0.109,-0.018,0.980,0
1749428693.628,0.111,-0.016,0.980,0
1749428693.688,0.113,-0.011,0.980,0
1749428693.688,0.110,-0.013,0.977,0
1749428693.688,0.114,-0.011,0.973,0
1749428693.748,0.114,-0.020,0.976,0
1749428693.748,0.111,-0.022,0.982,0
1749428693.748,0.111,-0.026,0.986,0
1749428693.809,0.114,-0.021,0.982,0
1749428693.809,0.114,-0.015,0.974,0
1749428693.809,0.115,-0.016,0.981,0
1749428693.854,0.120,-0.016,0.975,0
1749428693.854,0.116,-0.017,0.977,0
1749428693.854,0.114,-0.016,0.975,0
1749428693.913,0.116,-0.020,0.973,0
1749428693.913,0.117,-0.018,0.977,0
1749428693.913,0.118,-0.023,0.981,0
1749428693.973,0.120,-0.020,0.989,0
1749428693.973,0.117,-0.017,0.990,0
1749428693.973,0.116,-0.016,0.983,0
1749428694.022,0.112,-0.017,0.982,0
1749428694.022,0.113,-0.014,0.981,0
1749428694.022,0.114,-0.010,0.979,0
1749428694.078,0.118,-0.017,0.976,0
1749428694.078,0.115,-0.020,0.977,0
1749428694.078,0.109,-0.018,0.975,0
1749428694.138,0.112,-0.017,0.978,0
1749428694.138,0.116,-0.019,0.977,0
1749428694.138,0.112,-0.015,0.978,0
1749428694.198,0.111,-0.012,0.978,0
1749428694.198,0.113,-0.013,0.980,0
1749428694.198,0.113,-0.012,0.981,0
1749428694.259,0.108,-0.011,0.979,0
1749428694.259,0.112,-0.009,0.977,0
1749428694.259,0.109,-0.012,0.975,0
1749428694.308,0.109,-0.012,0.976,0
1749428694.308,0.112,-0.013,0.975,0
1749428694.308,0.112,-0.011,0.973,0
1749428694.363,0.114,-0.009,0.976,0
1749428694.363,0.111,-0.013,0.981,0
1749428694.363,0.111,-0.011,0.981,0
1749428694.423,0.112,-0.013,0.979,0
1749428694.423,0.116,-0.011,0.973,0
1749428694.423,0.113,-0.013,0.982,0
1749428694.482,0.115,-0.019,0.982,0
1749428694.482,0.112,-0.010,0.984,0
1749428694.482,0.118,-0.012,0.978,0
1749428694.528,0.118,-0.012,0.979,0
1749428694.528,0.115,-0.013,0.980,0
1749428694.528,0.118,-0.015,0.977,0
1749428694.592,0.119,-0.014,0.972,0
1749428694.592,0.116,-0.012,0.975,0
1749428694.592,0.120,-0.016,0.977,0
1749428694.648,0.118,-0.018,0.984,0
1749428694.648,0.114,-0.016,0.981,0
1749428694.648,0.113,-0.015,0.982,0
1749428694.708,0.119,-0.021,0.978,0
1749428694.708,0.114,-0.019,0.978,0
1749428694.708,0.113,-0.016,0.981,0
1749428694.754,0.111,-0.008,0.982,0
1749428694.754,0.112,-0.014,0.980,0
1749428694.754,0.110,-0.012,0.974,0
1749428694.813,0.109,-0.014,0.973,0
1749428694.813,0.111,-0.014,0.976,0
1749428694.813,0.113,-0.017,0.975,0
1749428694.872,0.115,-0.016,0.978,0
1749428694.872,0.112,-0.015,0.980,0
1749428694.872,0.114,-0.012,0.979,0
1749428694.933,0.115,-0.010,0.977,0
1749428694.933,0.110,-0.010,0.977,0
1749428694.933,0.109,-0.011,0.977,0
1749428694.978,0.112,-0.008,0.979,0
1749428694.978,0.114,-0.012,0.978,0
1749428694.978,0.117,-0.013,0.975,0
1749428695.038,0.118,-0.016,0.977,0
1749428695.038,0.120,-0.015,0.980,0
1749428695.038,0.118,-0.012,0.982,0
1749428695.099,0.118,-0.010,0.979,0
1749428695.099,0.119,-0.009,0.980,0
1749428695.099,0.121,-0.011,0.984,0
1749428695.148,0.123,-0.013,0.977,0
1749428695.148,0.119,-0.016,0.984,0
1749428695.148,0.116,-0.020,0.983,0
1749428695.203,0.114,-0.018,0.986,0
1749428695.203,0.118,-0.010,0.980,0
1749428695.203,0.115,-0.010,0.976,0
1749428695.264,0.115,-0.010,0.975,0
1749428695.264,0.118,-0.015,0.976,0
1749428695.264,0.114,-0.012,0.978,0
1749428695.324,0.117,-0.012,0.974,0
1749428695.324,0.116,-0.012,0.976,0
1749428695.324,0.114,-0.014,0.975,0
1749428695.369,0.116,-0.020,0.983,0
1749428695.369,0.112,-0.019,0.984,0
1749428695.369,0.117,-0.019,0.983,0
1749428695.433,0.111,-0.018,0.985,0
1749428695.433,0.111,-0.015,0.978,0
1749428695.433,0.109,-0.010,0.975,0
1749428695.489,0.111,-0.011,0.978,0
1749428695.489,0.110,-0.014,0.977,0
1749428695.489,0.114,-0.018,0.976,0
1749428695.549,0.116,-0.016,0.976,0
1749428695.549,0.113,-0.015,0.973,0
1749428695.549,0.113,-0.018,0.979,0
1749428695.594,0.115,-0.014,0.979,0
1749428695.594,0.117,-0.011,0.981,0
1749428695.594,0.115,-0.009,0.980,0
1749428695.656,0.115,-0.011,0.976,0
1749428695.656,0.114,-0.007,0.973,0
1749428695.656,0.115,-0.015,0.979,0
1749428695.717,0.118,-0.011,0.980,0
1749428695.717,0.115,-0.005,0.975,0
1749428695.717,0.116,-0.009,0.976,0
1749428695.773,0.117,-0.008,0.974,0
1749428695.773,0.118,-0.012,0.978,0
1749428695.773,0.118,-0.011,0.981,0
1749428695.833,0.119,-0.012,0.981,0
1749428695.833,0.124,-0.016,0.978,0
1749428695.833,0.122,-0.015,0.982,0
1749428695.878,0.125,-0.014,0.978,0
1749428695.878,0.122,-0.015,0.982,0
1749428695.878,0.123,-0.018,0.982,0
1749428695.939,0.120,-0.017,0.983,0
1749428695.939,0.120,-0.012,0.980,0
1749428695.939,0.121,-0.008,0.973,0
1749428695.997,0.120,-0.009,0.974,0
1749428695.997,0.124,-0.011,0.975,0
1749428695.997,0.123,-0.013,0.973,0
1749428696.058,0.123,-0.009,0.974,0
1749428696.058,0.121,-0.012,0.976,0
1749428696.058,0.125,-0.010,0.980,0
1749428696.103,0.121,-0.010,0.985,0
1749428696.103,0.120,-0.008,0.985,0
1749428696.103,0.121,-0.012,0.982,0
1749428696.163,0.120,-0.019,0.979,0
1749428696.163,0.118,-0.018,0.979,0
1749428696.163,0.120,-0.011,0.980,0
1749428696.223,0.118,-0.012,0.977,0
1749428696.223,0.116,-0.009,0.968,0
1749428696.223,0.113,-0.014,0.971,0
1749428696.272,0.121,-0.019,0.975,0
1749428696.272,0.117,-0.019,0.978,0
1749428696.272,0.118,-0.017,0.978,0
1749428696.329,0.117,-0.009,0.980,0
1749428696.329,0.119,-0.012,0.979,0
1749428696.329,0.121,-0.010,0.983,0
1749428696.388,0.118,-0.010,0.981,0
1749428696.388,0.120,-0.010,0.977,0
1749428696.388,0.120,-0.011,0.974,0
1749428696.449,0.120,-0.012,0.978,0
1749428696.449,0.121,-0.015,0.979,0
1749428696.449,0.124,-0.011,0.976,0
1749428696.494,0.120,-0.012,0.977,0
1749428696.494,0.125,-0.013,0.976,0
