timestamps,X,Y,Z,Marker0
1749427892.009,-3.065,1.884,-3.679,0
1749427892.069,-3.439,2.183,-4.606,0
1749427892.069,-3.125,2.295,-4.553,0
1749427892.069,-2.781,2.101,-4.000,0
1749427892.116,-2.512,1.383,-3.454,0
1749427892.116,-2.318,0.815,-3.260,0
1749427892.116,-2.512,0.561,-2.692,0
1749427892.174,-2.535,0.748,-2.370,0
1749427892.174,-2.744,0.807,-2.079,0
1749427892.174,-2.849,1.107,-2.624,0
1749427892.233,-2.953,1.211,-3.006,0
1749427892.233,-2.550,0.800,-3.290,0
1749427892.233,-2.116,0.875,-3.380,0
1749427892.293,-2.422,0.815,-3.492,0
1749427892.293,-3.305,0.695,-4.090,0
1749427892.293,-3.574,1.174,-4.329,0
1749427892.338,-3.529,1.226,-4.120,0
1749427892.338,-3.387,1.316,-3.634,0
1749427892.338,-3.133,0.979,-3.155,0
1749427892.401,-3.021,0.785,-2.879,0
1749427892.401,-2.991,0.718,-2.505,0
1749427892.401,-2.961,1.024,-2.385,0
1749427892.458,-3.170,1.413,-2.729,0
1749427892.458,-2.692,1.077,-3.118,0
1749427892.458,-2.804,1.114,-3.230,0
1749427892.503,-2.437,1.279,-3.581,0
1749427892.503,-2.722,0.882,-3.783,0
1749427892.503,-2.751,0.785,-3.417,0
1749427892.563,-2.729,0.710,-3.297,0
1749427892.563,-2.796,0.987,-3.110,0
1749427892.563,-2.894,0.531,-3.095,0
1749427892.623,-2.856,0.172,-3.223,0
1749427892.623,-3.193,0.725,-3.051,0
1749427892.623,-3.215,1.151,-3.058,0
1749427892.700,-3.439,1.802,-2.968,0
1749427892.700,-3.267,2.049,-3.036,0
1749427892.700,-3.043,1.742,-3.484,0
1749427892.733,-2.901,1.877,-3.350,0
1749427892.733,-2.991,1.742,-3.275,0
1749427892.733,-3.043,1.720,-3.155,0
1749427892.788,-3.267,1.854,-3.275,0
1749427892.788,-3.634,1.817,-3.866,0
1749427892.788,-3.791,1.907,-4.262,0
1749427892.849,-4.008,1.959,-4.381,0
1749427892.849,-3.260,2.019,-4.165,0
1749427892.849,-3.275,2.079,-3.679,0
1749427892.908,-3.701,1.570,-3.193,0
1749427892.908,-3.910,1.211,-3.252,0
1749427892.908,-3.873,1.525,-3.267,0
1749427892.969,-3.746,1.907,-3.380,0
