timestamps,X,Y,Z,Marker0
1749428693.182,-2.079,0.950,-2.811,0
1749428693.238,-2.393,1.226,-2.647,0
1749428693.238,-3.065,0.994,-3.148,0
1749428693.238,-2.662,0.419,-3.664,0
1749428693.298,-3.110,0.277,-3.963,0
1749428693.298,-3.499,0.142,-4.120,0
1749428693.298,-3.387,0.292,-4.000,0
1749428693.358,-3.178,0.695,-3.858,0
1749428693.358,-3.297,0.695,-3.679,0
1749428693.358,-3.529,0.621,-3.821,0
1749428693.403,-3.424,0.523,-3.851,0
1749428693.403,-3.664,0.434,-3.866,0
1749428693.403,-3.507,0.882,-3.701,0
1749428693.466,-3.125,0.875,-3.589,0
1749428693.466,-3.110,1.107,-3.365,0
1749428693.466,-2.692,1.450,-3.432,0
1749428693.523,-2.774,1.391,-3.604,0
1749428693.523,-2.923,1.279,-3.888,0
1749428693.523,-3.073,0.994,-3.880,0
1749428693.568,-3.170,1.069,-3.671,0
1749428693.568,-2.804,1.159,-3.507,0
1749428693.568,-3.095,1.271,-3.499,0
1749428693.628,-3.619,1.555,-3.776,0
1749428693.628,-3.679,1.974,-4.052,0
1749428693.628,-3.821,1.817,-3.993,0
1749428693.687,-3.036,1.279,-3.723,0
1749428693.687,-2.632,1.211,-3.492,0
1749428693.687,-2.669,1.465,-2.894,0
1749428693.747,-2.609,1.510,-2.789,0
1749428693.747,-2.804,1.772,-2.968,0
1749428693.747,-3.634,1.802,-3.462,0
1749428693.808,-3.671,1.750,-4.060,0
1749428693.808,-3.484,1.675,-3.933,0
1749428693.808,-2.923,1.907,-3.768,0
1749428693.853,-2.370,1.712,-3.821,0
1749428693.853,-2.938,1.667,-3.649,0
1749428693.853,-3.499,1.428,-3.604,0
1749428693.913,-3.634,1.660,-3.492,0
1749428693.913,-3.753,1.944,-3.133,0
1749428693.913,-3.806,2.094,-3.320,0
1749428693.973,-3.664,1.929,-3.873,0
1749428693.973,-3.514,1.256,-3.895,0
1749428693.973,-3.006,0.688,-3.723,0
1749428694.022,-3.110,0.994,-4.045,0
1749428694.022,-3.462,0.860,-3.821,0
1749428694.022,-3.462,0.718,-3.851,0
1749428694.078,-3.140,0.718,-3.671,0
1749428694.078,-3.454,1.084,-3.522,0
1749428694.078,-3.454,1.144,-3.649,0
1749428694.138,-3.686,1.249,-3.851,0
1749428694.138,-3.380,1.166,-4.015,0
1749428694.138,-3.641,1.219,-4.486,0
1749428694.197,-3.394,1.069,-4.127,0
1749428694.197,-3.342,1.204,-4.187,0
1749428694.197,-3.223,1.166,-4.232,0
1749428694.243,-3.522,1.114,-4.142,0
1749428694.243,-3.432,0.905,-4.232,0
1749428694.243,-3.118,1.181,-3.985,0
1749428694.307,-3.230,1.450,-3.851,0
1749428694.307,-3.499,1.615,-4.030,0
1749428694.307,-3.507,1.869,-4.209,0
1749428694.362,-3.514,2.041,-4.194,0
1749428694.362,-3.103,1.824,-3.828,0
1749428694.362,-3.297,1.779,-3.925,0
1749428694.422,-3.110,1.951,-4.187,0
1749428694.422,-2.938,0.000,-3.828,0
1749428694.422,-3.036,1.690,-3.656,0
1749428694.468,-3.581,2.079,-3.723,0
1749428694.468,-3.664,1.742,-3.828,0
1749428694.468,-3.529,1.473,-3.880,0
1749428694.528,-3.237,1.690,-3.813,0
1749428694.528,-2.781,1.458,-3.686,0
1749428694.528,-2.445,1.286,-3.522,0
1749428694.591,-2.639,1.473,-3.462,0
1749428694.591,-3.305,1.458,-3.514,0
1749428694.591,-3.252,1.697,-3.065,0
1749428694.648,-3.417,1.944,-3.088,0
1749428694.648,-3.252,1.608,-3.447,0
1749428694.648,-2.991,1.211,-3.589,0
1749428694.693,-2.774,1.353,-4.045,0
1749428694.693,-2.647,1.525,-4.142,0
1749428694.693,-3.073,0.972,-4.165,0
1749428694.754,-3.237,1.017,-4.209,0
1749428694.754,-2.908,0.658,-4.000,0
1749428694.754,-3.013,0.920,-3.529,0
1749428694.813,-3.208,0.733,-3.103,0
1749428694.813,-3.484,1.473,-3.267,0
1749428694.813,-3.125,1.765,-3.671,0
1749428694.863,-3.708,1.690,-3.447,0
1749428694.863,-3.477,1.667,-3.940,0
1749428694.863,-3.305,1.376,-4.351,0
1749428694.918,-3.155,1.465,-4.052,0
1749428694.918,-3.103,1.839,-4.015,0
1749428694.918,-3.335,1.495,-4.008,0
1749428694.978,-3.223,1.062,-3.761,0
1749428694.978,-2.819,1.346,-3.365,0
1749428694.978,-2.961,1.705,-2.938,0
1749428695.038,-3.103,1.832,-3.267,0
1749428695.038,-3.454,1.630,-3.522,0
1749428695.038,-3.282,1.817,-3.432,0
1749428695.098,-2.901,1.794,-3.836,0
1749428695.098,-2.923,1.802,-3.694,0
1749428695.098,-2.408,1.645,-3.761,0
1749428695.147,-2.916,1.473,-3.439,0
1749428695.147,-3.327,1.323,-3.095,0
1749428695.147,-3.237,1.204,-3.402,0
1749428695.202,-4.180,1.017,-3.507,0
1749428695.202,-3.761,0.688,-3.843,0
1749428695.202,-3.088,0.994,-3.895,0
1749428695.264,-2.303,1.189,-3.537,0
1749428695.264,-1.959,1.241,-3.611,0
1749428695.264,-2.908,0.890,-3.507,0
1749428695.323,-2.953,0.920,-3.275,0
1749428695.323,-3.350,1.256,-2.946,0
1749428695.323,-3.380,1.421,-2.841,0
1749428695.368,-3.118,1.652,-3.028,0
1749428695.368,-3.118,1.338,-3.701,0
1749428695.368,-2.677,0.912,-4.254,0
1749428695.432,-3.065,0.591,-4.135,0
1749428695.432,-2.946,0.523,-4.636,0
1749428695.432,-3.215,1.039,-4.344,0
1749428695.488,-3.372,1.331,-3.746,0
1749428695.488,-2.908,1.084,-3.133,0
1749428695.488,-3.013,1.047,-3.372,0
1749428695.548,-3.409,1.241,-3.305,0
1749428695.548,-3.664,1.645,-3.282,0
1749428695.548,-3.626,1.697,-3.626,0
1749428695.593,-3.596,2.146,-3.806,0
1749428695.593,-3.783,2.288,-4.419,0
1749428695.593,-3.596,1.989,-4.583,0
1749428695.656,-3.514,1.809,-4.202,0
1749428695.656,-3.013,2.079,-4.000,0
1749428695.656,-3.073,2.221,-3.993,0
1749428695.716,-3.484,2.011,-3.806,0
1749428695.716,-3.312,1.907,-3.731,0
1749428695.716,-3.073,2.213,-3.514,0
1749428695.773,-3.275,2.265,-3.051,0
1749428695.773,-3.417,2.542,-2.729,0
1749428695.773,-3.058,2.437,-3.424,0
1749428695.818,-2.759,2.370,-3.342,0
1749428695.818,-2.662,2.251,-3.312,0
1749428695.818,-2.505,2.168,-3.656,0
1749428695.877,-3.021,1.959,-3.694,0
1749428695.877,-3.200,1.877,-3.679,0
1749428695.877,-3.372,1.129,-3.581,0
1749428695.938,-4.307,1.421,-3.888,0
1749428695.938,-4.142,1.368,-4.351,0
1749428695.938,-3.275,1.503,-4.172,0
1749428695.987,-2.714,1.809,-3.895,0
1749428695.987,-2.602,1.667,-3.417,0
1749428695.987,-2.632,1.488,-3.634,0
1749428696.043,-3.193,1.465,-3.424,0
1749428696.043,-3.178,1.682,-3.312,0
1749428696.043,-3.462,1.622,-3.118,0
1749428696.103,-3.215,1.645,-2.983,0
