timestamps,X,Y,Z,Marker0
1749427043.254,0.179,-0.164,0.946,0
1749427043.314,0.178,-0.160,0.947,0
1749427043.314,0.180,-0.159,0.948,0
1749427043.314,0.179,-0.166,0.951,0
1749427043.359,0.178,-0.168,0.955,0
1749427043.359,0.184,-0.167,0.951,0
1749427043.359,0.183,-0.166,0.954,0
1749427043.420,0.183,-0.172,0.951,0
1749427043.420,0.182,-0.176,0.957,0
1749427043.420,0.181,-0.176,0.952,0
1749427043.468,0.182,-0.172,0.949,0
1749427043.468,0.183,-0.173,0.953,0
1749427043.468,0.183,-0.173,0.954,0
1749427043.524,0.176,-0.175,0.953,0
1749427043.524,0.179,-0.172,0.951,0
1749427043.524,0.179,-0.165,0.946,0
1749427043.584,0.179,-0.165,0.948,0
1749427043.584,0.180,-0.168,0.948,0
1749427043.584,0.181,-0.165,0.948,0
1749427043.645,0.181,-0.169,0.944,0
1749427043.645,0.181,-0.169,0.942,0
1749427043.645,0.182,-0.174,0.943,0
1749427043.704,0.180,-0.177,0.947,0
1749427043.704,0.182,-0.178,0.949,0
1749427043.704,0.184,-0.173,0.952,0
1749427043.753,0.186,-0.169,0.950,0
1749427043.753,0.191,-0.166,0.952,0
1749427043.753,0.185,-0.174,0.953,0
1749427043.809,0.187,-0.167,0.952,0
1749427043.809,0.184,-0.165,0.954,0
1749427043.809,0.187,-0.166,0.956,0
1749427043.869,0.188,-0.172,0.954,0
1749427043.869,0.186,-0.178,0.956,0
1749427043.869,0.186,-0.176,0.953,0
1749427043.930,0.183,-0.175,0.949,0
1749427043.930,0.184,-0.174,0.950,0
1749427043.930,0.186,-0.171,0.952,0
1749427043.974,0.184,-0.170,0.946,0
1749427043.974,0.185,-0.169,0.946,0
1749427043.974,0.184,-0.168,0.950,0
1749427044.046,0.186,-0.166,0.950,0
1749427044.046,0.184,-0.164,0.954,0
1749427044.046,0.183,-0.160,0.958,0
1749427044.094,0.183,-0.156,0.954,0
1749427044.094,0.179,-0.155,0.949,0
1749427044.094,0.182,-0.160,0.944,0
1749427044.153,0.181,-0.171,0.949,0
1749427044.153,0.182,-0.175,0.949,0
1749427044.153,0.182,-0.175,0.945,0
1749427044.199,0.185,-0.175,0.949,0
1749427044.199,0.180,-0.176,0.950,0
1749427044.199,0.185,-0.173,0.952,0
1749427044.260,0.185,-0.167,0.951,0
1749427044.260,0.182,-0.166,0.953,0
1749427044.260,0.182,-0.162,0.950,0
1749427044.319,0.180,-0.163,0.948,0
1749427044.319,0.185,-0.166,0.952,0
1749427044.319,0.184,-0.170,0.955,0
1749427044.378,0.183,-0.174,0.951,0
1749427044.378,0.182,-0.174,0.952,0
1749427044.378,0.182,-0.171,0.943,0
1749427044.424,0.179,-0.173,0.947,0
1749427044.424,0.180,-0.181,0.949,0
1749427044.424,0.177,-0.179,0.951,0
1749427044.485,0.181,-0.165,0.941,0
1749427044.485,0.184,-0.167,0.946,0
1749427044.485,0.188,-0.177,0.956,0
1749427044.544,0.186,-0.172,0.957,0
1749427044.544,0.182,-0.168,0.954,0
1749427044.544,0.182,-0.163,0.950,0
1749427044.594,0.183,-0.163,0.954,0
1749427044.594,0.181,-0.161,0.954,0
1749427044.594,0.183,-0.166,0.954,0
1749427044.649,0.178,-0.166,0.954,0
1749427044.649,0.184,-0.163,0.942,0
1749427044.649,0.183,-0.160,0.949,0
1749427044.709,0.176,-0.164,0.948,0
1749427044.709,0.180,-0.164,0.946,0
1749427044.709,0.176,-0.167,0.949,0
1749427044.784,0.179,-0.166,0.948,0
1749427044.784,0.179,-0.171,0.947,0
1749427044.784,0.187,-0.177,0.950,0
1749427044.814,0.184,-0.179,0.952,0
1749427044.814,0.187,-0.177,0.949,0
1749427044.814,0.184,-0.180,0.948,0
1749427044.891,0.185,-0.174,0.951,0
1749427044.891,0.187,-0.170,0.954,0
1749427044.891,0.186,-0.165,0.955,0
1749427044.935,0.187,-0.162,0.953,0
1749427044.935,0.186,-0.166,0.953,0
1749427044.935,0.183,-0.169,0.950,0
1749427044.994,0.187,-0.170,0.954,0
1749427044.994,0.185,-0.171,0.953,0
1749427044.994,0.184,-0.171,0.950,0
1749427045.039,0.184,-0.172,0.949,0
1749427045.039,0.184,-0.173,0.949,0
1749427045.039,0.182,-0.174,0.947,0
1749427045.099,0.181,-0.174,0.949,0
1749427045.099,0.184,-0.169,0.947,0
1749427045.099,0.182,-0.170,0.949,0
1749427045.163,0.184,-0.173,0.948,0
1749427045.163,0.186,-0.171,0.951,0
1749427045.163,0.183,-0.168,0.950,0
1749427045.219,0.183,-0.167,0.952,0
1749427045.219,0.190,-0.166,0.953,0
1749427045.219,0.183,-0.169,0.956,0
1749427045.278,0.182,-0.170,0.954,0
1749427045.278,0.187,-0.174,0.948,0
1749427045.278,0.182,-0.171,0.952,0
1749427045.324,0.183,-0.172,0.949,0
1749427045.324,0.179,-0.169,0.948,0
1749427045.324,0.184,-0.175,0.945,0
1749427045.384,0.184,-0.171,0.952,0
1749427045.384,0.178,-0.175,0.948,0
1749427045.384,0.180,-0.170,0.944,0
1749427045.444,0.184,-0.163,0.947,0
1749427045.444,0.182,-0.171,0.953,0
1749427045.444,0.183,-0.171,0.957,0
1749427045.489,0.185,-0.173,0.951,0
1749427045.489,0.189,-0.172,0.947,0
1749427045.489,0.184,-0.175,0.946,0
1749427045.549,0.186,-0.177,0.949,0
1749427045.549,0.184,-0.178,0.954,0
1749427045.549,0.181,-0.173,0.953,0
1749427045.609,0.181,-0.172,0.950,0
1749427045.609,0.181,-0.164,0.950,0
1749427045.609,0.180,-0.159,0.949,0
1749427045.670,0.181,-0.161,0.947,0
1749427045.670,0.177,-0.164,0.951,0
1749427045.670,0.178,-0.164,0.946,0
1749427045.719,0.182,-0.160,0.946,0
1749427045.719,0.184,-0.170,0.942,0
1749427045.719,0.184,-0.175,0.953,0
1749427045.774,0.187,-0.178,0.956,0
1749427045.774,0.184,-0.175,0.955,0
1749427045.774,0.188,-0.176,0.950,0
1749427045.834,0.189,-0.176,0.947,0
1749427045.834,0.188,-0.179,0.952,0
1749427045.834,0.186,-0.177,0.953,0
1749427045.894,0.189,-0.172,0.958,0
1749427045.894,0.188,-0.169,0.950,0
1749427045.894,0.187,-0.169,0.954,0
1749427045.939,0.189,-0.167,0.955,0
1749427045.939,0.186,-0.167,0.958,0
1749427045.939,0.185,-0.165,0.958,0
1749427046.004,0.182,-0.162,0.953,0
1749427046.004,0.180,-0.160,0.946,0
1749427046.004,0.182,-0.168,0.943,0
1749427046.060,0.180,-0.171,0.947,0
1749427046.060,0.181,-0.174,0.946,0
1749427046.060,0.180,-0.173,0.945,0
1749427046.120,0.180,-0.169,0.948,0
1749427046.120,0.182,-0.163,0.945,0
1749427046.120,0.177,-0.167,0.944,0
1749427046.164,0.185,-0.173,0.946,0
1749427046.164,0.185,-0.177,0.953,0
1749427046.164,0.187,-0.177,0.958,0
1749427046.224,0.187,-0.175,0.956,0
1749427046.224,0.183,-0.176,0.952,0
1749427046.224,0.185,-0.178,0.952,0
1749427046.287,0.183,-0.180,0.948,0
1749427046.287,0.184,-0.173,0.949,0
1749427046.287,0.182,-0.167,0.950,0
1749427046.344,0.176,-0.171,0.950,0
1749427046.344,0.179,-0.171,0.947,0
1749427046.344,0.183,-0.166,0.947,0
1749427046.389,0.184,-0.164,0.952,0
1749427046.389,0.189,-0.165,0.953,0
1749427046.389,0.183,-0.164,0.952,0
1749427046.463,0.185,-0.168,0.943,0
1749427046.463,0.182,-0.165,0.947,0
1749427046.463,0.185,-0.165,0.950,0
1749427046.509,0.185,-0.170,0.951,0
1749427046.509,0.185,-0.172,0.953,0
1749427046.509,0.187,-0.173,0.953,0
1749427046.571,0.186,-0.169,0.959,0
1749427046.571,0.185,-0.163,0.955,0
1749427046.571,0.181,-0.164,0.952,0
1749427046.614,0.181,-0.167,0.952,0
1749427046.614,0.179,-0.167,0.948,0
1749427046.614,0.180,-0.165,0.954,0
1749427046.675,0.177,-0.172,0.942,0
1749427046.675,0.178,-0.179,0.945,0
1749427046.675,0.180,-0.182,0.950,0
1749427046.735,0.181,-0.186,0.954,0
1749427046.735,0.179,-0.183,0.946,0
1749427046.735,0.181,-0.180,0.940,0
1749427046.794,0.178,-0.180,0.945,0
1749427046.794,0.182,-0.178,0.949,0
1749427046.794,0.181,-0.175,0.955,0
1749427046.844,0.182,-0.174,0.959,0
1749427046.844,0.186,-0.169,0.954,0
1749427046.844,0.179,-0.165,0.952,0
1749427046.899,0.180,-0.163,0.955,0
1749427046.899,0.179,-0.169,0.954,0
1749427046.899,0.184,-0.172,0.950,0
1749427046.960,0.177,-0.177,0.951,0
1749427046.960,0.181,-0.174,0.947,0
1749427046.960,0.177,-0.171,0.948,0
1749427047.020,0.177,-0.165,0.952,0
1749427047.020,0.176,-0.164,0.950,0
1749427047.020,0.179,-0.161,0.948,0
1749427047.064,0.178,-0.166,0.948,0
1749427047.064,0.178,-0.170,0.948,0
1749427047.064,0.184,-0.173,0.953,0
1749427047.129,0.183,-0.172,0.956,0
1749427047.129,0.182,-0.177,0.953,0
1749427047.129,0.179,-0.168,0.949,0
1749427047.184,0.180,-0.164,0.944,0
1749427047.184,0.180,-0.165,0.951,0
1749427047.184,0.176,-0.171,0.959,0
1749427047.244,0.178,-0.173,0.962,0
1749427047.244,0.185,-0.178,0.963,0
1749427047.244,0.186,-0.180,0.962,0
1749427047.304,0.190,-0.186,0.959,0
1749427047.304,0.186,-0.188,0.959,0
1749427047.304,0.180,-0.188,0.953,0
1749427047.349,0.181,-0.193,0.950,0
1749427047.349,0.179,-0.185,0.947,0
1749427047.349,0.179,-0.179,0.950,0
1749427047.413,0.180,-0.181,0.951,0
1749427047.413,0.180,-0.178,0.950,0
1749427047.413,0.182,-0.177,0.950,0
1749427047.457,0.178,-0.169,0.954,0
1749427047.457,0.177,-0.179,0.959,0
1749427047.457,0.171,-0.177,0.958,0
1749427047.515,0.170,-0.167,0.952,0
1749427047.515,0.171,-0.165,0.955,0
1749427047.515,0.167,-0.163,0.945,0
1749427047.575,0.162,-0.165,0.945,0
1749427047.575,0.166,-0.169,0.952,0
1749427047.575,0.161,-0.168,0.951,0
1749427047.634,0.161,-0.167,0.945,0
1749427047.634,0.162,-0.160,0.944,0
1749427047.634,0.164,-0.163,0.948,0
1749427047.693,0.156,-0.160,0.961,0
1749427047.693,0.159,-0.157,0.968,0
1749427047.693,0.161,-0.152,0.966,0
1749427047.739,0.162,-0.145,0.956,0
1749427047.739,0.154,-0.140,0.956,0
1749427047.739,0.150,-0.142,0.954,0
1749427047.799,0.151,-0.143,0.958,0
1749427047.799,0.151,-0.136,0.952,0
1749427047.799,0.149,-0.130,0.954,0
1749427047.859,0.147,-0.131,0.957,0
1749427047.859,0.142,-0.131,0.960,0
1749427047.859,0.139,-0.134,0.960,0
1749427047.919,0.137,-0.127,0.956,0
1749427047.919,0.138,-0.122,0.955,0
1749427047.919,0.135,-0.131,0.957,0
1749427047.968,0.139,-0.135,0.960,0
1749427047.968,0.135,-0.135,0.957,0
1749427047.968,0.141,-0.130,0.965,0
1749427048.038,0.140,-0.130,0.963,0
1749427048.038,0.143,-0.126,0.962,0
1749427048.038,0.145,-0.129,0.969,0
1749427048.084,0.147,-0.130,0.969,0
1749427048.084,0.145,-0.133,0.969,0
1749427048.084,0.144,-0.135,0.962,0
1749427048.144,0.144,-0.140,0.956,0
1749427048.144,0.144,-0.145,0.954,0
1749427048.144,0.144,-0.146,0.958,0
1749427048.190,0.143,-0.144,0.962,0
1749427048.190,0.139,-0.136,0.955,0
1749427048.190,0.138,-0.136,0.955,0
1749427048.253,0.136,-0.146,0.960,0
1749427048.253,0.142,-0.143,0.962,0
1749427048.253,0.144,-0.136,0.960,0
1749427048.309,0.140,-0.137,0.959,0
