timestamps,X,Y,Z,Marker0
1749427097.283,-2.542,-1.951,-4.322,0
1749427097.344,-3.925,2.923,0.643,0
1749427097.344,-5.839,2.692,1.226,0
1749427097.344,-7.873,2.183,0.905,0
1749427097.406,-9.705,1.802,0.770,0
1749427097.406,-10.146,1.406,0.299,0
1749427097.406,-8.643,2.221,-0.613,0
1749427097.454,-6.228,2.766,-1.510,0
1749427097.454,-3.297,2.722,-2.602,0
1749427097.454,-1.944,2.236,-3.529,0
1749427097.510,-2.609,2.153,-3.970,0
1749427097.510,-3.260,2.535,-3.821,0
1749427097.510,-3.507,3.454,-3.006,0
1749427097.569,-3.237,3.888,-1.862,0
1749427097.569,-2.572,2.856,-1.450,0
1749427097.569,-2.079,1.959,-1.817,0
1749427097.629,-1.608,1.443,-2.609,0
1749427097.629,-1.690,1.488,-3.320,0
1749427097.629,-2.064,1.458,-3.776,0
1749427097.677,-2.594,1.092,-3.970,0
1749427097.677,-3.566,0.142,-3.940,0
1749427097.677,-3.806,-0.359,-3.208,0
1749427097.738,-3.447,-0.650,-2.191,0
1749427097.738,-2.437,-0.464,-1.346,0
1749427097.738,-2.086,-0.179,-0.793,0
1749427097.794,-1.787,0.209,-0.979,0
1749427097.794,-1.824,0.561,-1.608,0
1749427097.794,-1.495,0.710,-2.348,0
1749427097.838,-1.548,1.084,-2.707,0
1749427097.838,-1.892,1.847,-2.864,0
1749427097.838,-2.183,2.774,-2.879,0
1749427097.899,-2.938,3.110,-2.886,0
1749427097.899,-3.357,2.983,-2.609,0
1749427097.899,-3.776,2.826,-2.437,0
1749427097.958,-3.768,2.490,-2.841,0
1749427097.958,-3.798,2.168,-3.320,0
1749427097.958,-4.314,2.871,-3.731,0
1749427098.008,-3.843,3.858,-4.194,0
1749427098.008,-3.798,4.576,-3.933,0
1749427098.008,-4.105,3.813,-3.432,0
1749427098.079,-4.045,3.021,-3.080,0
1749427098.079,-4.165,2.176,-2.923,0
1749427098.079,-3.731,1.667,-2.908,0
1749427098.124,-3.387,0.374,-3.282,0
1749427098.124,-2.991,-0.636,-3.671,0
1749427098.124,-2.617,-0.718,-4.097,0
1749427098.184,-2.146,0.650,-4.277,0
1749427098.184,-1.869,2.019,-4.598,0
1749427098.184,-1.697,3.402,-4.882,0
1749427098.244,-0.965,4.202,-4.935,0
1749427098.244,-1.069,4.583,-4.710,0
1749427098.244,-1.608,3.626,-4.561,0
1749427098.293,-2.138,2.497,-5.084,0
1749427098.293,-2.318,1.832,-5.174,0
1749427098.293,-2.565,1.697,-5.196,0
1749427098.349,-2.437,1.608,-5.196,0
1749427098.349,-3.043,1.353,-5.054,0
1749427098.349,-3.006,1.166,-4.972,0
1749427098.409,-3.267,1.136,-3.596,0
1749427098.409,-3.723,0.665,-2.505,0
1749427098.409,-3.357,0.576,-2.437,0
1749427098.469,-3.237,0.434,-2.557,0
1749427098.469,-2.998,0.464,-2.946,0
1749427098.469,-2.310,1.166,-3.297,0
1749427098.514,-2.572,1.974,-3.237,0
1749427098.514,-2.490,2.983,-3.312,0
1749427098.514,-2.991,2.722,-3.746,0
1749427098.577,-3.537,2.288,-4.008,0
1749427098.577,-3.275,3.200,-3.985,0
1749427098.577,-3.477,3.170,-3.858,0
1749427098.633,-3.619,3.372,-3.641,0
1749427098.633,-2.968,3.522,-3.252,0
1749427098.633,-3.454,3.335,-3.589,0
1749427098.694,-3.664,2.647,-3.529,0
1749427098.694,-3.327,2.116,-3.469,0
1749427098.694,-3.088,1.735,-3.051,0
1749427098.739,-2.968,1.907,-3.170,0
1749427098.739,-2.894,2.101,-3.761,0
1749427098.739,-2.340,1.794,-4.359,0
1749427098.799,-1.615,1.406,-4.591,0
1749427098.799,-1.421,2.348,-4.800,0
1749427098.799,-1.712,3.402,-4.628,0
1749427098.862,-2.557,5.286,-4.180,0
1749427098.862,-3.327,5.966,-3.866,0
1749427098.862,-3.761,3.798,-3.716,0
1749427098.919,-3.746,2.856,-3.656,0
1749427098.919,-3.836,3.372,-3.529,0
1749427098.919,-3.581,3.507,-3.320,0
1749427098.963,-3.140,2.677,-3.080,0
1749427098.963,-3.170,1.443,-3.409,0
1749427098.963,-2.991,1.331,-3.365,0
1749427099.023,-2.849,1.951,-3.708,0
1749427099.023,-3.095,2.004,-3.477,0
1749427099.023,-2.445,0.546,-3.641,0
1749427099.084,-2.198,-0.531,-4.576,0
1749427099.084,-2.236,0.060,-4.725,0
1749427099.084,-1.720,1.652,-4.695,0
1749427099.147,-1.338,3.783,-4.441,0
1749427099.147,-1.099,2.991,-4.284,0
1749427099.147,-1.630,0.837,-4.748,0
1749427099.189,-1.757,-0.366,-5.256,0
1749427099.189,-1.630,-0.322,-5.122,0
1749427099.189,-1.600,1.099,-4.628,0
1749427099.248,-1.391,1.892,-4.292,0
1749427099.248,-1.622,2.310,-3.753,0
1749427099.248,-1.660,1.854,-3.619,0
1749427099.309,-1.951,1.533,-3.305,0
